VK,HT,FT
16,297,-1
73,173,307
32,161,151
68,74,165
79,179,132
32,173,111
78,241,124
79,197,133
84,107,61
32,170,122
66,23,321
69,205,115
76,163,214
73,138,329
69,158,91
86,177,56
69,106,241
32,178,127
73,246,303
78,82,81
32,185,210
71,131,667
85,203,252
78,171,85
32,155,190
67,144,114
79,146,280
78,159,114
84,102,140
79,202,160
190,149,185
8,207,837
76,82,287
190,163,843
32,190,71
16,268,523
84,177,225
72,115,116
69,127,84
32,147,132
67,157,235
8,51,856
16,366,329
67,74,259
79,200,121
78,138,79
83,150,132
84,140,228
73,131,205
84,139,183
85,127,136
84,119,174
73,180,164
79,115,155
78,179,182
32,139,179
83,188,113
65,121,124
89,107,333
83,144,111
32,122,29
69,121,155
86,115,281
69,179,241
82,150,139
89,88,285
32,75,252
16,280,227
65,121,220
77,196,228
69,181,131
82,132,102
73,155,176
67,193,702
65,172,156
78,178,169
32,139,176
72,138,309
65,132,197
83,124,193
32,177,119
84,117,144
72,106,116
69,125,90
32,186,204
82,115,172
73,105,130
71,99,116
72,105,153
84,122,142
32,153,173
84,83,475
79,193,127
32,188,142
66,168,175
65,155,159
82,174,164
69,139,99
32,112,213
65,137,204
82,137,232
77,144,102
83,145,145
190,122,287
32,140,80
16,297,433
73,187,141
32,160,158
87,16,151
65,161,431
78,96,207
84,124,124
32,141,116
84,83,103
79,193,113
32,172,143
80,149,252
82,123,84
79,122,138
84,100,417
69,178,221
67,109,268
84,90,209
32,173,103
77,184,178
89,118,301
32,138,329
70,137,161
65,155,163
77,137,404
73,79,216
76,155,150
89,50,130
32,87,217
70,87,245
82,71,229
79,201,115
77,144,395
32,188,204
80,174,242
69,170,156
79,121,242
80,247,119
76,141,132
69,172,190
32,177,137
84,94,145
72,160,155
65,122,135
84,130,417
32,122,122
77,173,143
65,201,820
89,107,251
32,165,76
84,104,167
82,156,283
89,64,254
32,87,247
84,121,154
79,219,121
32,171,58
72,2,1203
65,131,123
82,170,139
77,129,164
32,153,125
83,133,1378
144,154,483
8,508,419
85,178,233
83,144,182
190,172,109
32,253,135
13,823,213
16,273,7
40,33,144
16,223,443
73,161,174
70,106,339
32,169,109
16,291,241
73,45,214
32,161,117
87,211,215
65,170,152
78,178,35
84,102,192
32,174,209
84,27,120
79,219,172
32,25,122
71,84,181
79,179,133
32,166,123
72,183,188
85,171,121
78,158,79
84,98,111
73,164,190
78,167,123
71,139,142
32,191,253
16,286,929
73,172,217
32,190,116
83,182,301
72,135,137
79,145,121
85,145,92
76,357,173
68,129,1012
32,139,166
66,86,185
69,143,88
32,159,95
65,209,351
66,156,190
76,137,123
69,166,136
32,182,159
84,100,174
79,337,121
32,188,98
66,23,645
82,134,83
73,157,240
78,177,80
71,139,150
32,148,150
65,136,136
32,154,141
71,88,206
85,195,256
78,183,112
32,147,243
190,257,227
32,127,-1
16,243,230
73,153,217
32,166,107
76,124,80
73,122,164
75,98,153
69,116,88
32,122,141
80,168,174
82,192,166
65,156,219
67,124,288
84,102,226
73,144,331
67,172,178
73,157,228
78,193,167
71,138,113
32,144,219
77,173,206
89,87,130
32,166,361
65,152,107
73,180,267
77,173,164
32,118,500
87,114,412
73,61,111
84,112,195
72,115,121
32,159,102
65,202,186
76,168,145
32,147,340
84,121,167
89,100,331
79,10,202
69,137,146
83,138,164
32,128,105
79,259,243
70,110,162
32,136,187
87,160,164
69,161,126
65,118,160
80,156,53
69,86,103
82,126,86
8,137,411
79,145,141
78,161,89
83,126,156
32,122,114
73,119,305
78,187,115
67,122,186
76,170,32
85,121,271
68,95,166
73,118,216
78,200,165
71,92,151
32,153,133
83,112,77
69,152,145
77,275,120
73,161,275
65,148,461
85,176,49
84,101,205
79,112,149
77,170,404
