VK,HT,FT
16,66,-1
84,129,134
72,576,802
69,101,138
82,458,168
69,148,112
222,55,505
83,22,756
32,121,217
78,135,171
79,365,228
32,140,304
87,428,197
65,98,99
89,893,658
32,119,420
65,94,86
82,331,288
79,498,909
85,323,469
78,122,143
8,499,451
16,101,40
78,84,160
79,523,268
32,131,201
79,867,608
78,120,117
69,109,121
32,104,420
67,72,958
65,121,89
78,93,170
32,96,170
68,116,41
69,135,133
78,131,129
89,793,940
32,93,324
84,91,146
72,356,986
65,126,169
84,97,176
32,132,278
71,369,998
85,883,942
78,113,144
83,749,777
32,118,378
65,130,109
82,118,481
69,101,105
32,130,390
68,46,227
65,95,174
78,113,145
71,463,254
69,127,136
82,653,712
79,710,38
85,936,846
83,360,250
190,728,132
32,106,231
16,900,40
84,135,124
72,695,530
69,109,100
89,55,71
32,103,371
65,117,195
82,288,116
69,106,124
32,109,288
77,966,483
69,154,101
65,103,213
78,100,144
84,139,176
32,125,254
84,94,149
79,118,830
32,98,292
68,352,467
73,100,180
83,888,659
65,132,129
66,168,755
76,39,585
69,129,110
32,98,339
65,106,183
78,89,115
68,368,549
32,99,330
69,162,126
86,124,275
69,154,120
78,129,126
32,130,392
75,188,412
73,104,177
76,693,705
32,103,173
79,303,639
84,152,139
72,932,599
69,115,109
82,79,744
32,100,227
76,273,48
73,100,222
86,847,112
73,97,161
78,111,138
71,817,15
32,98,377
84,112,162
72,158,780
73,97,159
78,117,165
71,526,774
83,249,595
190,506,674
32,93,198
8,265,49
32,96,405
68,883,150
69,101,131
83,970,747
73,115,296
71,400,982
78,108,116
69,158,91
68,451,913
32,138,177
83,424,125
80,919,441
69,91,130
67,323,98
73,120,79
70,618,856
73,99,66
67,827,359
65,102,155
76,46,10
89,524,354
39,127,841
8,821,5
16,374,594
73,116,302
78,122,143
32,130,390
84,154,187
72,83,920
69,137,121
32,91,397
87,187,31
82,172,905
79,37,589
78,119,133
71,48,448
32,99,311
72,109,997
65,109,143
78,129,103
68,648,387
83,901,107
188,561,473
32,127,301
84,114,179
72,262,341
69,112,131
83,835,681
69,92,106
32,90,183
73,107,255
77,422,235
80,230,325
76,40,110
69,143,124
77,20,47
69,92,98
78,125,117
84,93,172
83,14,318
32,126,206
65,117,131
82,862,84
69,146,104
32,135,215
84,100,119
79,747,536
88,11,237
73,112,219
67,907,611
190,426,317
32,144,169
16,379,62
84,115,133
72,397,623
69,134,103
89,565,367
32,96,302
72,981,703
85,552,611
82,422,772
84,158,123
32,133,347
84,84,176
72,224,873
69,134,120
32,143,356
73,100,263
78,98,163
79,662,429
67,986,304
69,117,105
78,134,113
84,117,186
32,100,413
65,92,105
78,84,100
68,772,196
32,137,251
8,157,796
72,514,804
65,104,214
86,195,59
69,99,125
32,123,367
84,119,168
72,43,173
69,149,93
32,125,297
65,96,178
66,455,679
73,119,224
76,820,544
73,111,109
84,131,153
89,766,998
32,136,321
84,150,129
79,565,402
32,100,317
77,278,388
65,116,248
77,714,343
8,977,191
73,119,141
77,35,27
32,90,384
84,162,118
72,194,366
69,116,114
32,122,226
73,116,106
78,98,112
79,824,907
67,37,806
69,96,99
78,120,105
84,136,184
32,114,195
65,122,102
78,113,131
68,130,663
32,116,249
73,101,175
78,93,153
70,70,664
76,569,745
73,105,69
67,841,432
84,118,181
32,99,317
83,229,794
69,103,129
82,644,755
73,118,166
79,899,62
85,600,256
83,217,867
32,101,274
68,567,719
65,109,295
77,98,90
65,117,232
71,265,1
69,127,102
32,126,303
85,618,453
80,996,636
79,565,375
78,108,126
32,92,410
79,189,610
85,357,119
82,797,279
32,124,196
83,148,725
79,125,433
67,535,897
73,115,174
69,151,121
84,120,133
89,676,788
190,104,650
32,131,287
16,188,922
84,111,144
72,586,376
