VK,HT,FT
16,224,-1
70,132,776
71,5,379
85,130,192
8,111,280
16,315,933
71,164,375
85,88,699
78,71,82
83,63,93
32,88,130
68,87,190
79,90,154
32,88,167
78,176,124
79,128,146
84,24,110
32,90,21
75,3,70
73,80,136
76,223,192
32,92,235
80,80,176
69,80,248
79,70,5
80,64,48
76,86,192
69,112,80
32,64,87
8,126,271
190,52,339
32,79,116
16,223,675
80,56,95
79,88,198
8,99,300
69,104,567
79,63,126
80,104,160
76,144,160
69,98,112
32,69,88
75,71,95
73,204,148
76,357,4
32,72,283
16,562,64
80,84,58
69,79,6
79,80,119
80,446,101
76,97,160
69,153,69
190,21,439
32,216,251
16,399,107
71,79,115
85,64,189
78,87,168
83,92,89
32,102,139
65,137,111
82,169,132
69,1,213
32,5,136
78,75,93
69,224,167
68,122,486
69,154,200
68,71,209
32,141,104
70,154,111
79,57,158
82,93,136
32,64,203
72,109,343
79,107,224
77,114,73
69,93,579
32,79,106
68,80,129
69,107,291
70,119,16
69,80,159
78,76,191
83,151,115
69,117,90
190,115,93
32,77,72
16,106,207
73,78,90
84,80,103
32,123,205
73,79,158
83,34,132
32,4,88
65,128,89
76,118,152
83,117,127
79,59,185
32,81,126
65,152,132
32,72,159
82,66,856
73,87,64
71,88,184
72,88,152
84,164,23
32,141,138
84,52,97
72,144,142
65,140,230
84,149,29
32,111,240
87,193,234
65,183,164
83,130,142
32,98,170
87,80,141
82,194,167
73,100,136
84,66,139
69,64,86
8,50,578
84,78,386
69,71,426
78,64,184
32,5,49
87,89,162
72,82,131
69,174,142
78,52,128
32,93,70
84,60,210
72,129,271
73,101,62
83,127,89
32,123,170
67,122,157
79,125,109
85,75,79
78,67,189
84,93,111
82,139,161
89,56,136
32,187,237
87,109,1401
65,104,143
83,105,94
32,114,114
67,72,163
82,96,192
69,128,2
65,107,186
84,57,109
69,184,218
68,128,235
32,111,105
8,769,639
190,60,925
32,248,94
16,110,210
65,139,62
32,107,164
80,111,218
69,96,112
82,63,192
83,118,246
79,87,67
78,88,118
32,118,104
84,87,154
72,125,90
65,36,21
84,98,23
32,161,365
67,72,91
65,126,95
82,232,61
73,137,160
69,127,118
83,126,94
32,9,375
65,79,85
32,95,150
71,46,479
85,104,113
78,120,159
32,48,273
65,143,51
78,72,88
68,118,96
32,65,79
84,147,743
82,80,231
8,1221,414
82,131,262
69,95,63
84,198,255
65,138,162
73,86,106
78,88,127
83,194,90
32,114,193
84,84,239
72,97,154
65,112,24
84,144,84
32,77,72
71,7,723
85,102,130
78,95,36
32,147,104
84,79,107
72,87,182
82,80,39
79,113,128
85,128,120
71,50,66
72,93,117
32,111,77
84,158,58
72,80,64
69,72,112
32,80,91
76,107,56
69,55,69
71,71,176
65,107,89
76,56,158
32,109,205
82,145,73
79,152,152
85,104,88
84,120,119
69,5,214
32,82,194
73,80,159
83,191,62
32,96,116
84,71,153
72,72,85
69,84,140
32,113,36
8,1466,1178
78,121,1166
79,141,169
84,107,87
32,112,202
84,52,112
72,146,72
69,101,144
32,85,128
66,104,299
65,128,100
68,96,152
32,111,73
71,88,251
85,104,110
89,128,98
190,72,221
32,135,369
16,135,187
84,135,87
72,64,113
69,136,130
89,71,141
32,95,126
83,122,96
72,121,162
79,189,114
85,32,120
76,6,196
68,126,73
32,111,75
72,125,366
65,130,243
86,53,323
69,146,229
32,95,128
84,100,80
72,82,80
69,157,216
32,117,116
65,75,177
66,56,97
73,6,192
76,180,404
73,144,236
84,69,143
89,53,227
32,142,156
84,117,122
79,98,120
32,1132,69
80,114,119
82,91,184
79,110,64
84,128,48
69,80,112
67,156,458
84,112,292
32,131,138
84,103,139
72,1,546
69,52,279
77,124,147
83,83,110
69,127,648
76,72,211
86,102,255
69,80,92
83,94,186
32,126,101
