VK,HT,FT
16,274,-1
71,106,125
85,106,139
78,137,243
32,161,150
67,137,333
79,100,123
78,114,243
84,28,147
82,98,182
79,130,162
76,98,130
32,98,370
73,98,171
83,146,75
32,138,116
78,106,292
69,242,108
67,117,80
69,90,251
83,155,175
65,138,147
82,138,177
89,114,259
190,158,210
32,5,159
16,583,187
84,169,147
72,125,279
69,146,152
82,171,123
69,140,140
32,168,9
65,101,137
82,130,203
69,148,155
32,114,163
70,98,144
65,130,131
82,37,206
32,141,163
84,99,50
79,289,99
32,146,163
77,85,915
65,138,108
78,106,142
89,105,122
32,146,139
71,130,157
85,106,199
78,121,405
83,138,112
32,56,27
79,122,210
78,154,115
32,136,279
84,130,75
72,122,76
69,141,114
32,114,83
83,126,141
84,130,169
82,114,187
69,180,171
84,106,115
83,49,163
190,133,219
32,59,256
16,241,227
77,98,299
79,94,150
83,154,195
84,131,160
32,138,295
71,130,268
85,117,172
78,138,243
83,146,210
32,101,131
67,155,521
79,154,129
77,237,147
73,98,179
84,130,192
69,146,187
68,146,227
37,1309,638
8,154,1178
79,114,123
39,1500,1166
32,147,283
85,95,187
83,146,114
69,74,173
68,143,354
32,90,162
73,98,235
78,101,179
32,133,67
67,114,235
82,106,211
73,105,144
77,113,323
69,90,339
83,259,195
39,781,1056
8,239,774
87,122,91
82,146,123
69,146,139
32,154,248
37,1358,742
69,114,147
39,1500,1236
32,154,147
80,25,218
85,119,201
82,138,131
67,106,150
72,96,139
65,146,114
83,154,99
69,23,175
68,101,227
32,138,206
76,122,153
69,114,141
71,137,243
65,137,219
76,136,131
89,119,238
32,161,158
65,141,89
78,98,120
68,171,74
32,153,175
76,129,179
65,122,178
84,126,131
69,114,195
82,267,75
32,146,131
8,1500,248
190,88,877
32,129,133
16,226,243
77,114,543
79,137,183
83,177,269
84,147,171
32,162,100
79,131,160
70,98,75
32,154,144
84,137,292
72,98,77
69,129,80
32,99,124
8,154,1293
16,343,1027
80,127,291
69,150,47
79,137,722
80,45,315
76,122,416
69,122,146
32,121,160
65,114,354
82,116,158
69,138,147
32,107,110
77,98,642
79,163,147
82,146,96
69,114,208
76,130,155
32,146,123
73,77,743
8,1500,772
32,138,116
76,131,251
73,106,139
75,114,235
69,114,71
76,121,155
89,125,291
32,5,241
84,122,175
79,104,122
32,169,123
66,144,220
69,146,244
32,178,86
75,90,209
73,130,291
76,122,326
69,142,323
68,115,227
32,121,188
79,105,186
82,82,179
32,172,131
87,153,150
79,114,139
85,138,152
78,104,235
68,97,241
69,97,155
68,114,203
32,130,147
66,138,225
89,114,259
32,211,199
65,114,282
32,114,144
71,130,153
85,106,195
32,146,123
8,84,767
78,106,170
32,92,139
80,122,218
85,121,421
82,106,208
67,122,275
72,38,139
65,87,173
83,170,115
69,84,171
68,154,361
32,101,186
76,130,330
69,87,145
71,75,244
65,122,203
76,145,131
89,122,241
32,165,147
65,154,139
78,90,123
68,118,9
32,131,162
73,90,171
78,114,178
32,131,156
84,145,91
72,122,93
69,13,148
32,114,121
8,1500,1153
75,98,314
69,114,84
80,175,309
84,130,115
32,175,107
73,98,179
78,101,174
32,131,161
79,129,255
78,110,210
69,234,113
222,112,441
83,255,155
32,145,163
79,111,275
87,152,205
78,110,316
32,83,139
72,98,308
79,274,93
77,214,188
69,94,196
32,60,708
84,128,62
72,126,123
65,98,227
78,90,163
32,124,171
66,114,282
89,122,338
32,129,106
65,145,108
78,98,159
32,131,173
65,138,143
82,138,203
77,72,11
69,106,110
68,110,227
32,131,153
82,115,1180
79,130,219
66,130,270
69,154,220
82,146,56
190,132,292
32,108,491
37,1354,162
32,89,287
79,106,171
82,106,147
32,116,131
67,138,181
82,106,251
65,130,162
90,130,220
69,66,296
68,131,173
32,113,131
83,138,204
72,106,155
79,183,236
84,114,107
69,125,189
82,106,141
32,145,131
79,138,186
82,6,157
32,178,130
84,131,128
69,114,202
82,188,248
79,130,162
82,96,123
73,104,272
83,137,75
84,124,117
39,826,1312
16,369,218
78,106,90
8,612,646
16,308,1227
66,130,227
65,130,20
67,122,219
75,90,235
71,48,176
82,160,90
79,124,274
85,114,87
78,106,273
68,137,106
32,154,147
67,121,211
72,106,122
69,112,108
67,106,241
75,98,278
83,146,123
32,106,171
83,122,278
72,99,155
79,130,199
85,111,123
76,141,267
68,133,212
32,127,759
66,122,215
69,103,232
37,1283,382
65,114,211
78,98,90
68,116,107
32,114,82
87,138,163
65,145,576
73,145,188
84,117,213
73,98,478
78,106,279
71,139,145
32,186,99
80,186,300
69,114,122
82,130,178
73,130,301
79,226,242
68,201,233
83,138,210
32,146,123
39,835,1174
32,146,179
77,114,240
65,154,163
78,89,90
68,131,74
65,154,187
84,130,148
79,116,91
82,106,144
89,130,291
32,200,107
70,91,140
79,4,155
82,122,116
32,121,146
65,101,152
76,138,116
32,122,170
71,137,139
85,106,157
78,106,243
32,56,139
80,174,451
85,122,229
82,121,219
67,146,235
72,85,182
65,55,83
83,154,164
69,74,187
83,251,227
32,143,276
65,137,141
78,114,131
68,143,57
32,101,106
83,122,114
65,129,139
76,114,193
69,95,124
83,290,195
32,115,133
79,119,59
70,98,75
32,178,131
65,130,179
85,98,345
84,130,99
79,131,123
77,106,126
65,130,195
84,122,98
73,98,409
67,138,215
32,130,275
87,122,155
69,114,171
65,146,435
80,123,380
79,131,179
78,107,219
83,138,115
32,106,90
87,122,114
72,130,139
73,106,739
67,124,211
72,96,125
32,138,68
87,114,148
69,117,171
82,150,99
69,138,137
32,172,162
68,129,77
69,90,176
83,152,171
73,147,195
71,114,243
78,130,299
69,167,139
68,144,221
32,145,490
70,106,149
79,130,128
82,146,111
32,162,128
87,130,243
65,130,139
82,91,179
70,131,188
65,138,107
82,172,179
69,153,138
32,177,264
83,136,310
72,98,115
79,176,132
85,138,123
76,128,361
68,139,107
32,31,33
78,144,159
79,52,108
84,122,187
32,108,1018
66,114,232
69,154,267
32,114,102
83,154,144
79,130,123
76,107,243
68,137,133
32,200,131
84,130,63
79,132,123
32,152,107
84,122,26
72,122,162
69,114,111
32,144,91
71,138,323
69,130,99
78,114,176
69,36,288
82,146,104
65,154,251
76,182,197
32,89,205
80,130,184
79,114,131
80,114,316
85,122,182
76,138,416
65,130,170
67,154,219
69,97,91
190,82,888
32,105,136
16,226,167
84,198,61
72,140,351
69,106,98
32,134,83
73,82,235
68,82,191
69,90,163
65,138,171
32,129,131
84,114,160
72,8,115
65,36,86
84,146,107
32,122,123
65,137,179
78,90,123
32,47,179
65,130,192
82,40,297
77,109,229
69,105,166
68,105,203
32,114,104
77,146,244
73,115,503
76,130,219
73,98,251
84,106,123
73,98,192
65,121,91
32,121,138
79,131,544
70,130,136
32,154,115
67,139,155
73,122,291
84,106,243
73,98,142
90,110,250
69,38,227
78,98,104
83,123,117
32,131,140
73,73,218
83,146,231
32,130,115
65,130,130
32,154,132
68,82,131
69,99,185
84,130,889
69,109,182
82,130,107
69,146,136
78,114,196
84,106,161
32,138,101
65,148,299
71,130,165
65,146,115
73,98,235
78,61,179
83,146,177
84,132,165
32,146,317
84,114,75
72,114,124
69,144,145
32,114,66
37,1500,326
82,114,210
39,330,752
8,157,532
65,114,131
32,106,131
84,140,99
89,114,604
82,114,123
65,130,163
78,29,123
73,114,119
67,130,219
65,162,155
76,121,171
32,149,196
71,122,155
79,170,99
86,90,195
69,114,147
82,146,69
78,97,187
77,106,635
69,105,147
78,110,119
84,138,133
37,1197,263
8,144,651
39,727,1276
37,783,203
82,120,107
39,1500,1164
8,242,927
79,106,203
85,118,147
84,90,155
32,154,115
79,131,235
70,149,117
32,154,488
67,145,227
79,131,125
78,130,220
84,98,165
82,10,195
79,113,162
76,98,315
32,102,218
39,1447,994
8,203,936
73,114,87
83,136,99
32,153,314
65,129,107
32,136,131
70,114,372
65,130,307
78,119,90
84,127,142
65,122,163
83,154,115
89,114,291
32,154,239
