VK,HT,FT
16,436,-1
65,151,163
77,108,150
69,127,149
82,99,88
73,95,119
67,99,123
65,104,164
32,121,102
72,126,321
65,124,99
83,127,140
32,113,98
65,100,139
32,91,104
83,113,223
79,133,135
77,105,96
69,121,82
87,91,155
72,111,145
65,109,126
84,110,78
32,127,113
72,100,153
73,115,100
71,88,144
72,89,94
32,85,224
77,94,183
85,88,232
82,87,141
68,76,172
69,103,165
82,96,102
32,95,198
82,124,250
65,124,170
84,94,158
69,90,172
8,149,434
16,289,516
73,90,180
84,80,217
32,92,141
72,114,191
65,111,160
83,123,120
32,93,130
66,73,242
69,62,142
78,121,251
32,127,77
80,132,268
82,92,73
79,92,164
86,82,182
69,126,228
78,108,137
32,116,151
84,85,199
72,98,117
82,91,134
79,129,90
85,79,63
71,74,130
72,78,78
32,99,144
67,115,245
79,99,108
85,78,160
78,85,220
84,99,154
76,126,180
69,80,199
83,177,148
32,94,302
69,91,277
77,108,250
80,111,211
73,96,209
82,123,111
65,105,232
8,112,514
73,78,425
67,109,127
65,122,164
76,150,94
32,107,135
83,116,159
84,71,133
85,99,134
68,94,192
73,100,175
69,116,86
83,99,113
32,111,262
84,97,220
72,105,93
65,99,107
84,106,80
32,100,155
71,102,332
85,100,80
8,166,436
71,108,402
73,93,195
66,108,219
69,139,181
8,184,595
73,78,416
86,90,115
69,111,199
78,123,168
32,99,137
84,87,159
79,122,77
84,114,209
65,136,178
76,231,139
32,114,171
71,100,231
85,69,251
78,66,215
32,94,113
70,91,180
82,119,190
69,258,198
68,88,351
79,109,151
77,105,125
188,123,351
32,99,123
84,100,396
72,76,98
69,81,104
32,95,101
77,94,303
85,106,258
82,80,132
68,74,162
69,129,169
82,118,84
32,102,111
82,136,309
65,112,105
84,106,146
69,101,142
32,84,102
83,104,257
84,91,88
65,130,113
89,94,122
83,99,107
32,95,92
80,109,171
82,90,98
69,100,95
84,108,346
89,106,146
32,123,257
83,96,254
84,98,160
69,114,118
65,104,160
68,93,144
89,85,123
32,99,192
84,110,225
79,89,96
32,117,91
84,94,136
82,105,249
69,210,182
78,110,188
68,98,149
83,83,193
32,103,168
85,81,234
80,121,145
32,112,181
74,86,195
85,113,204
83,118,142
84,78,140
32,123,81
65,98,118
32,119,163
84,77,354
65,116,126
68,123,144
190,101,152
32,172,357
16,395,326
72,77,133
79,180,153
87,109,185
69,159,143
86,86,193
69,125,196
82,130,125
188,109,211
32,108,111
82,90,341
65,119,139
80,129,226
69,95,258
188,112,316
32,120,72
65,114,155
83,122,128
65,117,180
85,88,143
76,141,204
84,107,147
188,82,365
32,88,161
66,88,240
85,92,107
82,97,135
71,122,216
76,92,279
65,140,132
82,101,111
89,91,169
188,89,205
