VK,HT,FT
16,140,-1
71,108,85
85,92,94
78,92,173
83,91,117
32,27,73
83,108,28
72,108,89
79,131,93
85,92,93
76,96,109
68,92,101
32,115,133
66,76,117
69,84,157
32,108,117
70,100,165
82,77,222
69,76,60
76,28,54
89,75,94
32,116,271
65,148,45
86,36,48
65,92,133
73,92,77
76,100,141
65,76,165
66,91,133
76,100,181
69,68,65
32,108,142
84,100,29
79,76,82
32,147,125
65,106,174
78,68,85
89,76,176
79,57,32
78,108,69
69,76,170
32,123,117
87,96,137
72,108,77
79,131,71
32,139,100
87,114,166
65,92,165
78,68,110
84,85,107
83,108,149
32,100,87
84,75,133
79,87,29
32,79,163
80,104,151
85,100,85
82,59,123
67,100,191
72,132,133
65,99,93
83,99,133
69,75,197
32,100,126
79,107,165
78,107,29
69,67,101
190,34,182
32,91,189
16,148,317
84,84,45
72,92,85
69,115,86
32,91,156
83,115,251
69,68,101
67,76,203
79,132,61
78,100,85
68,75,165
32,79,133
65,92,38
77,44,101
69,76,53
78,85,144
68,76,74
77,115,148
8,75,280
69,100,189
77,87,132
84,92,124
78,76,68
32,92,12
79,103,171
70,100,207
69,99,182
82,12,160
83,115,69
32,99,125
16,127,740
65,115,93
77,92,144
69,68,37
82,92,85
73,101,101
67,108,121
65,100,117
78,108,143
83,92,127
32,103,117
84,60,101
72,99,85
69,79,37
32,103,179
82,77,142
73,83,70
71,84,92
72,92,85
84,100,125
32,124,61
84,84,18
79,76,112
32,126,185
66,76,85
69,75,133
65,132,45
82,98,108
32,99,84
65,92,50
82,99,101
77,84,165
83,180,84
188,67,148
32,99,126
65,92,217
78,60,85
68,76,165
32,87,133
16,144,5
73,108,29
32,124,125
66,92,85
69,91,128
76,101,124
73,140,150
69,68,69
86,97,157
69,84,141
32,108,101
84,84,27
72,92,93
65,124,129
84,116,66
32,94,109
87,92,106
69,91,69
32,107,74
83,108,294
72,92,101
79,131,68
85,76,92
76,107,109
68,61,101
32,133,133
70,92,103
79,139,173
76,75,149
79,68,62
87,60,109
32,99,195
84,99,141
72,100,101
69,67,83
32,77,133
67,91,293
79,91,222
78,94,69
83,92,80
84,103,199
73,131,77
84,83,104
85,108,93
84,90,92
73,92,138
79,156,166
78,118,69
190,82,8
32,83,93
16,129,317
71,99,48
85,76,118
78,99,181
83,100,95
32,108,149
65,128,202
76,100,149
83,80,109
79,47,262
32,108,109
77,105,125
65,107,92
75,76,323
69,92,133
32,92,116
77,83,101
65,108,116
78,108,66
89,124,189
32,108,182
80,139,86
69,84,70
79,132,60
80,129,86
76,123,106
69,92,69
32,108,140
70,92,157
69,92,60
76,101,126
32,99,237
83,115,84
65,100,45
70,107,125
82,115,21
8,1038,671
69,115,53
82,107,101
32,116,139
65,141,482
78,75,94
68,76,207
32,89,133
71,60,312
73,83,74
86,117,171
69,84,116
32,108,133
72,100,93
79,139,85
78,124,68
69,68,77
83,98,165
84,100,149
188,76,288
32,108,148
76,123,157
65,107,117
87,100,333
32,132,93
65,116,133
66,92,209
73,92,125
68,84,61
73,116,133
78,108,69
71,68,77
32,84,157
67,79,99
73,108,174
84,108,96
73,123,151
90,609,280
69,84,88
78,100,31
83,92,93
32,89,91
65,92,130
32,100,99
77,116,99
69,71,53
65,108,133
83,108,93
32,107,93
8,963,813
65,76,125
78,124,93
83,92,93
32,116,117
87,79,149
73,37,63
84,107,38
72,92,70
32,88,167
87,12,134
72,100,52
73,84,282
67,99,205
72,83,133
32,118,181
84,100,75
79,85,85
32,18,153
80,100,689
82,115,157
79,73,109
84,115,69
69,83,181
67,108,346
84,116,133
32,123,93
84,84,149
72,38,101
69,92,37
77,140,189
83,288,109
69,184,69
76,101,141
86,74,157
69,76,141
83,73,141
190,51,79
32,91,85
16,164,24
66,99,117
65,124,132
68,91,197
32,115,133
80,118,125
69,67,133
79,92,46
80,121,86
76,147,93
69,84,61
32,120,155
87,132,397
73,82,79
76,45,157
32,92,277
65,91,132
76,14,119
87,141,117
65,76,117
89,92,25
83,83,109
32,92,125
66,76,487
69,84,159
32,108,145
65,69,93
66,91,139
76,84,216
69,92,61
32,94,179
84,94,29
79,32,122
32,104,117
71,83,86
69,115,125
84,107,61
32,84,227
71,67,62
85,76,69
78,92,173
83,98,138
32,115,133
73,77,141
76,219,154
69,83,85
71,97,188
65,91,125
76,141,102
89,75,173
188,74,149
32,99,133
83,114,268
79,53,95
32,100,106
71,67,269
79,68,61
68,92,77
32,108,76
83,99,102
80,100,58
8,86,304
80,83,853
69,83,81
79,108,60
80,124,86
76,123,93
83,139,173
8,84,634
69,84,62
32,124,153
83,100,164
72,100,8
79,131,93
85,94,101
76,129,70
68,73,86
32,118,7
66,60,106
69,84,141
32,131,143
65,83,86
66,92,118
76,97,157
69,83,66
32,87,101
84,94,110
79,16,109
32,137,111
71,92,159
69,106,189
84,91,69
32,116,188
71,83,118
85,75,68
78,84,173
83,83,94
32,116,125
65,99,100
83,67,160
32,100,41
87,116,142
69,92,109
76,81,117
32,92,183
73,91,139
78,102,69
32,94,172
79,72,142
82,96,61
68,84,213
69,84,62
82,84,60
32,97,126
84,76,69
79,68,98
32,139,109
68,76,117
69,84,182
70,206,75
69,91,93
78,93,189
68,76,171
32,68,139
84,76,149
72,102,117
69,92,43
77,91,69
83,92,225
69,76,44
76,99,117
86,100,101
69,84,165
83,92,134
32,96,131
65,92,112
78,84,94
68,75,54
32,99,133
84,14,77
72,108,81
69,95,37
73,84,157
82,99,149
32,99,125
70,84,294
65,140,137
77,111,69
73,91,93
76,46,173
73,81,133
69,99,37
83,64,141
190,79,53
32,147,133
16,132,740
73,92,29
70,84,106
32,107,85
77,140,176
79,108,142
82,84,84
69,99,54
32,92,127
80,115,853
69,142,213
79,139,77
80,86,101
76,124,117
69,94,73
32,108,183
72,97,149
65,99,117
68,92,61
32,134,110
71,108,107
85,84,69
78,91,182
83,82,107
188,59,113
32,92,133
84,91,78
72,83,52
69,92,75
89,112,190
32,123,189
67,99,293
79,68,69
85,100,14
76,131,88
68,76,85
32,133,140
82,118,267
69,146,77
83,65,134
80,77,125
79,72,85
78,100,57
68,83,52
32,115,133
84,84,692
79,24,74
32,140,141
67,105,107
82,83,141
73,83,121
77,116,101
73,116,77
78,116,69
65,84,101
76,107,3
83,92,93
32,117,117
77,75,28
79,116,29
82,105,172
69,86,60
32,96,109
69,76,77
70,98,99
73,91,165
67,92,113
73,124,133
69,122,101
78,101,117
84,95,112
76,92,109
89,83,237
32,123,204
65,84,134
78,83,94
68,76,46
32,88,127
69,91,77
86,83,128
69,98,104
82,105,102
89,92,110
79,100,93
78,123,117
69,57,202
32,135,167
87,137,71
79,139,68
85,125,61
76,100,55
68,84,149
32,131,133
66,67,85
69,84,149
32,123,101
83,92,109
65,124,133
70,93,92
69,84,60
82,96,88
190,76,101
32,115,133
16,343,74
84,84,54
72,132,69
69,76,44
32,117,157
65,45,100
85,76,101
84,92,109
72,117,124
79,139,57
82,46,101
73,92,117
84,116,124
73,131,143
69,68,141
83,92,116
32,100,125
65,100,140
82,100,62
69,60,53
32,92,9
79,73,17
70,83,93
84,83,109
69,92,181
78,78,114
32,108,267
84,68,149
8,389,426
83,115,157
76,100,141
79,108,85
87,132,179
32,108,141
84,92,125
79,76,32
32,141,116
65,92,133
67,99,101
84,92,883
32,83,109
65,112,197
78,83,94
68,76,165
32,93,123
89,79,213
79,156,93
85,108,93
32,27,237
77,78,95
65,91,141
89,92,68
32,122,217
78,124,93
79,108,53
84,84,125
32,83,163
72,92,100
65,100,109
86,89,6
69,122,149
32,91,117
65,86,93
32,81,127
76,125,117
79,83,172
84,76,101
32,123,157
79,110,56
70,83,157
32,85,353
84,91,140
72,132,85
8,951,389
73,75,133
77,140,191
69,60,69
32,92,133
73,107,149
78,108,75
32,68,250
65,89,127
78,82,85
32,61,173
69,100,77
77,61,111
69,91,102
82,107,67
71,100,418
69,84,125
78,100,128
67,76,141
89,75,93
190,68,181
32,108,262
16,164,456
73,100,93
78,92,70
32,136,173
83,84,243
79,52,117
77,92,173
69,115,241
32,119,75
67,92,117
65,88,69
83,83,231
69,76,61
83,92,157
188,67,253
32,48,133
79,109,146
87,107,109
78,100,181
73,123,117
78,119,104
71,83,158
32,92,172
65,91,125
32,29,1
85,79,93
8,86,357
71,100,192
85,76,120
78,99,202
32,123,225
77,140,231
65,124,101
89,84,183
32,81,189
66,70,96
69,63,182
32,139,147
84,84,101
72,132,85
69,116,99
32,100,156
68,84,179
73,108,93
70,13,169
69,75,173
82,102,85
69,107,82
78,92,117
67,99,198
69,131,149
32,91,197
66,65,85
69,76,141
84,116,92
87,20,90
69,91,85
78,101,174
32,92,173
76,100,109
73,76,289
86,96,97
73,75,118
78,116,124
71,91,326
32,155,166
65,140,93
78,92,53
68,75,112
32,99,134
68,91,174
89,63,205
73,92,109
78,108,108
71,51,186
190,92,191
