VK,HT,FT
16,225,-1
73,146,75
32,182,100
83,136,236
85,135,102
80,147,206
79,146,102
82,145,196
84,143,214
32,150,105
71,132,194
85,114,116
78,161,206
32,147,248
67,125,245
79,181,99
78,134,77
84,123,139
82,173,201
79,128,119
76,119,560
32,157,211
66,111,171
69,136,179
67,135,129
65,151,193
85,124,124
83,199,168
69,174,118
32,154,93
16,238,147
73,134,93
32,178,100
66,112,205
69,134,179
76,165,102
73,162,149
69,141,157
86,130,139
69,152,82
32,147,106
73,150,233
84,131,98
32,154,112
73,139,273
83,89,195
32,149,121
84,155,115
72,148,102
69,134,118
32,160,92
66,120,204
69,132,177
83,139,99
84,155,109
32,150,100
8,622,649
84,138,88
32,150,98
73,134,208
83,261,97
32,168,125
65,144,146
78,149,115
32,138,191
69,143,128
70,155,149
69,171,142
67,133,293
84,151,124
73,142,101
86,120,142
69,166,78
32,156,79
87,152,163
65,150,127
89,138,178
32,142,106
84,151,107
79,144,93
32,173,79
83,152,198
84,157,110
69,164,107
77,153,141
32,162,106
84,160,115
72,146,56
69,149,75
32,156,86
84,155,239
73,143,95
68,142,120
69,143,166
32,148,98
79,153,108
70,149,82
32,163,121
71,133,170
85,107,110
78,156,213
32,147,92
86,119,126
73,158,172
79,154,115
76,122,576
69,129,129
78,142,117
67,140,281
69,174,228
32,147,98
73,152,182
78,157,103
32,157,92
79,161,117
85,139,91
82,154,119
32,164,103
67,137,230
79,165,89
78,140,86
8,92,527
85,144,118
78,147,277
84,133,136
82,175,198
89,141,182
32,124,102
8,505,635
190,148,294
32,168,104
16,256,173
83,193,154
69,141,213
78,145,118
83,143,141
73,153,138
66,122,159
76,140,244
69,137,121
32,153,73
71,131,267
85,109,111
78,161,215
32,145,216
76,143,141
65,159,121
87,160,186
83,179,208
32,169,121
72,147,71
69,145,94
76,172,101
80,229,230
32,165,145
84,157,116
79,138,108
32,184,84
76,139,178
73,158,188
77,154,197
73,137,186
84,128,146
32,165,96
65,135,246
67,134,290
69,154,283
83,166,84
32,149,108
79,157,126
70,170,75
32,164,123
84,159,169
72,149,57
69,150,83
83,152,102
69,174,155
32,144,103
68,113,142
65,144,129
78,160,112
71,140,185
69,161,154
82,172,115
79,128,102
85,135,95
83,265,116
32,166,114
87,149,172
65,147,156
8,143,451
69,202,126
65,144,145
80,181,228
79,158,180
78,133,125
83,162,127
32,157,163
84,159,139
79,144,104
32,175,96
84,142,112
72,163,57
79,159,98
83,263,145
69,160,138
32,145,73
87,151,128
72,163,106
79,146,97
32,183,109
83,140,182
72,158,146
79,152,134
85,139,74
76,154,253
68,135,151
32,155,125
78,147,176
79,163,80
84,150,183
32,157,86
80,178,173
79,161,84
83,219,149
69,152,151
83,161,95
32,155,121
84,154,122
72,161,67
69,141,67
32,156,96
8,305,614
77,149,222
190,144,333
32,153,145
16,273,160
73,146,84
32,181,94
65,143,158
76,150,140
83,134,116
79,154,84
32,184,104
83,147,235
85,142,145
80,144,170
79,150,179
82,143,215
84,146,217
32,158,97
50,603,679
78,144,107
68,141,165
32,176,133
65,142,142
77,146,251
69,163,102
78,136,106
68,144,131
77,152,232
69,160,130
78,141,105
84,131,112
32,163,84
82,160,173
73,141,161
71,146,135
72,167,137
84,136,96
83,181,184
188,141,541
32,170,88
66,122,188
85,140,110
84,137,172
32,162,82
73,139,256
84,131,95
32,163,103
73,132,153
83,90,192
32,154,81
87,144,140
69,175,153
76,179,103
32,162,162
85,123,141
78,158,259
68,165,120
69,151,167
82,175,95
83,229,192
84,153,108
79,149,104
68,128,179
32,163,102
84,168,82
72,171,70
65,151,100
84,153,73
32,156,102
84,158,110
72,142,94
69,150,92
82,182,96
69,133,97
32,152,107
65,139,200
82,165,148
69,172,95
32,147,90
67,129,245
65,149,130
83,159,257
69,177,130
8,413,492
87,163,149
69,146,131
32,147,119
65,154,154
76,193,146
83,149,168
79,156,89
32,170,115
78,153,150
69,218,76
68,122,267
32,141,90
84,167,211
79,142,91
32,172,80
67,129,174
76,179,124
69,143,139
8,575,465
65,153,156
8,196,524
69,175,236
65,164,211
82,167,118
76,170,207
89,149,148
32,124,103
68,107,131
69,146,177
70,159,136
73,154,140
78,157,83
69,138,82
32,134,124
84,159,271
72,151,85
69,148,112
32,154,113
73,153,150
78,148,71
83,168,117
84,159,100
65,149,110
78,151,127
67,134,208
69,173,252
83,164,108
32,159,136
87,155,130
72,159,99
69,143,80
82,185,96
69,153,110
32,151,112
84,148,283
72,159,90
73,150,183
83,140,204
32,151,113
82,171,233
73,179,112
71,148,118
72,165,83
84,141,177
32,152,107
78,154,147
69,212,96
68,131,225
83,176,184
32,172,109
84,155,124
79,147,86
32,186,92
66,119,200
69,136,179
76,161,112
32,159,204
8,612,584
32,152,122
76,139,116
73,146,212
77,151,201
73,146,188
84,135,128
69,165,103
68,116,241
190,136,344
32,153,134
16,220,171
85,126,107
78,160,207
73,157,101
86,136,140
69,151,72
82,166,95
83,226,193
65,164,153
76,148,122
32,155,186
66,122,163
65,143,217
67,139,237
75,126,128
71,141,200
82,142,226
79,100,80
85,141,83
78,156,212
68,154,170
32,155,106
67,134,277
72,160,75
69,133,68
67,129,212
75,119,145
83,93,213
32,158,85
87,165,155
73,156,177
76,156,173
8,294,544
79,151,167
85,146,94
76,149,150
68,148,171
32,147,102
71,138,333
79,161,94
32,166,99
65,137,140
32,160,92
71,139,207
82,143,242
69,149,99
65,158,110
84,162,118
32,175,72
76,145,144
69,140,170
78,143,106
71,143,116
84,148,181
72,165,132
32,150,97
84,155,140
79,142,113
87,156,120
65,157,207
82,154,187
68,131,172
83,149,176
32,171,130
69,156,178
78,137,106
83,152,138
85,132,105
82,143,225
73,171,99
78,156,54
71,150,183
32,155,99
84,157,120
72,158,87
65,149,104
84,146,149
32,178,90
67,130,178
82,172,199
73,194,140
77,142,186
73,142,275
76,164,210
8,207,641
78,160,136
65,164,148
76,163,116
83,131,215
32,161,111
65,157,129
78,144,115
68,172,52
32,158,156
84,164,208
72,167,87
69,146,105
32,163,95
77,137,187
69,158,238
78,140,103
84,130,151
65,153,192
76,157,105
89,137,175
32,142,100
73,135,276
76,144,267
32,161,157
68,117,128
79,157,105
32,174,106
78,156,168
79,158,118
84,155,156
32,149,93
72,149,147
65,158,93
86,131,126
69,170,80
32,155,97
69,166,98
65,161,131
83,199,128
89,149,277
32,124,106
65,145,160
67,126,183
69,144,249
83,174,98
32,169,66
84,158,132
79,147,87
32,184,88
70,187,106
73,160,156
82,161,151
69,179,104
65,149,138
82,151,178
77,143,244
83,183,152
190,149,293
32,155,127
16,272,153
84,140,129
8,463,687
16,387,241
70,150,127
73,140,118
