VK,HT,FT
16,0,-1
71,132,20
89,106,255
85,106,167
78,129,211
83,87,89
8,495,495
85,114,0
78,116,227
83,90,91
32,97,135
65,137,181
82,104,156
69,150,296
32,97,449
82,50,92
69,122,98
83,104,0
80,107,109
79,70,141
78,113,79
83,69,106
73,107,33
66,80,123
76,123,87
69,98,199
32,116,273
70,57,198
79,79,373
82,85,105
32,84,92
75,49,255
73,150,75
76,198,144
73,108,106
78,129,61
71,115,0
32,59,0
80,146,210
69,87,264
79,75,26
80,186,285
76,127,19
69,101,128
32,79,259
65,52,0
78,161,221
68,85,353
32,111,127
77,123,0
65,28,127
75,153,211
73,69,65
78,114,108
71,131,89
32,95,151
83,82,268
79,108,146
67,118,435
73,105,200
69,57,186
84,86,0
89,128,57
8,980,706
69,130,0
84,59,171
8,0,712
73,63,0
69,134,388
84,90,216
89,106,151
32,98,0
65,132,279
32,88,165
80,90,0
76,151,138
65,89,302
67,94,154
69,118,9
32,77,0
79,120,315
70,148,42
32,52,69
82,80,135
73,100,819
77,151,167
8,327,458
67,127,340
82,136,60
73,83,33
77,110,152
73,89,239
78,119,81
65,64,11
76,169,111
32,68,281
65,87,220
67,85,137
84,102,342
73,86,695
86,91,3
73,135,757
84,52,0
89,106,126
190,109,247
32,31,122
16,244,503
71,38,145
85,58,100
78,118,129
32,140,8
67,139,263
79,110,112
78,238,83
84,150,105
82,112,20
79,14,0
76,140,148
32,110,238
73,102,0
83,64,179
32,109,104
78,114,165
69,111,77
68,85,665
69,107,196
68,90,470
32,49,297
65,83,307
8,416,68
32,75,252
8,613,612
68,114,156
32,101,0
66,146,195
69,147,148
67,83,121
65,103,224
85,80,269
83,79,97
69,45,159
32,128,0
65,136,461
78,140,297
32,18,0
65,98,318
85,74,385
84,112,96
79,114,48
77,165,135
65,124,136
84,91,0
73,92,201
67,84,206
32,90,0
87,108,331
69,82,122
65,89,29
80,60,378
79,117,65
78,123,81
32,106,189
67,99,194
65,140,42
78,164,299
32,18,31
75,123,65
73,84,119
76,111,378
32,103,42
68,63,205
79,132,0
90,972,194
69,124,134
78,165,172
83,68,38
32,73,203
79,114,666
70,31,133
32,75,73
80,144,197
69,51,193
79,70,0
76,158,61
69,53,90
8,529,637
80,83,0
76,116,172
69,50,156
32,51,0
73,117,317
78,116,95
32,79,0
83,91,43
69,37,145
67,98,79
79,86,25
78,137,139
68,102,0
83,43,20
190,124,345
32,76,107
16,0,556
79,181,0
85,124,124
82,82,58
32,65,100
83,90,314
67,131,144
72,162,0
79,135,139
83,38,164
8,990,756
76,150,372
83,63,95
32,58,273
65,77,213
78,59,73
68,84,647
32,77,40
67,101,205
79,104,155
77,102,188
85,40,295
78,97,195
73,104,292
84,118,174
73,143,300
69,134,241
83,85,208
32,95,278
65,86,207
82,85,62
69,80,207
78,104,317
222,144,0
84,102,290
32,100,217
83,79,248
65,99,255
70,103,256
69,52,238
190,131,299
8,223,407
32,95,0
66,97,161
69,152,140
67,182,348
65,77,298
85,111,0
83,82,228
69,139,178
32,95,3
79,146,188
70,160,159
32,77,87
71,158,83
85,87,72
78,122,205
83,53,77
190,135,479
32,105,223
16,299,398
73,147,130
70,86,134
32,136,89
79,126,124
78,191,104
76,210,191
89,132,155
32,130,4
71,135,249
85,77,109
78,116,173
32,96,462
76,153,137
65,119,242
87,70,388
83,88,200
32,41,115
87,125,8
69,132,24
82,128,80
69,107,346
32,52,0
77,152,1243
79,84,134
82,96,94
69,49,220
32,92,641
84,83,440
79,94,65
85,133,55
71,116,64
72,71,165
32,109,190
84,140,69
72,144,33
73,126,27
83,152,114
32,52,202
87,66,281
79,152,0
85,143,87
76,97,157
68,99,479
32,82,53
67,118,238
72,135,77
65,119,56
78,121,21
71,92,336
69,97,92
190,100,444
13,305,774
16,247,377
80,61,290
69,105,55
82,101,33
83,61,129
79,142,0
78,168,115
83,92,62
32,86,263
65,102,197
82,83,105
69,103,168
32,78,324
69,107,24
81,519,437
85,113,301
73,89,540
80,118,35
69,147,42
68,144,319
32,82,68
87,64,375
73,76,130
84,84,114
72,187,88
32,94,234
65,122,0
82,147,454
83,84,177
69,94,77
78,134,100
65,145,121
76,138,63
83,91,87
32,108,181
79,124,404
70,150,19
32,137,79
87,96,208
69,161,95
65,115,74
80,144,296
79,128,131
78,109,45
83,85,0
32,107,99
65,119,150
8,434,424
84,113,326
72,93,25
65,99,86
84,93,34
32,113,149
67,130,0
65,26,297
78,137,177
32,116,208
84,113,0
72,143,27
82,74,175
69,116,0
65,153,282
84,105,119
69,0,167
78,96,286
32,49,0
65,130,656
32,101,351
80,110,258
79,45,217
76,176,268
73,100,100
67,125,169
69,81,371
32,52,469
83,100,107
84,124,0
65,136,126
84,142,45
73,97,53
79,139,0
78,108,45
190,127,69
32,77,130
16,37,215
67,71,268
72,134,114
73,120,33
76,140,305
68,53,250
82,151,61
69,138,115
78,96,0
32,94,106
67,165,243
65,87,97
78,67,134
79,160,34
66,127,239
