VK,HT,FT
16,1070,-1
73,112,327
32,77,121
68,126,190
79,102,182
32,99,0
78,99,151
79,138,0
84,78,87
32,159,88
83,58,287
85,90,187
80,0,401
79,179,167
82,144,18
84,4,313
32,157,157
71,69,562
85,131,152
78,46,161
32,108,66
71,66,712
79,192,120
78,86,156
84,81,25
8,524,524
67,94,374
79,108,130
78,128,62
84,105,0
82,159,226
79,100,116
76,177,138
32,147,102
65,87,123
78,125,101
68,74,50
32,70,157
79,126,279
68,97,289
32,83,94
78,107,113
79,173,126
84,75,114
32,106,48
76,91,428
73,74,138
75,79,178
69,91,105
32,122,0
84,104,38
72,179,110
69,114,152
32,74,152
73,63,288
68,122,112
69,68,156
65,128,171
32,82,71
79,57,102
70,114,108
32,103,144
83,103,416
79,103,0
77,123,16
69,57,42
79,82,212
78,84,20
69,41,206
32,76,217
66,47,140
69,187,212
73,133,65
78,69,150
71,46,25
32,108,56
80,106,605
85,38,88
78,154,120
73,102,253
83,178,0
72,77,108
69,119,237
68,86,0
32,169,0
70,130,0
79,83,122
82,54,0
32,87,207
84,126,208
72,189,94
69,107,132
32,145,328
70,65,338
69,267,225
87,135,445
32,123,79
67,35,364
82,121,222
65,85,116
90,154,5
73,50,226
69,117,278
83,163,203
32,88,135
84,73,166
72,61,8
65,176,69
84,106,116
32,80,91
68,103,18
79,115,110
32,130,164
78,37,139
79,129,291
84,117,188
32,137,80
80,87,64
82,70,156
79,121,252
80,97,304
69,96,165
82,100,82
76,126,116
89,133,181
32,123,184
77,93,127
65,116,175
73,123,55
78,98,0
84,114,0
65,92,132
73,191,6
78,163,143
84,76,245
32,86,0
65,114,202
78,123,82
68,84,108
32,153,139
85,71,284
83,143,0
69,58,45
32,65,105
84,110,217
72,71,102
73,74,103
69,179,40
32,155,193
82,106,425
8,700,591
82,123,297
32,100,93
71,114,256
85,48,84
78,122,235
83,120,0
190,123,114
32,235,0
16,242,45
71,88,478
85,101,154
78,174,159
32,177,255
67,129,192
79,108,247
78,80,160
71,86,266
84,119,123
82,100,208
76,119,122
32,214,116
77,107,46
69,229,128
65,65,129
83,141,343
85,63,235
82,200,183
69,143,4
83,210,34
188,75,122
32,70,0
87,83,521
72,81,83
73,147,27
76,126,116
69,35,219
32,139,31
71,119,29
79,161,293
68,92,260
32,67,121
73,69,341
78,100,128
84,75,325
69,174,226
78,69,107
84,48,345
73,108,127
79,160,125
78,146,24
69,123,43
68,83,520
188,12,916
32,143,190
68,99,284
79,83,111
32,157,71
78,58,22
79,159,28
84,71,35
32,54,28
83,116,249
84,163,136
79,110,84
80,103,128
32,100,74
72,133,198
65,119,113
82,131,210
77,66,29
70,138,370
76,104,291
8,908,686
89,56,596
76,103,149
8,752,770
85,110,217
76,93,153
32,197,315
80,93,120
69,129,159
79,118,100
80,148,85
76,80,237
69,74,43
32,136,89
70,123,191
82,151,145
79,91,63
77,129,100
32,133,0
71,47,31
69,105,248
84,81,189
73,51,127
78,88,86
71,85,106
32,87,18
65,151,145
32,93,138
71,132,0
85,82,78
78,91,233
190,99,749
32,60,538
16,167,283
65,84,142
84,115,164
32,74,159
84,64,425
72,79,106
69,122,0
32,145,61
69,150,0
78,89,177
68,130,263
32,117,13
79,79,103
70,41,95
32,119,142
84,142,122
72,111,150
69,115,97
32,112,119
68,93,533
65,125,267
89,80,131
188,90,67
32,106,149
73,113,0
70,94,22
32,81,8
84,114,247
72,61,156
69,78,124
89,87,153
32,111,199
87,63,15
65,79,195
89,54,133
32,89,286
8,567,656
78,142,0
84,118,275
32,70,128
65,77,328
32,72,0
71,54,339
85,116,202
78,141,270
32,87,53
87,105,101
72,80,85
84,117,175
8,131,522
69,109,818
89,81,140
8,0,447
84,143,403
72,102,126
8,1500,522
84,108,347
72,119,82
69,69,214
89,87,64
32,129,0
87,112,0
73,90,2
76,274,187
32,63,397
70,77,223
73,118,220
78,145,165
68,86,210
32,91,90
79,131,108
78,68,78
69,52,205
188,82,324
32,105,76
69,78,672
86,118,78
69,92,139
78,82,256
32,142,148
73,67,183
84,95,0
8,936,388
70,62,729
32,116,172
73,137,153
84,148,163
222,61,285
83,101,119
32,80,114
66,95,284
89,116,161
32,103,133
