VK,HT,FT
16,114,-1
73,508,353
32,177,87
65,163,0
32,139,105
70,985,165
85,417,525
76,706,740
89,257,669
32,132,82
65,144,72
71,197,49
78,97,76
8,657,361
71,551,482
65,176,24
73,677,783
78,104,122
83,367,136
32,168,66
84,140,55
8,160,705
84,125,79
32,126,65
71,230,220
85,740,325
78,81,0
32,125,57
67,463,889
79,116,174
78,127,95
84,141,51
82,44,103
79,128,79
76,939,779
32,140,69
16,550,242
73,247,79
32,176,58
84,103,51
72,119,94
73,448,99
78,114,103
75,242,535
32,157,59
84,109,88
72,97,69
65,141,44
84,103,62
32,139,51
73,613,98
84,132,81
32,132,92
84,102,25
65,141,86
69,113,31
83,982,140
32,121,95
8,608,114
75,869,856
69,122,34
83,203,514
32,163,17
65,163,37
87,217,84
65,143,364
89,510,18
32,146,82
79,79,355
85,244,745
82,124,72
32,146,96
16,412,689
83,954,785
69,121,35
67,317,908
79,125,9
78,89,44
68,118,0
32,147,58
16,617,307
65,143,54
77,102,982
69,111,35
78,96,137
68,113,744
77,618,753
69,110,153
78,103,95
84,103,52
32,189,51
82,101,55
73,456,167
71,742,999
72,104,66
84,122,45
83,875,180
190,671,755
32,147,86
16,852,910
73,834,315
70,180,51
32,130,61
84,95,109
72,98,72
69,98,528
89,741,123
32,164,58
68,121,0
79,99,62
32,164,94
77,619,123
65,167,19
69,95,35
32,146,47
8,646,658
75,176,6
69,69,120
32,154,58
71,780,371
85,766,843
78,97,114
83,268,163
32,171,88
73,189,612
76,519,692
69,108,78
71,911,325
65,119,29
76,448,863
32,176,125
73,529,53
84,135,68
32,102,69
73,74,995
83,918,269
32,152,52
74,161,805
85,198,447
83,495,104
84,103,67
32,150,109
71,115,487
79,88,73
73,198,721
71,541,226
32,85,130
84,124,31
79,15,38
32,146,81
65,155,43
68,120,87
32,139,94
85,485,858
80,665,496
32,161,116
84,108,50
79,112,325
32,154,58
77,693,507
79,100,57
82,109,72
69,111,122
32,157,53
73,392,707
76,695,970
69,85,28
71,552,981
65,94,124
76,323,643
32,132,43
71,385,483
85,393,101
78,118,44
83,74,773
32,199,65
66,693,0
69,110,95
73,759,414
78,96,36
71,816,352
32,176,87
79,119,186
8,703,720
83,265,134
79,98,79
76,440,903
68,120,53
32,187,188
79,126,73
78,110,28
32,139,51
84,129,25
72,124,0
69,103,81
32,145,0
83,906,556
84,142,122
82,111,42
69,118,96
84,119,50
190,266,78
32,147,123
16,963,417
32,120,123
71,952,197
85,708,145
78,103,145
83,976,726
32,163,72
87,166,697
73,728,567
76,644,751
32,165,54
71,15,255
69,66,99
84,106,67
32,78,43
73,938,982
78,103,4
84,108,39
79,97,71
32,137,57
84,103,25
72,102,98
8,981,393
32,140,139
73,235,888
78,117,82
32,168,47
84,103,59
79,97,37
32,147,93
84,95,89
72,99,73
69,131,82
32,153,58
72,104,40
65,142,92
78,112,79
68,117,54
83,607,925
32,128,1
79,126,101
70,295,62
32,161,94
84,121,0
72,91,154
69,111,165
32,162,48
87,725,472
82,119,0
79,119,73
78,103,95
71,630,290
32,146,102
80,467,672
69,117,41
79,110,73
80,258,147
76,201,612
69,118,95
32,131,40
86,405,20
8,685,955
69,118,90
86,800,959
69,103,73
78,118,80
32,158,87
69,125,76
65,149,124
83,133,343
73,95,660
69,103,96
82,120,103
32,140,152
8,827,389
32,129,79
65,105,90
8,526,803
78,98,58
79,101,164
87,652,172
32,166,58
65,164,48
78,104,36
68,117,119
32,177,58
87,732,38
73,624,334
76,818,771
32,163,81
74,125,803
85,106,952
83,678,923
84,135,25
32,146,88
67,328,31
82,99,22
69,110,20
65,142,111
84,103,58
69,139,90
32,147,59
65,176,92
32,176,60
66,676,513
73,709,425
71,968,929
69,110,118
82,143,33
32,119,65
80,261,12
79,123,72
8,645,249
82,113,106
79,121,114
66,574,212
76,623,900
69,103,31
77,174,967
190,67,567
78,104,139
32,163,93
16,729,804
73,662,535
84,64,178
32,176,80
73,720,625
83,768,482
32,149,69
77,105,255
89,921,324
32,132,220
82,105,102
73,886,755
71,152,695
72,109,52
84,109,87
32,147,105
84,103,83
79,119,44
32,148,106
80,971,833
82,125,126
79,95,58
84,103,28
69,97,121
67,875,818
84,119,118
32,140,58
77,733,541
89,653,887
32,147,60
72,122,51
79,125,72
85,499,338
83,67,557
69,102,25
32,128,51
65,163,92
78,49,82
32,147,95
70,689,643
8,349,801
68,85,157
32,149,65
8,1,548
68,129,914
32,153,81
70,953,165
65,152,32
77,917,319
73,562,497
76,169,289
89,729,828
32,149,61
65,114,59
78,106,79
68,122,49
32,131,109
73,380,419
70,366,210
32,171,53
16,333,899
73,628,379
32,140,94
67,454,507
72,118,89
79,126,82
83,508,79
69,103,95
32,146,58
84,126,129
79,97,42
32,164,87
72,110,89
65,143,34
86,93,686
69,95,1427
32,147,31
73,815,678
8,292,312
65,166,73
32,147,58
71,621,155
85,100,537
78,85,144
32,116,57
73,480,522
84,146,209
32,27,80
83,281,411
72,123,89
79,138,127
85,109,312
76,680,940
68,117,56
32,146,86
66,108,434
69,134,89
32,154,47
85,798,960
80,43,7
32,140,94
84,114,67
79,103,72
32,152,66
77,162,116
69,121,88
32,163,91
16,169,779
32,119,50
65,140,92
83,134,778
32,163,95
76,183,999
79,110,102
71,95,30
32,124,79
8,992,103
78,89,85
71,390,260
32,152,80
65,158,33
83,862,202
32,152,105
8,40,80
69,121,186
190,298,459
32,132,67
16,693,236
65,163,37
83,338,854
32,132,138
76,648,933
79,104,73
78,91,54
71,33,768
32,164,65
65,155,46
83,281,883
32,146,113
71,965,641
85,95,218
78,81,95
83,97,380
32,146,40
65,144,119
82,121,73
69,113,70
32,154,56
66,786,503
79,21,85
85,776,668
71,234,917
72,108,82
84,8,66
32,146,66
76,702,430
69,128,17
71,183,312
65,120,56
76,67,718
89,864,570
32,124,58
65,163,73
78,120,73
68,118,35
32,178,65
84,103,35
65,163,438
75,779,667
69,104,112
78,103,69
32,142,60
67,417,100
65,121,18
82,117,120
69,93,131
32,146,58
79,102,53
70,309,198
32,133,58
76,587,71
73,387,780
75,306,509
69,127,78
32,146,56
84,42,148
72,117,69
69,138,88
89,614,554
32,164,89
83,536,207
72,118,72
79,111,72
85,20,354
76,107,715
68,103,349
32,131,61
66,231,716
69,130,116
32,62,98
84,112,88
72,117,33
69,110,121
78,103,92
32,176,94
84,94,58
72,117,73
69,111,49
82,119,102
69,117,0
32,142,58
83,691,794
72,101,34
79,88,128
85,699,271
76,791,464
68,117,76
32,151,104
66,677,345
69,109,122
32,127,42
78,81,82
79,94,128
32,147,89
80,977,389
82,111,53
79,100,73
66,695,42
69,94,8
76,262,146
77,822,714
8,332,164
76,783,587
69,117,153
77,380,14
190,503,777
32,176,79
16,671,79
74,110,375
85,142,191
83,860,717
84,125,68
32,146,199
66,56,312
69,118,30
67,518,77
65,141,382
85,861,199
83,70,97
69,107,122
32,153,51
84,85,57
72,117,78
69,132,30
82,98,112
69,124,26
32,146,82
65,115,122
82,103,133
69,94,115
32,154,60
65,163,87
32,164,58
70,401,913
69,104,0
87,838,212
32,161,98
66,34,550
65,126,100
68,117,127
32,147,55
83,473,676
69,116,77
68,117,0
83,946,103
32,164,25
87,413,325
72,102,131
79,118,57
32,146,88
68,115,50
79,106,69
32,152,236
72,96,11
65,142,180
82,124,6
77,764,529
70,695,889
85,952,96
76,779,97
89,581,61
8,930,113
32,69,102
84,132,46
72,27,79
73,939,402
78,35,69
71,987,588
83,887,576
32,164,23
84,97,37
79,96,57
32,123,89
80,118,391
69,126,44
79,120,79
80,25,294
76,866,419
69,99,22
32,128,37
87,461,229
72,119,111
73,58,67
84,119,106
72,123,96
32,160,59
8,524,922
73,76,192
84,103,9
72,119,4
32,167,65
84,101,77
72,84,97
69,111,115
77,813,146
32,162,94
73,411,471
78,103,123
32,154,61
77,888,795
65,143,51
83,810,181
32,161,235
81,324,591
85,604,469
65,122,86
78,98,79
73,593,468
84,100,57
89,925,62
32,139,58
68,117,11
79,98,24
69,110,88
83,384,981
32,132,123
8,182,962
78,119,36
73,60,655
84,102,46
89,797,618
32,161,89
68,114,44
79,126,349
69,140,49
83,940,341
32,140,67
78,119,52
79,111,38
84,137,49
32,132,66
77,914,761
69,115,121
65,112,128
78,112,0
32,129,86
84,106,30
72,124,42
65,161,124
84,108,89
32,23,105
77,695,475
65,40,69
73,726,18
8,348,725
75,594,378
73,40,29
78,102,145
32,147,102
8,908,316
71,952,784
32,146,94
84,125,75
72,117,34
69,86,11
77,894,742
32,145,57
73,119,844
76,563,178
69,110,54
71,266,966
65,164,260
76,159,378
32,176,70
87,846,289
73,871,896
76,867,365
32,133,20
84,88,117
72,101,30
65,141,122
8,913,144
65,154,0
75,411,375
69,88,44
32,156,60
84,135,108
72,62,89
69,116,37
32,160,33
84,127,215
72,108,83
82,103,4
69,117,96
65,141,35
84,103,85
32,146,192
65,146,113
87,245,430
65,120,102
89,139,799
190,99,202
32,146,72
16,13,138
32,144,91
84,139,91
8,46,556
16,846,311
84,125,96
72,120,4
69,118,45
89,859,428
32,117,64
87,709,112
73,405,86
76,76,403
32,140,58
74,657,540
85,926,42
83,652,801
84,103,158
32,161,52
66,721,865
85,400,473
89,645,747
32,149,94
77,272,500
79,129,57
82,11,64
69,116,9
32,131,4
79,126,57
70,292,814
32,193,85
79,119,73
70,824,33
32,157,92
84,102,57
72,102,88
69,122,156
32,154,80
83,882,502
84,109,43
82,127,102
69,125,72
84,109,159
83,626,683
32,149,94
65,141,54
68,100,31
32,116,102
85,359,987
83,915,909
69,110,125
32,161,85
68,132,0
73,624,170
70,386,334
69,17,157
82,104,103
69,109,125
78,115,80
84,103,68
32,124,94
77,274,415
69,104,69
65,161,75
78,98,66
83,571,438
32,195,43
84,124,58
79,96,16
32,146,89
72,116,73
65,165,104
82,114,24
77,249,478
32,146,87
80,731,759
69,64,118
79,95,79
80,470,354
76,633,88
69,95,46
190,641,493
