VK,HT,FT
16,306,-1
71,106,0
85,90,49
78,92,44
32,119,245
67,106,66
79,70,0
78,82,119
84,131,223
82,127,6
79,74,176
76,146,237
32,33,128
65,88,103
87,154,0
8,152,78
76,83,255
65,168,46
87,133,0
83,119,279
32,66,204
65,159,178
82,28,94
69,74,120
32,114,128
65,139,199
32,71,81
78,91,88
69,93,5
67,98,147
69,108,166
83,138,0
65,97,217
8,105,318
83,88,582
65,127,289
82,69,8
89,47,152
32,186,177
80,108,617
65,167,33
82,54,95
84,145,77
32,138,87
79,48,185
70,246,223
32,70,371
68,121,79
8,628,522
16,259,609
65,86,179
77,861,554
69,80,15
82,89,260
73,137,102
67,105,82
65,170,83
222,219,87
83,99,269
32,76,43
67,95,201
79,53,154
78,135,157
83,101,101
84,156,0
65,196,0
78,101,222
84,125,311
76,111,126
89,889,765
32,136,0
69,50,0
86,400,441
79,113,196
76,85,253
86,812,249
73,62,146
78,93,82
71,114,252
32,121,173
83,121,324
84,111,255
65,70,256
84,87,337
69,133,295
32,92,34
79,71,58
70,262,881
32,0,206
66,250,372
69,85,124
73,124,114
78,98,51
71,95,351
190,238,916
32,83,132
16,321,653
84,113,0
72,120,65
69,125,296
32,69,109
82,178,32
8,985,0
16,144,581
87,132,172
72,97,174
73,48,120
76,46,307
69,114,159
32,87,239
73,79,51
84,89,422
32,80,65
73,74,106
83,131,129
32,92,112
65,81,100
32,51,120
67,119,157
73,75,97
84,75,257
73,34,136
90,637,543
69,88,75
78,149,196
222,303,685
83,95,277
80,479,299
8,436,290
32,146,133
82,135,182
73,86,117
71,78,103
72,110,226
84,99,206
32,42,119
79,75,132
84,55,340
32,67,122
8,372,628
84,152,109
79,97,52
32,127,58
65,106,165
8,686,478
79,101,123
87,83,134
78,114,145
32,93,61
87,110,463
69,108,20
65,149,347
80,803,157
79,63,156
78,86,115
83,142,105
188,876,810
32,160,174
84,115,77
72,62,128
69,70,237
32,75,96
8,1218,263
78,100,247
69,188,32
87,123,185
32,58,62
65,117,0
78,112,172
68,63,88
32,100,28
83,153,248
84,121,111
82,185,248
73,71,69
67,142,99
84,86,157
69,43,0
82,122,190
32,31,77
71,100,143
85,42,77
78,87,358
32,145,386
67,146,177
79,91,40
78,103,124
84,153,110
82,128,119
79,78,69
76,102,192
32,78,54
76,96,214
65,169,141
87,145,674
83,74,488
32,100,154
65,97,275
82,34,0
69,48,119
32,66,72
78,115,108
79,66,351
84,155,0
32,106,89
80,109,591
82,157,167
79,78,140
80,670,353
73,37,138
8,819,149
79,87,223
83,121,491
73,103,105
78,85,175
71,86,339
32,117,138
84,110,84
72,67,29
65,139,49
84,110,77
32,41,165
87,140,253
69,91,78
8,321,666
84,84,251
72,57,134
69,116,172
32,122,52
83,102,31
69,125,29
8,272,242
16,134,881
83,113,661
69,143,328
79,71,120
8,257,549
69,118,247
67,104,113
79,95,230
78,135,128
68,107,69
32,167,101
16,190,722
65,104,92
77,7,347
69,84,250
78,95,53
68,103,167
77,352,231
69,113,68
78,88,235
84,129,4
32,89,119
66,573,268
69,83,119
32,114,134
82,177,134
69,88,196
86,288,92
79,67,137
75,8,28
69,97,82
68,110,68
190,200,746
32,89,101
16,164,471
78,44,288
79,77,0
32,74,0
79,64,59
78,71,125
69,63,138
32,27,158
73,29,93
83,165,294
32,91,134
68,104,86
69,131,24
67,149,81
82,175,135
89,984,556
73,54,146
78,92,205
71,117,479
32,96,153
84,83,72
72,90,117
69,78,83
32,87,119
76,163,73
69,128,96
71,102,209
65,160,215
76,115,33
73,125,105
84,101,442
89,414,302
32,108,225
79,79,153
70,566,740
32,51,142
71,118,252
85,86,31
78,50,189
32,89,450
79,107,45
87,92,0
78,69,137
69,135,69
82,0,264
83,116,0
72,81,174
73,71,144
80,160,484
190,423,277
32,124,207
16,304,826
78,109,176
79,127,93
32,27,61
79,80,50
78,94,119
69,98,222
32,116,113
8,573,460
16,334,120
8,633,559
84,184,259
72,100,51
69,146,0
32,72,81
78,106,230
69,85,96
87,127,419
32,81,22
76,104,222
65,127,43
87,152,367
83,139,799
32,99,79
65,121,119
82,67,227
69,127,0
32,130,76
78,112,59
79,58,226
84,146,118
32,89,135
65,144,107
83,153,68
75,202,990
73,65,165
78,93,229
71,119,361
32,83,152
70,839,221
79,73,206
82,78,260
32,119,255
71,107,0
85,81,112
78,35,203
83,157,438
32,61,101
84,97,77
79,38,143
32,134,268
66,405,450
69,115,147
32,76,102
84,114,115
65,82,151
75,924,338
69,148,305
78,101,252
32,110,444
65,86,67
87,92,188
65,138,172
89,945,843
190,334,665
13,200,537
16,29,386
13,296,33
78,122,156
8,551,424
16,234,727
83,96,243
84,122,0
82,114,67
73,93,75
67,117,118
84,104,235
69,62,279
82,105,181
32,117,152
71,93,403
85,81,56
78,132,96
32,107,296
67,146,145
79,79,95
78,108,118
84,109,0
82,91,38
79,43,221
76,102,268
32,74,126
76,116,117
65,149,139
87,110,307
83,66,109
32,46,136
83,167,311
73,147,161
77,400,434
80,236,555
76,95,179
89,32,143
32,127,128
73,74,116
78,76,238
67,123,98
82,105,267
69,133,211
65,137,137
83,145,0
69,112,159
32,83,145
82,76,169
69,85,129
71,115,109
85,73,112
76,60,215
65,130,324
84,138,0
73,49,140
79,84,119
78,89,126
32,105,231
65,104,221
8,279,271
188,573,414
32,71,128
84,102,47
72,117,95
69,106,39
82,57,116
69,126,78
70,201,329
79,150,150
82,170,168
69,136,313
32,109,48
83,105,2
65,112,291
70,424,144
69,54,0
84,137,89
89,306,576
190,988,998
32,27,46
16,268,433
83,182,118
8,234,0
16,157,838
84,136,178
72,23,81
69,132,140
32,102,84
76,84,125
65,114,241
87,80,179
83,100,661
32,103,27
65,141,220
83,135,332
75,690,695
32,120,160
70,434,667
79,35,126
82,126,104
32,162,157
8,356,496
16,240,22
66,994,447
8,937,665
16,62,191
73,142,126
78,115,151
67,68,168
82,94,98
