VK,HT,FT
16,277,-1
71,128,137
85,123,32
78,161,85
32,91,225
86,76,391
73,107,69
79,145,153
76,270,236
69,91,458
78,107,112
67,70,102
69,96,120
32,117,336
73,123,196
78,112,112
32,91,249
84,117,168
72,185,69
69,80,133
32,100,81
16,359,376
85,139,87
78,145,91
73,138,129
84,106,54
69,96,188
68,87,83
32,103,74
16,197,66
83,97,240
84,101,234
65,112,463
84,250,224
69,96,173
83,91,212
32,133,35
73,123,196
83,64,226
32,91,102
87,85,262
73,128,206
84,123,435
72,96,98
79,155,224
85,63,112
84,250,132
32,101,116
65,87,346
32,91,90
68,96,26
79,171,80
85,123,108
66,91,142
84,112,224
32,91,127
65,110,372
32,95,80
77,117,210
65,129,429
74,756,604
79,112,59
82,64,134
32,107,101
80,150,217
82,80,128
79,98,218
66,85,129
76,117,155
69,71,122
77,107,148
190,133,242
32,101,67
16,353,148
67,74,163
82,84,283
73,177,101
77,123,345
73,115,631
78,159,164
65,112,746
76,269,104
83,101,201
32,96,192
65,88,253
82,80,283
69,91,182
32,119,70
82,97,224
69,91,190
67,86,246
75,129,104
76,222,148
69,98,92
83,85,219
76,139,297
89,119,71
32,62,199
83,48,201
72,112,306
79,103,224
84,91,72
73,149,64
78,139,112
71,86,117
32,112,101
79,134,216
84,118,102
72,150,69
69,75,103
82,113,182
32,90,88
80,121,194
69,64,150
79,161,200
80,182,101
69,90,317
8,630,692
76,107,207
69,104,130
32,28,125
65,98,145
84,233,383
32,136,210
65,64,172
78,133,4
32,123,177
65,117,153
76,269,138
65,70,241
82,91,224
77,117,107
73,149,69
78,156,112
71,78,96
32,106,186
82,96,180
65,58,461
84,169,336
69,96,226
190,128,179
32,107,113
16,301,188
72,145,92
79,297,113
87,90,125
69,91,237
86,121,372
69,20,266
82,120,220
188,107,85
32,113,207
71,126,334
85,117,44
78,139,102
32,96,192
79,118,217
87,75,218
78,117,107
69,92,391
82,96,180
83,113,135
72,158,178
73,155,69
80,180,121
32,103,173
73,149,178
83,163,173
32,106,101
71,95,309
82,112,175
65,97,134
78,140,91
69,56,200
8,578,291
84,85,259
69,80,587
68,107,227
32,112,162
84,112,123
79,131,58
32,102,231
16,209,163
85,118,97
78,149,80
73,123,102
84,177,154
69,97,133
68,89,122
32,101,141
16,289,315
83,117,233
84,101,501
65,109,463
84,177,332
69,107,171
83,81,226
32,117,341
67,85,315
73,116,122
67,75,657
8,253,719
84,92,249
73,68,407
90,382,139
69,107,290
78,107,112
83,87,112
32,91,90
73,106,224
78,112,118
32,112,199
84,107,206
72,116,67
69,75,197
32,106,78
16,305,171
83,112,203
69,55,203
67,91,395
79,232,69
78,117,125
68,107,156
32,112,135
16,397,186
65,107,332
77,107,71
69,106,165
78,121,112
68,107,123
77,107,183
69,106,32
78,54,131
84,92,142
32,101,66
8,117,1339
188,91,364
32,97,87
65,80,327
78,128,90
32,123,281
8,143,483
68,85,107
32,107,101
83,91,45
72,150,209
79,130,223
85,156,49
76,133,155
68,107,107
32,117,99
66,102,266
69,64,150
32,91,112
84,100,230
82,90,33
69,75,198
65,102,157
84,250,254
69,86,113
68,107,356
32,112,121
65,64,192
83,112,128
32,107,273
65,74,323
78,133,87
32,117,178
85,118,311
78,160,85
84,107,132
79,112,79
85,155,128
67,64,197
72,123,129
65,102,239
66,98,190
76,129,157
69,76,144
32,112,170
82,227,212
73,122,96
71,107,167
72,165,134
84,107,205
190,133,95
32,101,90
16,247,304
84,91,165
72,160,136
69,147,193
32,107,80
80,177,206
82,86,268
79,164,155
66,112,140
76,133,101
69,91,170
77,112,74
32,112,59
73,106,444
83,85,184
32,100,107
78,117,134
79,171,113
84,124,352
32,91,122
8,103,827
78,123,107
222,68,216
84,251,227
32,75,117
89,128,299
79,183,96
85,153,95
82,87,91
32,112,104
65,112,313
86,111,101
69,101,126
82,101,221
65,112,184
70,103,467
69,106,248
32,112,59
16,295,34
65,75,365
77,137,148
69,77,130
82,80,219
8,147,412
71,106,172
69,91,144
32,85,121
16,297,315
65,76,302
77,128,112
69,82,97
82,96,198
73,139,54
67,107,237
65,128,394
78,95,63
83,118,199
188,107,303
32,124,201
77,116,216
79,133,740
83,118,209
84,98,233
32,107,79
79,134,205
70,110,147
32,112,150
87,95,141
72,113,104
79,140,174
77,112,148
32,108,207
65,118,166
8,143,398
32,118,191
65,75,199
82,80,259
69,97,198
32,108,91
82,96,187
69,86,198
83,211,228
80,139,177
79,123,128
78,128,137
83,76,115
73,128,190
66,90,582
76,123,162
69,101,172
32,116,156
71,96,721
85,122,69
78,149,85
32,91,303
79,144,295
87,90,154
78,139,91
69,96,206
82,96,175
83,91,201
32,102,180
87,34,89
72,169,107
79,270,83
32,112,200
85,99,521
83,101,212
69,72,203
32,117,59
84,102,260
72,160,166
69,92,217
73,112,227
82,101,172
32,101,85
71,101,602
85,127,69
78,119,105
32,96,194
8,117,501
83,456,191
32,102,265
70,96,409
79,135,404
82,99,97
32,107,136
72,112,84
78,139,96
85,139,273
8,144,570
85,114,128
78,149,83
84,72,141
73,103,64
78,155,107
71,81,144
188,117,673
32,107,160
82,118,259
69,86,191
67,64,179
82,227,175
69,86,196
65,112,241
84,247,574
73,123,58
79,134,106
78,134,129
188,107,172
32,96,145
79,146,222
82,122,188
32,116,133
72,123,64
79,155,322
77,111,70
69,106,140
32,102,91
68,96,112
69,90,138
70,96,255
69,80,144
78,81,48
83,112,168
69,55,205
190,128,246
32,102,189
16,321,152
84,77,117
72,121,193
69,95,203
32,85,80
80,174,665
82,69,120
79,123,90
66,101,190
76,108,227
69,109,188
77,101,141
32,96,219
76,134,183
73,96,201
69,69,160
83,211,212
32,99,324
73,106,199
78,96,127
32,94,213
84,96,221
72,42,82
69,79,119
32,27,114
67,83,210
82,85,94
73,107,58
77,129,79
73,134,174
78,168,100
65,58,491
76,269,101
32,112,193
87,117,263
79,141,25
82,94,36
76,112,124
68,107,190
188,91,100
32,113,117
87,85,146
72,132,124
69,91,117
82,99,199
69,75,208
32,155,59
80,159,194
69,112,139
79,149,51
80,150,192
76,128,105
69,86,249
32,80,166
87,129,188
72,124,99
79,159,86
32,124,104
87,90,264
73,166,101
69,80,191
76,144,301
68,91,161
32,129,77
71,105,721
85,109,45
78,115,101
83,118,181
32,91,107
69,80,259
73,128,206
84,112,106
72,139,260
69,91,187
82,99,182
32,81,103
76,112,167
69,107,75
71,75,295
65,91,407
76,112,111
89,137,60
32,74,185
79,160,191
82,96,40
32,102,101
73,107,213
76,243,184
69,86,156
71,77,145
69,86,208
8,118,393
65,92,181
76,221,17
89,101,229
32,102,768
65,60,332
82,91,259
69,97,183
32,98,71
67,85,193
79,133,197
77,107,112
73,122,159
84,105,501
73,124,63
78,149,116
71,133,162
32,91,28
67,120,319
82,109,91
73,123,325
77,139,155
69,106,115
83,85,248
32,107,43
87,101,115
73,144,196
84,165,194
72,127,161
32,88,213
83,85,301
65,118,270
73,155,449
68,113,137
32,133,115
71,92,444
85,116,69
78,149,80
83,102,187
190,112,261
32,91,91
16,376,315
65,128,317
32,102,84
66,101,566
65,80,157
78,110,80
32,123,225
79,130,224
82,117,188
32,107,151
84,112,112
79,120,85
8,1131,568
73,139,158
71,101,161
72,166,80
84,96,271
69,70,103
78,130,106
73,183,186
78,156,75
71,69,81
32,110,132
79,134,515
78,161,118
32,98,200
71,101,331
85,112,43
78,144,65
83,102,177
32,76,194
87,110,178
79,161,79
85,106,86
76,123,23
68,91,105
32,101,135
79,119,295
66,90,278
86,69,137
73,107,64
79,160,107
85,155,135
83,107,397
76,112,121
89,46,262
32,124,317
66,94,190
69,107,128
32,118,151
65,105,192
78,131,33
32,96,192
73,149,473
78,154,102
67,70,192
79,171,72
78,108,90
86,69,131
69,100,120
78,107,28
67,74,114
8,406,409
73,142,91
69,107,187
78,107,101
67,70,198
69,93,175
32,112,83
70,117,68
79,101,124
82,74,124
32,107,101
84,112,264
72,139,69
69,92,134
32,1,53
8,155,500
72,122,113
82,96,181
32,87,117
84,102,83
72,160,84
69,80,193
32,38,101
76,134,536
65,35,140
87,112,157
32,107,133
65,80,252
66,107,140
73,177,91
71,106,96
73,128,103
8,908,489
68,66,259
73,101,120
78,156,129
71,112,102
32,96,132
67,85,253
73,119,132
84,238,102
73,9,363
90,147,158
69,91,210
78,107,80
83,98,156
32,79,193
87,86,245
72,139,51
79,298,81
32,109,240
80,118,209
79,163,91
83,75,149
69,99,39
83,257,212
32,96,264
79,114,219
82,98,100
32,102,96
87,87,429
65,118,327
78,128,38
84,101,96
32,101,204
84,107,134
79,112,62
32,113,281
80,150,206
79,128,113
83,64,222
69,86,203
83,113,222
32,96,127
84,91,238
72,134,91
69,74,183
77,111,413
188,107,619
8,1093,1287
190,112,122
32,117,112
16,277,315
78,123,103
79,165,1100
84,118,343
32,123,203
79,113,155
78,117,102
76,143,185
89,76,213
32,92,320
84,91,605
72,123,35
65,99,241
84,100,891
188,102,808
32,117,207
66,101,140
85,97,96
84,96,142
32,107,171
73,106,166
70,102,209
32,112,85
83,107,232
79,106,60
77,112,361
69,90,194
79,250,108
78,122,112
69,59,117
32,107,145
73,123,196
83,105,163
32,101,78
87,90,156
73,144,578
76,221,209
73,119,196
78,161,165
71,109,102
32,87,93
84,112,228
79,115,60
32,113,159
67,85,183
79,139,80
77,141,101
73,155,64
84,261,11
32,82,44
84,107,168
72,137,166
69,80,188
32,107,83
85,144,0
84,251,123
76,110,112
8,1007,292
76,106,139
84,96,234
73,155,58
77,128,170
65,85,287
84,103,86
69,121,230
32,71,102
67,85,315
82,97,259
73,155,225
77,112,172
69,104,125
32,107,102
79,128,56
70,102,117
32,112,121
77,104,365
85,112,86
82,85,88
68,88,156
69,112,195
82,101,200
188,107,88
32,46,117
84,107,175
72,110,54
69,86,157
89,107,229
32,101,141
87,112,3
73,117,54
76,246,233
32,123,198
79,109,219
66,90,304
86,88,104
73,106,180
79,155,326
85,187,145
83,91,234
76,117,97
89,128,321
32,74,171
66,90,329
69,96,133
32,101,70
87,117,266
73,150,266
76,131,209
73,29,189
78,149,163
71,91,115
32,11,226
84,102,142
79,128,91
32,112,196
67,93,175
79,183,773
77,165,182
73,117,159
84,93,113
32,91,126
84,66,518
72,123,85
69,74,93
32,121,96
67,114,316
82,96,128
73,123,101
77,155,119
69,96,119
32,127,49
79,150,271
70,118,163
32,18,128
73,107,257
76,109,209
69,107,119
71,112,96
65,69,248
76,255,111
32,117,198
71,76,727
85,128,69
78,111,101
32,96,309
79,171,174
87,118,202
78,123,117
69,261,238
82,80,175
83,68,223
72,107,323
73,144,148
80,118,430
32,102,128
65,95,395
32,91,91
87,114,274
69,86,249
8,121,271
83,80,250
32,29,143
87,89,251
69,86,97
76,156,162
190,112,91
32,107,214
16,298,266
84,123,134
72,133,107
73,133,51
83,85,96
32,102,73
67,107,318
82,78,134
69,80,228
65,118,455
84,250,335
69,107,322
83,74,226
32,91,49
77,118,200
65,81,158
75,117,129
73,166,148
78,161,121
71,100,80
32,14,196
71,77,785
85,122,64
78,113,85
32,121,184
8,908,500
79,27,134
87,117,153
78,163,1221
69,91,198
82,204,205
83,80,189
72,0,135
73,137,101
80,176,451
32,113,104
73,150,160
76,272,209
69,91,172
71,60,296
65,97,180
76,108,101
32,112,270
65,100,336
32,101,90
77,101,427
79,118,75
84,91,190
8,123,472
79,145,128
84,91,115
32,141,159
80,147,193
79,134,200
73,145,63
78,123,107
84,94,129
32,91,133
84,109,113
79,112,61
32,9,244
66,102,181
79,227,96
84,96,352
72,135,64
32,86,181
84,107,141
72,128,89
69,85,190
77,166,177
32,107,148
65,66,778
78,140,86
68,26,137
32,102,122
83,52,140
79,152,203
67,86,502
73,112,69
69,102,191
84,112,117
89,123,362
32,96,935
65,64,315
83,122,200
32,91,142
65,85,67
32,96,91
87,94,164
72,143,62
73,125,101
76,44,184
69,74,236
190,126,340
8,1210,1128
79,144,91
76,156,301
69,96,136
190,123,40
