VK,HT,FT
16,266,-1
65,109,224
83,206,257
32,111,136
84,95,118
72,204,168
69,89,38
32,97,72
16,126,145
65,119,64
77,100,156
69,71,128
82,131,54
73,80,185
67,56,116
65,162,222
78,120,96
32,80,175
83,125,354
79,88,125
67,87,170
73,82,362
69,108,127
84,111,182
89,149,199
32,41,107
72,130,168
65,91,28
83,96,251
32,83,87
69,103,144
86,56,179
79,112,157
76,238,451
86,177,154
69,6,151
68,80,755
32,111,72
87,17,46
69,151,91
32,124,159
72,65,141
65,70,42
86,69,19
69,62,183
32,137,87
66,85,80
69,234,90
67,209,113
79,109,246
69,2,316
32,136,88
8,947,779
67,96,107
79,130,109
77,392,18
69,100,98
32,61,428
77,72,204
79,76,81
82,103,56
69,158,71
32,87,111
86,80,476
73,72,95
79,72,177
76,79,163
69,119,131
78,96,163
84,72,112
32,118,98
65,128,107
78,88,136
68,133,80
32,44,4
68,112,128
69,48,285
83,91,167
84,127,196
82,80,267
85,64,168
67,79,131
84,104,251
73,72,130
86,104,167
69,96,150
32,102,52
8,465,614
190,85,899
32,98,111
16,179,153
87,156,229
73,280,73
84,127,174
72,126,70
32,80,720
79,45,235
85,104,48
82,136,128
32,100,152
67,62,1013
72,84,144
73,96,102
76,112,250
68,102,80
82,208,305
69,155,516
78,114,270
32,107,144
71,185,598
69,84,184
84,182,118
73,131,152
78,128,62
71,130,117
32,119,118
73,76,86
78,126,26
86,132,529
79,114,177
76,112,144
86,119,22
69,75,315
68,109,186
32,125,111
73,160,208
78,146,74
32,3,102
71,80,133
65,8,90
78,15,82
71,129,182
83,153,195
32,143,94
69,133,309
65,72,0
82,104,113
76,128,376
73,64,151
69,5,156
82,121,159
32,88,96
65,91,80
78,187,97
68,9,96
32,135,100
69,119,90
65,194,188
82,80,271
76,81,83
73,87,2
69,101,37
82,88,48
32,88,203
73,72,354
78,103,27
32,138,61
65,111,129
71,516,174
69,121,143
188,77,301
32,127,80
87,146,203
69,102,64
32,7,152
72,723,151
65,72,62
86,72,40
69,108,78
32,56,104
83,116,136
69,55,192
78,5,174
32,161,139
71,12,1428
85,95,129
78,136,52
32,141,88
86,71,176
73,96,160
79,111,111
76,146,392
69,156,97
78,80,118
67,64,95
69,77,179
32,96,133
73,77,109
78,104,65
67,107,177
82,80,224
69,250,6
65,0,88
83,144,152
69,276,197
32,115,505
68,119,140
65,101,135
8,55,340
82,63,992
65,146,163
77,65,208
65,119,73
84,60,167
73,70,96
67,85,397
65,104,113
76,263,89
89,105,364
190,119,530
32,277,159
16,127,557
87,156,105
73,47,88
84,111,116
72,72,77
32,107,96
71,120,187
85,63,121
78,94,184
32,69,0
67,113,180
79,88,418
78,88,166
84,47,72
82,107,194
79,78,280
76,84,228
32,143,144
87,100,89
69,104,156
32,79,296
87,100,115
79,188,124
85,32,117
76,84,157
68,99,118
32,100,150
66,108,120
69,82,111
32,83,139
65,96,181
66,74,488
76,113,159
69,158,115
32,87,160
84,46,68
79,128,119
32,101,114
72,160,483
69,75,20
76,152,138
80,123,218
32,131,112
84,3,106
65,109,140
75,2,101
69,143,791
32,73,245
83,131,311
79,28,111
77,78,212
69,61,72
32,159,109
79,104,246
70,92,96
32,110,119
84,86,125
72,102,70
69,96,77
32,81,37
8,1493,1168
73,56,1224
83,131,112
32,56,140
86,79,390
73,139,192
79,79,215
76,58,272
69,91,242
78,105,381
67,86,151
69,129,120
32,96,44
79,7,3
70,128,45
32,171,90
84,78,187
72,66,72
69,110,72
32,122,191
83,161,86
84,90,186
82,95,198
69,206,205
84,176,299
83,75,185
190,69,143
32,85,120
16,241,129
87,121,32
73,72,104
84,111,34
72,79,54
32,80,41
77,63,1052
65,96,63
75,76,94
69,128,89
73,88,104
78,90,76
71,72,167
32,109,103
71,73,199
85,120,120
78,143,14
83,121,21
32,80,98
72,80,138
65,105,82
82,6,143
68,137,246
69,81,130
82,33,2
32,75,540
84,134,101
79,81,91
32,104,138
66,72,1
85,104,183
89,79,283
32,2,61
65,80,102
78,107,96
68,83,64
32,120,120
75,112,192
69,245,0
80,89,216
32,119,255
87,87,625
69,80,104
32,102,320
87,160,359
73,38,97
76,272,23
32,121,231
80,95,140
82,120,353
79,88,70
86,98,173
73,95,47
68,63,260
69,80,129
32,79,126
83,168,209
79,122,88
67,18,108
73,87,132
69,61,235
84,110,232
89,110,128
32,73,79
87,143,49
73,114,120
84,126,36
72,99,80
32,107,120
65,69,33
32,74,104
83,115,215
69,96,208
78,61,212
67,166,105
