VK,HT,FT
16,238,-1
73,13,243
78,144,139
32,139,73
65,137,292
8,73,360
16,364,195
73,46,684
78,105,232
32,122,193
77,94,240
79,17,80
68,106,246
69,168,175
82,171,206
78,64,100
32,110,367
16,404,144
65,14,71
77,103,596
69,127,125
82,104,160
73,72,19
67,63,138
65,110,235
188,148,358
32,78,73
73,162,191
84,93,104
32,11,75
72,105,159
65,108,147
83,115,96
32,71,107
78,70,168
69,57,111
86,111,312
69,101,247
82,113,210
32,99,147
66,58,171
69,162,168
32,119,127
8,649,500
78,112,533
32,147,152
77,94,157
79,96,185
82,7,56
69,114,185
32,96,153
73,104,168
77,71,179
80,102,543
79,85,100
82,82,92
84,88,145
65,118,119
78,114,129
84,89,322
32,152,53
84,96,89
72,128,93
65,120,66
78,74,98
32,125,134
8,108,813
32,104,552
70,98,564
79,96,88
82,80,111
32,128,86
71,76,349
85,79,79
78,72,140
32,91,96
8,716,367
32,180,312
68,75,230
69,128,160
65,8,48
76,170,69
8,810,1167
69,145,414
82,155,62
83,157,125
32,72,96
65,44,107
78,70,95
68,183,101
32,120,69
71,112,43
85,80,96
78,87,177
32,119,22
83,0,632
77,77,139
8,1500,336
83,95,299
77,138,571
73,135,96
84,107,135
72,63,79
83,87,99
32,134,177
84,78,152
79,87,109
32,96,93
82,114,221
69,106,176
81,122,277
85,188,255
8,108,560
83,72,257
85,88,107
66,94,288
77,144,152
73,106,177
84,10,69
32,63,187
84,109,160
72,96,62
73,145,48
69,70,192
8,79,279
69,79,224
73,71,80
82,100,127
32,103,109
67,94,430
85,129,223
83,144,104
84,72,42
79,118,144
77,164,17
69,96,104
82,80,90
83,100,143
32,146,145
84,156,107
79,96,113
32,123,80
65,152,661
32,71,80
66,49,41
65,106,110
8,709,432
67,136,127
79,90,94
8,286,264
66,150,963
65,146,168
67,128,152
75,144,260
71,65,306
82,80,285
79,150,127
85,74,261
78,107,208
68,101,95
32,125,31
67,93,141
72,98,93
69,88,107
67,73,249
75,70,156
32,92,148
66,128,111
69,103,32
70,96,128
79,106,101
82,111,170
69,173,58
32,104,60
83,98,367
69,274,55
76,81,106
73,79,576
78,85,93
8,209,272
190,88,920
32,97,210
16,128,1191
84,81,107
72,102,208
73,143,66
83,87,120
32,39,78
8,970,402
16,274,989
65,132,72
32,112,273
67,52,241
79,127,97
85,105,78
8,163,720
70,80,953
69,132,359
87,100,48
32,128,127
77,119,145
79,119,439
78,106,272
84,58,128
72,128,72
32,113,80
65,112,92
8,144,343
83,126,391
32,87,105
65,129,156
71,221,124
79,63,208
188,106,305
32,160,184
84,96,607
72,116,88
73,135,88
83,104,159
32,88,96
82,87,402
69,119,169
81,165,207
85,169,238
79,57,75
8,418,400
73,71,514
82,157,124
69,127,72
77,119,115
69,107,128
78,97,133
84,104,142
32,108,92
87,74,911
65,142,34
83,102,123
32,88,118
73,86,196
77,103,266
80,136,83
69,112,48
76,160,164
8,64,570
76,69,873
69,91,100
77,35,94
69,96,76
78,80,120
84,110,127
69,29,95
68,76,174
32,149,692
73,100,125
78,139,80
32,104,87
16,114,253
67,24,327
79,97,160
76,104,184
79,63,0
82,87,54
65,107,228
68,64,255
79,108,1
188,105,176
32,116,280
65,88,112
78,72,120
68,106,125
32,87,97
73,10,102
78,87,54
32,116,82
79,104,201
78,94,80
69,123,84
32,73,118
8,1500,756
65,86,1028
32,135,128
66,80,163
82,118,270
73,104,240
69,72,87
70,280,88
