VK,HT,FT
16,233,-1
78,64,214
79,79,141
87,65,168
188,297,361
32,108,17
16,354,315
73,105,195
32,102,135
75,83,120
78,104,0
79,90,119
87,123,36
32,86,67
77,124,349
65,43,153
78,141,88
89,87,78
32,133,61
80,83,108
69,88,88
79,105,30
80,132,113
76,69,95
69,82,66
32,88,121
76,87,244
73,110,164
75,104,145
69,122,114
32,65,104
72,115,125
85,90,89
78,122,71
84,148,130
73,96,77
78,82,75
71,90,48
32,99,119
65,122,173
78,183,51
68,102,90
32,102,137
71,110,221
73,104,82
85,126,250
78,107,69
8,258,348
85,154,57
78,87,81
83,91,243
190,143,284
32,96,0
16,477,64
84,149,52
72,125,236
69,140,89
89,64,70
32,97,185
76,95,247
73,109,189
75,51,139
69,64,41
32,102,109
84,89,102
72,64,98
69,60,131
32,95,84
70,106,158
82,104,0
69,168,202
68,109,294
79,85,223
77,81,165
32,107,134
84,131,19
79,59,130
32,114,125
83,131,117
72,134,271
79,23,113
84,91,93
190,105,265
32,43,230
16,97,102
84,164,433
72,94,379
69,101,121
89,78,82
32,115,199
87,112,182
65,100,154
78,85,112
84,88,113
32,90,57
84,101,149
79,68,112
32,144,155
66,75,181
69,78,89
32,112,122
65,79,71
66,86,104
76,52,149
69,80,77
32,96,78
84,93,103
79,60,111
32,89,138
68,109,185
69,71,156
70,109,80
69,141,113
78,79,161
68,98,97
32,95,124
84,116,237
72,100,89
69,128,44
77,73,127
83,73,144
69,129,186
76,84,237
70,140,189
190,135,115
32,72,247
16,210,235
72,92,260
79,204,83
87,123,193
69,74,66
86,60,212
69,111,122
82,136,44
188,684,38
32,101,187
84,138,107
72,62,90
73,97,31
83,112,308
32,106,108
70,108,146
82,124,47
69,145,194
68,102,252
79,80,309
77,59,222
32,111,137
79,123,190
77,100,155
69,106,160
8,51,577
67,130,129
79,121,70
77,62,138
69,79,157
83,112,252
32,116,141
65,61,17
84,94,118
32,87,49
65,104,117
32,79,292
80,93,222
82,76,119
73,84,48
67,143,122
69,114,231
190,159,168
32,132,25
16,270,229
68,194,372
79,87,50
32,58,133
89,98,275
79,86,143
85,101,41
32,97,151
82,64,131
69,95,56
65,102,189
76,138,227
89,99,56
32,140,90
84,98,127
72,67,94
73,167,105
78,113,73
75,128,98
32,163,153
68,105,161
82,109,0
85,88,77
78,139,62
75,106,139
32,117,227
80,91,242
69,76,115
79,109,53
80,147,151
76,73,85
69,102,118
32,73,114
87,88,51
72,126,95
79,191,121
32,123,161
67,93,566
65,124,101
78,0,91
79,84,260
84,114,98
32,79,130
67,122,110
79,73,315
78,102,288
84,120,169
82,79,263
79,60,120
76,17,220
32,82,225
84,143,140
72,94,52
69,82,45
77,80,145
83,115,230
69,125,179
76,75,0
70,144,182
32,83,91
83,105,250
72,98,328
79,86,190
85,77,31
76,121,419
68,153,529
32,68,118
69,145,193
66,88,136
32,28,43
65,41,113
76,11,234
79,10,151
87,132,97
69,25,221
68,129,295
32,118,85
71,116,183
85,118,175
78,110,55
83,131,49
190,154,67
8,532,343
16,248,352
191,137,79
32,103,107
16,447,386
89,91,0
8,172,354
16,186,329
68,85,127
79,72,286
32,99,157
89,105,43
79,112,0
85,84,64
32,86,7
87,174,49
65,132,127
78,62,85
84,107,77
32,86,75
80,79,156
69,89,97
79,82,57
80,115,123
76,76,92
69,74,64
32,78,134
87,114,304
72,129,170
79,113,101
32,67,151
65,83,71
82,130,247
69,125,187
32,112,127
67,134,469
82,148,315
73,87,83
77,96,130
73,105,220
78,89,152
65,132,42
76,151,272
83,90,258
32,75,203
73,77,141
78,82,32
32,105,278
84,96,8
82,123,226
65,146,142
73,99,237
78,52,76
73,76,71
78,65,149
71,99,63
32,83,116
84,83,207
79,66,103
32,83,129
72,106,202
65,75,90
86,76,128
69,112,119
32,120,101
84,83,111
72,69,105
69,145,47
77,83,163
32,74,137
77,123,209
69,51,47
82,56,88
69,11,47
76,88,11
89,100,192
32,81,94
66,95,149
69,77,62
67,89,295
65,113,100
85,92,226
83,167,252
69,129,168
32,89,98
84,80,72
72,74,94
69,114,81
89,69,56
32,106,189
72,112,166
65,78,12
86,93,40
69,103,59
32,94,110
78,51,156
79,77,55
32,109,147
82,141,112
69,118,48
67,111,231
79,204,347
82,42,263
68,103,0
16,104,448
191,136,77
32,99,232
16,363,582
84,152,249
72,92,313
73,173,147
78,99,122
75,101,53
32,155,174
79,74,148
70,130,91
32,83,81
72,104,254
79,210,78
87,99,130
32,85,0
82,109,93
69,73,84
83,89,119
80,80,289
79,84,145
78,101,61
83,85,190
73,92,144
66,85,212
76,86,91
69,73,97
32,102,47
84,86,103
72,68,81
69,141,132
32,94,155
65,109,60
86,111,182
69,116,163
82,130,75
65,149,213
71,53,170
69,102,142
32,102,99
80,86,130
69,117,84
82,166,86
83,103,198
79,138,94
78,143,34
32,123,175
73,146,129
83,169,27
190,146,0
32,96,0
16,330,20
73,136,183
84,156,196
32,108,95
73,82,166
83,120,72
32,61,181
78,111,169
79,63,31
84,84,82
32,88,118
86,90,297
69,111,114
82,114,46
89,79,16
32,88,111
71,144,200
82,129,359
69,82,32
