VK,HT,FT
16,304,-1
79,151,0
32,117,147
8,1024,604
16,139,654
73,147,130
32,164,183
8,960,509
16,148,1038
73,129,116
32,129,128
83,135,539
85,171,252
80,181,299
79,200,173
82,123,166
84,145,89
32,118,244
71,154,264
85,120,186
78,100,271
32,122,231
67,127,683
79,95,227
78,119,254
84,156,161
82,176,109
79,148,239
76,209,233
32,170,449
66,100,440
69,109,322
67,90,380
65,151,31
85,149,126
83,105,234
69,172,214
32,126,114
79,112,488
70,219,192
32,124,183
84,166,116
72,114,126
69,146,187
32,133,96
83,161,431
72,114,114
79,415,259
84,145,0
73,165,235
78,98,202
71,153,419
83,124,361
32,90,85
65,149,554
84,139,86
32,148,280
68,110,318
73,120,147
70,121,148
69,147,195
82,170,49
69,131,197
78,143,157
84,162,462
32,118,267
72,117,451
73,121,207
71,198,251
72,117,237
84,170,157
8,1130,657
32,133,272
83,124,318
67,190,155
72,104,83
79,364,214
76,91,143
83,241,265
32,147,154
65,164,221
78,99,132
68,100,151
32,109,101
67,137,500
79,171,220
76,28,288
69,145,241
71,183,284
69,140,76
83,408,312
190,126,591
32,207,60
16,335,394
73,132,152
32,102,121
84,173,10
72,113,110
73,119,200
78,113,229
75,87,168
32,139,294
78,81,478
79,116,186
78,130,249
32,148,448
77,84,314
73,112,308
76,137,240
73,154,434
84,140,231
65,157,359
82,156,168
69,79,466
8,912,902
89,104,280
32,134,281
8,1309,716
188,90,891
32,114,201
78,92,230
79,105,180
78,139,217
32,137,284
80,155,232
79,167,87
76,39,346
73,135,94
67,190,583
69,143,343
32,135,343
83,152,266
72,79,95
79,321,251
85,131,138
76,123,223
68,136,225
32,95,74
78,66,275
79,117,182
84,164,375
32,162,231
74,104,192
85,126,224
83,173,178
84,151,228
32,138,240
72,117,326
65,125,104
86,136,276
69,112,241
32,190,202
65,131,751
32,51,274
71,103,503
85,116,221
78,82,288
32,134,198
65,158,119
82,160,162
79,112,270
85,157,101
78,134,257
68,100,183
32,121,103
84,154,185
72,119,147
69,79,180
32,137,168
72,113,306
79,428,217
85,159,119
83,50,240
69,144,164
32,101,220
65,120,318
83,256,349
32,138,11
73,133,172
70,167,309
32,79,102
73,132,468
84,167,205
32,136,259
87,160,306
69,144,157
82,166,77
69,133,222
32,152,483
74,110,467
85,101,229
83,155,174
84,131,120
32,133,253
65,157,196
78,112,125
79,100,201
84,137,212
72,130,199
69,135,122
82,110,53
32,123,262
65,163,473
80,111,287
76,155,269
73,101,500
65,136,324
78,102,115
67,189,486
69,136,183
190,142,353
32,124,169
16,133,0
65,161,0
67,187,393
73,84,196
68,141,301
69,151,245
78,95,466
84,124,228
83,219,204
32,129,193
72,115,365
65,143,176
80,299,356
69,156,167
78,133,113
32,128,451
65,150,216
78,133,151
66,226,462
68,143,207
32,113,159
8,932,745
78,105,190
68,125,125
32,129,169
67,149,217
72,105,130
73,119,212
76,138,234
68,93,610
82,161,258
69,97,262
78,153,39
32,108,64
83,178,178
72,100,78
79,231,188
84,139,148
32,154,202
79,110,702
84,130,263
72,118,144
69,124,160
82,114,86
32,146,240
67,118,625
72,105,154
73,132,206
76,0,259
68,116,331
82,163,50
69,142,255
78,104,65
32,164,229
79,123,183
82,111,128
32,137,177
65,166,345
68,113,3
85,125,365
76,100,307
84,151,110
83,11,320
188,139,634
32,120,294
68,116,178
69,108,238
80,187,357
82,163,95
69,96,144
83,278,286
69,147,282
68,148,315
32,93,181
80,124,200
69,147,159
79,189,148
80,109,111
76,195,323
69,166,166
32,122,221
75,92,388
73,127,433
76,176,226
32,91,315
84,151,293
72,122,170
69,116,106
77,111,227
83,252,313
69,159,205
76,96,192
86,138,299
69,144,238
83,310,277
32,149,431
73,154,163
77,106,216
80,68,166
85,120,221
76,118,470
83,150,317
73,78,395
86,104,369
76,116,314
89,133,380
32,117,216
65,163,516
78,113,130
68,91,152
32,119,51
67,151,299
82,157,46
65,183,0
90,331,556
89,104,456
32,113,291
80,123,219
69,161,205
79,161,191
80,108,163
76,106,269
69,149,162
32,168,223
84,159,66
65,161,347
75,86,474
69,186,198
32,154,15
84,151,422
72,119,114
69,103,142
32,95,232
71,158,379
85,119,167
78,103,259
32,117,207
84,170,311
79,135,171
32,98,151
87,150,282
79,146,106
82,140,170
75,91,282
32,133,198
79,115,476
82,185,101
32,139,159
83,134,252
67,191,490
72,106,152
79,242,229
76,146,292
32,144,325
65,134,550
78,102,133
68,76,147
32,119,102
74,86,355
85,109,229
83,140,202
84,152,154
8,1001,1237
75,128,296
73,197,438
76,366,278
32,84,231
80,166,307
69,140,219
79,219,181
80,124,129
76,213,296
69,142,125
32,163,263
84,130,84
72,104,139
69,130,153
82,98,62
69,129,120
32,163,186
66,176,461
69,121,525
67,118,293
65,167,290
85,128,303
83,108,161
69,124,209
32,55,179
79,90,748
70,98,107
32,124,151
74,100,666
79,211,498
66,154,146
32,165,348
80,154,433
82,178,184
69,103,209
83,329,256
85,132,364
82,144,354
69,165,222
32,165,255
79,122,0
82,159,148
8,498,903
65,144,404
78,106,0
68,121,91
32,128,80
79,144,50
84,160,58
72,108,191
69,137,125
82,112,38
32,154,240
73,140,503
83,160,321
85,160,333
69,162,255
83,279,280
32,128,21
84,158,340
72,111,155
65,149,124
84,130,123
32,141,17
84,157,22
72,89,136
69,68,164
89,101,408
32,113,171
72,114,231
65,158,58
86,128,154
69,147,250
190,131,188
32,120,238
16,256,972
71,88,550
85,125,303
78,131,273
83,244,311
32,141,481
65,138,239
82,143,139
69,122,241
32,149,174
74,90,530
85,122,230
83,93,197
84,151,157
32,159,238
84,144,313
79,91,224
32,113,187
67,158,428
79,109,527
78,150,207
86,156,599
69,118,211
78,127,205
73,144,151
69,220,112
78,100,1
84,129,311
32,143,193
87,151,252
72,99,121
69,152,253
78,82,196
32,124,314
89,137,574
79,155,372
85,150,76
32,140,0
72,138,223
65,147,18
86,116,156
69,145,265
32,156,195
84,155,322
72,107,159
69,96,143
32,142,156
85,151,271
82,195,316
71,147,153
69,79,208
32,163,222
84,171,559
79,99,116
32,113,133
84,171,259
65,167,530
75,76,336
69,141,79
32,177,199
65,140,497
67,42,298
84,154,144
73,154,102
79,193,311
78,131,206
32,84,485
65,157,156
78,126,132
68,95,178
32,111,138
85,144,104
83,150,309
69,144,343
32,167,198
79,160,429
78,91,246
69,93,200
32,157,188
82,103,442
69,152,301
67,99,328
75,113,333
76,134,74
69,152,182
83,278,309
76,188,150
89,139,362
190,157,403
32,136,328
16,262,802
67,83,215
82,134,163
73,152,276
77,109,225
73,113,175
78,142,215
65,151,459
76,141,136
83,236,432
32,140,109
87,146,237
73,113,265
76,292,220
32,147,368
65,140,639
76,183,587
87,147,595
65,149,40
89,124,456
83,27,233
32,119,238
70,127,323
73,149,404
78,108,216
68,125,154
32,127,148
65,135,426
32,106,411
87,141,192
65,169,79
89,129,195
32,127,246
84,119,288
79,150,175
32,110,144
71,221,470
69,140,198
84,158,0
32,120,181
86,129,244
8,985,165
71,151,552
85,108,317
78,82,299
83,302,399
188,133,785
32,85,234
84,139,339
72,75,144
65,153,138
84,147,116
32,155,85
73,139,177
83,254,225
32,168,147
74,109,691
85,126,234
83,98,164
84,140,80
32,160,211
65,146,277
32,221,241
71,132,467
73,144,112
86,153,190
69,113,270
78,134,498
188,142,328
32,131,241
66,188,317
85,96,198
84,151,108
32,147,201
84,153,374
72,81,145
69,99,168
32,123,141
65,165,363
86,148,281
69,171,256
82,95,32
32,156,95
8,992,649
65,140,414
71,151,110
69,210,168
32,128,10
67,131,675
73,143,306
84,134,136
73,135,206
90,671,274
69,114,257
78,112,262
32,126,320
67,123,898
79,140,77
85,142,126
76,123,222
68,89,241
32,170,165
70,146,385
73,84,101
78,120,195
68,133,202
32,126,115
65,140,326
78,71,140
79,102,178
84,165,419
72,111,156
69,118,170
82,130,47
32,159,180
87,156,265
65,140,413
89,101,182
32,99,246
84,139,363
79,151,188
32,118,118
68,162,290
69,137,284
70,83,447
69,110,134
78,87,169
68,106,151
32,136,117
84,171,264
72,110,121
69,128,94
73,130,225
82,145,236
32,126,230
72,121,297
79,333,257
77,118,288
69,102,148
190,130,329
