VK,HT,FT
16,144,-1
84,105,176
72,108,82
69,115,82
32,129,55
82,112,71
73,89,99
71,96,184
72,105,147
84,103,170
32,114,88
84,106,454
79,146,46
32,105,71
8,519,441
16,391,192
84,91,152
72,114,113
69,119,67
32,120,49
82,105,108
73,98,100
71,89,183
72,117,93
84,91,101
32,103,85
84,106,523
79,126,46
32,113,67
66,85,128
69,187,153
65,180,116
82,106,96
32,118,81
65,146,163
82,111,121
77,129,221
83,155,142
32,115,73
87,103,195
65,148,132
83,136,92
32,109,108
73,135,202
78,119,157
67,134,248
76,134,154
85,93,204
68,122,184
69,132,85
68,124,132
32,114,69
73,118,270
78,119,172
32,125,59
84,87,117
72,140,79
69,129,61
32,132,41
16,311,266
66,72,120
73,137,134
76,239,166
32,112,204
79,169,120
70,147,82
32,106,50
16,390,313
82,108,150
73,101,107
71,91,129
72,120,130
84,89,185
83,162,119
32,115,102
70,75,186
79,144,120
82,102,85
32,89,95
65,147,135
32,101,117
82,92,177
69,128,87
65,155,117
83,147,164
79,153,81
78,176,141
190,142,213
32,121,90
16,391,298
73,127,111
70,91,167
32,106,72
84,89,235
72,143,72
8,304,318
67,118,209
73,72,85
84,78,104
73,138,76
90,901,437
69,126,165
78,123,107
83,131,133
32,100,105
68,144,255
79,113,79
32,66,75
78,135,169
79,196,72
84,77,80
32,85,148
72,107,113
65,118,56
86,99,161
69,133,172
32,100,109
84,83,143
72,139,72
69,134,80
32,139,41
82,94,113
73,119,97
71,109,181
72,117,118
84,79,155
32,112,106
84,101,341
79,161,72
32,109,76
65,154,174
82,109,102
77,127,198
32,120,75
84,96,142
72,133,69
69,127,69
77,115,215
83,153,122
69,108,122
76,164,180
86,95,164
69,122,138
83,160,75
188,129,235
32,103,89
72,118,141
79,134,85
87,123,204
32,116,117
84,92,185
8,347,287
67,106,194
65,147,84
78,115,83
32,122,56
84,81,137
72,135,75
69,121,62
89,96,145
32,101,89
83,125,146
84,88,121
65,147,97
78,148,85
68,133,256
32,117,73
85,126,146
80,92,151
32,117,101
84,106,131
79,158,51
32,104,98
65,157,101
78,148,69
32,112,76
85,115,140
78,127,169
70,95,157
65,137,94
73,101,199
82,103,73
32,93,79
71,104,236
79,155,59
86,86,167
69,131,142
82,97,99
78,113,124
77,138,248
69,120,105
78,120,135
84,76,101
16,265,192
191,199,867
32,112,88
16,211,258
65,152,133
76,124,89
83,131,110
79,150,50
188,124,190
32,105,99
79,160,130
85,92,109
84,95,115
76,157,120
65,127,100
87,109,109
73,123,111
78,142,191
71,79,79
32,119,78
71,121,242
85,59,97
78,107,174
83,98,109
32,93,88
68,146,188
79,128,86
69,113,176
83,192,106
32,90,71
78,130,140
79,188,84
84,86,65
32,99,121
75,687,880
69,138,124
80,91,258
32,101,87
66,81,141
65,157,148
68,120,157
32,106,71
80,108,260
69,158,142
79,110,80
80,46,125
76,178,114
69,131,142
32,136,73
70,82,205
82,108,416
79,100,69
77,130,184
32,120,62
72,97,161
65,130,64
86,108,156
