VK,HT,FT
16,871,-1
73,128,143
32,36,226
79,115,102
80,782,969
79,81,200
83,99,99
69,71,110
32,87,213
71,723,479
85,928,466
78,78,116
32,33,69
67,146,646
79,79,150
78,105,52
84,40,230
82,193,162
76,154,548
32,72,108
8,70,564
79,72,114
76,899,131
32,79,69
79,74,111
78,66,114
32,62,137
84,54,265
72,400,942
69,23,133
32,27,68
66,969,805
65,55,235
83,10,95
73,86,111
83,59,20
32,71,124
79,79,75
70,601,698
32,55,116
84,55,208
72,28,335
69,71,192
32,87,108
83,62,256
69,79,239
67,303,184
79,113,327
78,171,52
68,484,353
32,75,126
65,55,154
77,47,225
69,46,242
78,71,485
68,880,990
77,650,503
69,55,311
78,119,461
84,38,148
32,33,108
84,62,194
79,74,94
32,31,146
84,5,205
72,943,427
69,63,188
32,71,256
16,674,421
85,493,349
83,220,99
32,28,82
67,495,378
79,127,97
78,80,124
83,47,304
84,60,233
85,34,870
8,66,315
73,28,219
84,95,108
85,45,668
84,48,101
73,50,230
79,72,169
78,71,103
190,852,321
32,24,131
16,715,874
73,20,123
84,34,107
32,62,409
73,28,167
83,64,236
32,87,205
73,40,143
77,989,919
80,831,526
79,79,108
82,71,204
84,60,190
65,66,395
78,129,78
84,71,111
32,71,108
78,80,108
79,3,107
84,6,190
32,61,68
84,66,174
79,113,199
32,65,340
65,101,321
66,864,541
82,57,204
73,67,235
68,395,668
71,644,301
69,84,194
32,55,139
84,71,99
72,210,20
69,46,42
32,55,108
82,4,182
73,62,196
70,365,29
71,972,267
72,576,466
84,63,82
8,91,293
71,838,367
72,121,784
84,70,208
32,8,244
79,87,89
70,558,150
32,55,164
84,69,142
72,74,972
69,71,32
32,71,256
16,645,550
65,119,253
77,720,477
69,56,188
82,30,126
73,110,220
67,289,677
65,115,395
78,109,81
32,44,105
80,94,101
82,71,93
8,62,223
69,63,197
79,72,115
80,887,567
76,161,232
69,55,179
32,55,101
84,26,252
79,87,264
32,37,284
80,62,277
82,83,91
79,78,165
84,53,185
69,55,224
67,456,133
84,71,407
32,71,106
84,60,14
72,10,953
69,75,436
77,578,967
83,65,243
69,63,150
76,45,126
86,434,505
69,46,150
83,65,22
32,38,123
65,10,217
78,169,510
68,544,998
32,87,108
84,27,76
72,776,483
69,63,155
73,62,95
82,62,175
32,45,104
70,48,955
65,79,395
77,17,580
73,62,196
76,620,964
73,62,280
69,71,229
83,63,230
190,312,740
32,30,108
16,624,32
8,71,368
188,840,69
32,87,466
65,55,308
83,52,257
32,96,131
16,627,44
73,62,219
32,71,100
66,924,826
69,63,246
76,385,608
73,124,248
69,63,434
86,169,306
69,78,66
32,87,268
87,29,885
65,100,153
83,62,99
32,87,241
84,40,110
72,191,961
69,63,68
32,79,241
73,91,151
78,76,137
84,90,81
69,71,220
78,71,74
84,55,193
73,94,96
79,90,111
78,119,383
32,79,42
79,127,107
70,161,273
32,59,245
79,127,309
85,999,19
82,71,57
32,87,124
70,701,669
79,72,108
85,671,656
78,80,76
68,73,403
84,38,213
73,62,195
78,71,76
71,151,451
8,62,478
73,87,195
78,63,70
71,116,537
32,63,335
70,536,61
65,22,237
84,71,188
72,990,152
69,55,132
82,78,185
83,64,389
190,634,429
32,87,112
16,298,63
73,91,196
70,465,275
32,32,231
76,714,61
8,71,415
65,63,303
76,757,214
32,31,64
84,54,148
72,777,6
73,117,92
78,70,112
71,381,996
83,46,242
32,68,244
84,40,266
72,678,740
65,63,179
84,71,107
32,55,121
87,758,471
8,125,311
67,190,509
79,111,314
85,840,965
76,576,8
68,965,608
32,55,376
66,763,71
69,63,182
32,9,99
85,801,7
83,61,299
69,82,100
68,87,373
32,71,98
84,13,228
79,127,92
32,79,416
72,722,1
65,79,148
82,71,192
77,42,818
32,79,121
79,127,107
84,71,371
72,417,635
69,68,132
82,214,202
83,48,301
32,71,116
87,2,440
69,63,240
82,71,45
69,53,104
32,55,100
73,106,217
76,568,511
69,65,260
71,320,953
65,55,249
76,968,52
188,410,100
32,33,124
65,69,140
32,35,71
71,669,737
82,77,87
69,55,136
65,84,236
84,25,152
32,77,130
77,102,431
65,119,177
78,15,117
89,691,300
32,71,164
84,39,140
72,153,977
73,64,139
78,103,52
71,768,308
83,61,234
32,87,76
87,593,132
73,62,150
79,0,323
85,248,71
8,62,87
79,65,47
85,7,999
76,202,154
68,968,324
32,106,108
69,38,188
8,233,492
66,391,224
69,55,176
32,87,125
73,91,351
76,489,807
69,63,122
71,899,444
65,120,486
76,504,582
190,933,488
32,87,233
16,225,796
65,55,404
70,771,587
84,38,201
69,63,354
82,124,204
32,79,245
65,83,236
76,734,690
188,647,536
32,46,161
73,86,207
84,50,199
32,61,423
73,93,33
83,73,236
32,4,68
84,5,216
72,590,868
69,63,210
32,94,100
80,89,181
69,73,258
82,71,139
83,60,384
79,103,323
78,111,108
188,165,753
32,57,94
78,63,47
79,79,92
84,61,141
32,19,108
84,62,208
72,920,906
69,55,153
32,31,231
71,118,994
85,466,15
78,103,66
32,71,128
87,924,146
72,9,556
79,113,81
32,92,146
67,756,605
79,78,22
77,914,389
8,258,924
73,63,234
84,177,63
83,64,236
32,30,100
84,69,265
72,334,134
69,63,179
32,58,160
65,72,457
67,830,977
84,63,179
190,579,961
32,63,186
16,86,472
71,517,156
85,551,109
78,84,128
32,23,34
67,161,590
79,72,324
78,79,108
84,38,361
82,71,204
79,127,49
76,640,94
32,51,100
73,92,226
83,48,437
32,55,69
65,64,66
78,64,77
32,24,108
79,112,92
86,462,853
69,63,133
82,102,204
8,87,350
69,55,48
82,110,93
69,63,179
65,24,140
67,80,533
72,547,526
32,45,235
79,78,28
70,868,468
32,87,124
80,926,830
79,91,108
87,646,523
69,46,188
82,70,126
32,55,146
84,66,160
72,850,978
65,79,147
84,65,266
32,68,138
87,366,793
73,62,281
76,901,484
32,70,245
76,305,142
69,63,132
65,79,196
86,440,283
69,52,191
32,53,114
73,62,119
78,101,43
79,72,80
67,478,916
69,46,257
78,77,108
84,67,200
32,71,332
16,603,597
65,63,341
77,660,652
69,71,462
82,273,136
18,183,664
8,71,550
16,466,501
65,55,128
77,846,374
69,63,375
82,71,155
73,51,233
67,693,108
65,55,140
78,123,137
83,75,231
32,29,102
68,75,588
69,55,179
70,252,606
69,80,265
78,78,34
83,55,226
69,63,452
76,741,136
69,63,180
83,200,106
32,55,124
73,114,221
78,7,76
32,71,100
84,38,207
72,113,575
69,63,247
32,39,102
70,976,659
65,88,438
67,553,738
69,58,130
32,88,118
79,46,231
70,876,410
32,71,99
66,769,683
79,87,68
84,40,237
72,952,648
32,71,68
16,184,479
65,119,163
84,63,209
8,63,331
65,38,411
84,63,73
65,119,147
67,424,331
75,609,752
69,54,241
82,71,93
83,49,13
32,87,164
65,90,167
78,111,108
68,957,516
32,69,291
71,321,187
79,87,106
86,527,237
82,237,198
8,176,805
69,63,200
82,35,179
78,70,193
77,267,409
69,63,237
78,71,72
84,63,235
32,62,124
84,42,271
89,338,569
82,71,195
65,65,116
78,71,139
84,63,79
190,547,783
8,245,282
89,422,89
190,632,151
32,14,246
16,445,867
87,837,598
69,55,30
32,99,164
83,166,223
72,4,279
79,74,82
85,614,296
76,666,36
68,885,39
32,62,164
84,40,105
72,453,610
85,588,836
83,57,229
32,68,317
70,641,131
65,55,92
8,65,418
79,72,163
76,713,200
79,105,115
87,119,987
32,55,96
84,10,116
72,359,852
69,71,110
32,47,108
87,705,615
73,92,177
83,185,238
79,87,107
8,62,401
68,59,173
79,125,90
77,732,576
32,71,329
79,89,107
70,919,658
32,26,109
84,64,75
72,919,86
69,71,76
32,37,124
70,205,608
82,6,204
65,61,36
77,461,442
69,71,141
82,0,165
83,64,204
32,63,101
79,79,108
70,635,35
32,55,149
84,63,195
72,450,80
69,63,139
32,33,108
67,49,714
79,38,107
78,117,60
84,40,83
8,64,69
83,46,257
84,62,207
73,106,360
84,63,118
85,387,465
73,62,123
84,67,100
8,50,319
84,120,125
73,83,205
79,101,105
78,79,104
32,61,143
65,110,140
78,71,64
68,296,269
32,70,102
70,254,157
8,0,37
68,449,877
69,63,132
70,799,816
69,70,180
78,70,503
68,484,650
32,52,100
84,71,121
72,945,274
69,71,206
32,79,124
82,71,192
73,90,112
71,324,142
72,197,94
84,71,196
32,61,96
79,80,101
8,166,916
83,47,96
32,92,116
79,90,102
70,203,641
32,92,178
84,130,235
72,274,70
69,3,135
32,80,109
16,849,726
