VK,HT,FT
16,260,-1
67,90,242
8,115,450
16,246,565
71,108,334
73,107,127
85,95,147
8,154,405
85,102,491
78,98,169
32,128,238
67,136,288
79,114,179
78,138,138
84,102,158
82,106,188
79,90,115
76,148,246
32,108,188
73,102,214
83,105,94
32,107,102
82,83,293
73,85,125
68,94,227
73,106,153
67,100,121
73,88,199
85,98,199
8,277,384
85,108,445
76,95,218
79,112,196
85,116,97
83,110,150
32,308,119
66,91,397
69,113,183
67,101,288
65,122,238
85,93,140
83,123,101
69,121,191
32,124,185
16,275,293
73,110,145
222,92,182
77,113,270
32,90,219
65,117,323
32,98,93
72,126,279
85,106,168
77,81,252
65,98,159
78,77,176
32,116,205
65,108,200
78,106,132
68,85,72
32,86,110
16,160,335
73,118,207
32,130,162
67,113,412
65,152,135
78,132,111
32,109,207
72,76,351
65,120,77
86,93,205
69,109,120
32,88,190
65,120,191
76,185,145
8,495,432
78,92,594
89,93,247
32,98,195
65,126,179
78,88,118
68,88,96
32,90,96
65,126,176
76,178,106
32,114,325
87,118,215
69,119,168
65,126,201
80,122,156
79,108,228
78,114,236
83,89,95
32,112,351
84,83,212
72,86,108
65,141,117
84,110,120
32,95,202
16,510,284
73,121,248
32,122,164
87,112,382
65,122,213
83,120,118
78,111,149
8,342,591
78,114,604
84,109,210
190,91,286
32,129,108
16,383,426
78,107,162
79,133,229
66,126,205
79,111,244
8,416,457
79,88,400
66,95,188
89,94,143
8,252,394
79,97,662
68,121,255
89,97,222
32,120,130
72,88,415
65,101,81
83,124,202
32,110,128
84,100,131
72,107,97
69,105,69
32,77,100
82,91,234
73,75,92
71,83,101
72,98,105
84,104,113
32,117,124
84,101,167
79,109,136
32,101,99
67,98,450
79,98,177
78,126,188
84,95,153
82,102,179
79,80,111
76,134,213
32,101,184
77,91,339
89,100,182
32,114,166
76,94,350
73,87,136
70,131,133
69,142,118
190,91,254
32,161,153
16,243,332
73,113,159
32,140,150
71,84,404
69,136,140
84,141,174
32,87,153
84,82,289
79,146,134
32,114,116
68,92,282
69,89,144
67,113,280
73,83,212
68,107,217
69,99,163
32,124,198
72,108,171
79,129,144
87,103,123
32,91,93
77,86,190
65,97,93
78,76,164
89,108,254
32,106,186
87,90,211
69,134,152
65,112,277
80,117,216
79,120,167
78,117,239
83,105,152
32,105,232
16,365,425
73,124,108
32,122,99
87,112,280
65,138,170
78,137,82
84,123,141
188,99,374
32,110,122
73,89,480
8,89,361
69,113,315
86,100,180
69,123,185
78,112,184
32,118,221
73,75,234
70,114,103
32,94,124
84,88,141
72,95,98
79,115,104
83,120,101
69,125,142
32,107,144
87,109,303
69,113,144
65,131,191
80,107,346
79,121,182
78,110,169
83,104,168
32,132,307
67,101,247
79,115,167
85,105,183
76,101,166
68,98,99
32,88,157
75,111,300
73,98,192
76,225,264
32,101,342
84,111,144
79,137,115
78,80,204
83,120,213
32,112,315
79,93,187
70,130,92
32,110,121
80,97,247
69,110,158
79,97,93
80,120,150
76,105,194
69,102,155
32,116,235
86,92,504
69,107,199
82,98,163
89,83,288
32,106,224
69,73,211
65,141,226
83,124,167
73,107,205
76,87,206
89,115,194
190,119,301
32,161,286
16,332,518
73,124,163
32,115,124
71,88,423
8,191,371
84,104,460
72,99,107
73,94,177
78,114,109
75,122,99
32,88,167
77,115,328
89,101,233
32,131,123
82,115,175
73,107,124
71,78,158
72,98,115
84,81,94
32,108,92
84,100,184
79,101,107
32,108,86
72,116,252
65,144,122
86,114,129
69,109,110
32,94,108
87,104,182
72,114,91
65,125,131
84,105,84
69,101,153
86,107,260
69,130,135
82,105,129
32,114,169
16,244,269
73,104,146
32,132,218
87,123,262
65,137,219
78,135,126
84,109,182
32,105,174
73,91,173
83,102,154
32,86,104
77,88,332
79,117,116
82,104,205
69,104,168
32,115,160
73,108,113
77,114,143
80,106,185
79,110,129
82,97,140
84,101,167
65,110,158
78,103,138
84,83,210
32,94,297
84,122,242
72,84,83
65,127,136
78,101,122
32,88,82
80,106,328
82,105,161
79,116,141
84,92,269
69,88,150
67,84,232
84,104,222
73,147,148
78,122,143
71,98,125
32,92,130
72,77,312
85,97,177
77,75,271
65,120,157
78,95,77
73,112,252
84,91,259
89,113,139
32,95,113
65,114,252
84,164,213
32,101,112
76,114,283
65,139,142
82,93,160
71,102,306
69,145,168
32,124,345
70,107,164
82,92,178
79,130,77
77,104,155
32,116,124
85,116,267
78,219,148
69,170,188
88,87,216
80,100,257
69,101,138
67,102,238
84,94,181
69,112,223
68,98,206
32,100,140
83,134,139
72,104,71
79,147,153
84,102,296
72,85,143
73,121,125
8,406,440
73,135,613
78,116,101
71,102,123
83,117,144
32,108,100
66,90,225
89,88,206
32,86,215
65,113,134
32,91,102
77,104,398
65,124,134
68,88,300
69,101,124
32,106,209
8,673,454
32,119,524
80,125,331
69,116,164
82,85,84
83,95,217
79,117,96
78,115,149
32,100,207
87,125,358
73,99,145
84,113,107
72,122,92
32,119,197
65,118,320
78,107,109
32,122,126
65,103,309
85,97,189
84,122,203
79,125,142
77,166,120
65,98,109
84,135,192
73,130,158
67,129,152
32,95,129
71,108,247
85,82,136
78,109,178
190,102,307
32,133,259
16,187,174
77,93,196
89,102,246
32,115,137
87,115,220
65,114,149
78,124,95
84,119,194
83,102,153
32,117,149
65,115,320
78,117,114
68,121,114
32,109,88
78,110,295
69,198,141
68,121,381
83,115,211
32,122,186
65,120,280
78,115,125
68,114,104
32,115,99
69,99,216
71,107,259
79,135,175
32,137,233
65,110,296
82,134,252
69,122,124
32,101,143
77,136,198
79,99,135
8,436,482
32,117,592
83,100,356
73,91,206
77,105,131
80,76,216
76,95,237
89,95,207
32,96,188
77,134,273
