VK,HT,FT
16,214,-1
71,142,568
85,113,221
78,131,235
32,127,256
67,143,495
79,130,111
78,117,210
84,143,407
82,136,240
79,172,180
76,134,313
32,135,368
73,125,353
83,139,164
32,104,169
65,138,262
71,131,729
65,141,273
73,129,196
78,122,208
83,151,260
84,133,221
32,121,296
84,132,257
72,118,123
69,137,218
32,123,277
67,166,587
79,120,116
78,125,214
83,147,403
84,127,313
73,117,123
84,132,271
85,122,181
84,137,236
73,124,123
79,162,286
78,128,214
190,164,305
32,136,290
16,225,783
87,155,438
69,156,417
32,131,165
72,118,445
65,123,129
86,126,371
69,150,317
32,130,203
66,121,601
69,253,310
78,127,350
32,137,240
65,143,246
76,213,179
79,125,284
87,152,188
69,127,255
68,140,409
32,146,311
71,145,804
85,114,152
78,123,265
83,142,352
32,114,160
83,155,573
73,124,234
78,127,256
67,162,536
69,135,312
32,127,121
84,148,231
72,124,97
69,141,206
32,104,80
71,156,737
8,426,809
32,140,170
66,129,475
8,557,751
32,110,292
66,129,620
69,270,348
71,128,645
73,126,228
78,141,209
73,123,248
78,150,223
71,115,467
32,128,209
79,147,323
70,174,486
32,112,173
79,160,334
85,137,204
82,134,256
32,122,259
78,129,346
65,149,317
84,140,163
73,119,174
79,138,195
78,127,206
190,173,375
32,136,335
16,225,679
84,113,174
72,120,614
69,181,215
82,149,167
69,176,390
32,119,142
73,113,372
83,140,162
32,107,172
65,137,278
32,115,103
82,131,475
69,192,299
83,191,412
79,123,164
78,139,208
190,155,296
32,135,310
16,191,636
73,128,236
70,155,368
32,114,169
84,129,274
72,119,106
69,143,237
32,110,202
80,136,469
79,140,269
80,130,465
76,146,316
8,504,750
85,128,251
76,148,273
65,140,334
67,150,513
69,135,336
32,127,131
72,126,476
65,135,191
83,159,354
32,126,332
71,150,666
85,111,130
78,126,273
83,147,373
188,188,704
32,132,418
84,141,396
69,147,206
72,124,224
8,304,624
72,113,267
69,163,176
89,116,355
32,119,225
65,146,303
82,140,198
69,125,350
32,120,110
72,118,406
65,125,178
82,142,191
68,143,443
69,165,249
82,154,181
32,115,211
84,139,292
79,149,133
32,107,239
67,158,552
79,130,112
78,122,214
84,124,393
82,127,242
79,157,177
76,163,254
32,135,361
65,157,293
78,118,130
68,125,171
32,116,106
65,138,317
32,101,109
84,134,319
89,111,304
82,148,336
65,152,268
78,126,139
84,125,351
32,128,145
67,175,682
79,116,114
8,570,749
61,760,155
8,345,603
65,142,238
78,117,146
79,133,318
84,140,263
32,130,288
79,152,394
86,116,300
69,152,245
82,159,205
67,138,554
79,139,114
77,140,229
69,135,208
32,114,134
84,135,256
72,123,116
69,138,199
77,150,236
32,138,142
65,142,309
78,117,139
68,129,176
32,119,102
70,130,635
82,157,245
69,136,290
90,533,15
69,151,305
32,120,138
79,148,361
85,132,210
82,129,243
32,121,336
78,139,405
65,144,247
84,146,196
73,115,166
79,132,310
78,133,233
65,148,252
188,260,472
32,131,314
78,129,391
79,121,231
82,135,160
32,115,177
83,151,661
84,128,402
82,138,233
73,127,209
80,130,487
32,105,263
65,139,311
87,152,398
65,140,245
89,118,395
32,117,259
69,163,218
86,126,253
69,150,233
82,144,206
89,112,346
32,121,257
82,126,390
73,132,499
71,127,331
72,119,128
84,145,185
32,116,291
87,160,527
69,174,278
32,132,111
72,123,382
65,121,218
86,125,284
69,151,251
32,113,178
8,472,825
190,165,295
