VK,HT,FT
16,747,-1
71,123,0
85,65,257
78,64,215
32,102,176
16,231,669
67,102,125
79,124,154
78,82,139
84,63,781
82,123,355
79,84,96
76,145,200
32,74,0
73,59,0
83,94,261
32,85,72
65,86,64
78,85,172
32,69,143
69,108,597
88,346,877
84,79,109
82,124,95
69,130,37
77,94,328
69,88,396
76,96,161
89,85,251
32,95,302
73,75,653
77,82,199
80,69,260
79,84,116
82,86,106
84,80,169
65,162,95
78,92,247
84,140,185
32,84,123
73,70,136
68,123,143
69,100,191
65,130,225
32,82,197
84,76,434
72,80,71
65,116,12
32,91,79
8,981,405
84,60,232
32,81,75
78,77,92
69,120,397
68,137,264
83,171,485
32,92,333
84,91,15
79,98,38
32,83,98
66,87,573
69,130,143
32,93,0
65,124,363
68,57,234
82,172,92
69,116,270
83,83,390
69,113,225
68,86,239
32,104,70
73,73,366
78,137,318
32,60,145
84,96,0
72,60,139
73,54,339
83,91,74
32,90,62
67,111,248
79,147,82
85,61,171
78,128,178
84,99,124
82,105,210
89,106,247
190,58,859
32,246,468
16,190,216
84,122,531
72,49,119
69,105,84
32,106,172
72,70,283
8,0,404
78,91,153
85,73,84
77,63,399
66,74,615
69,99,461
82,103,71
32,92,163
79,91,310
70,83,230
32,111,119
70,106,474
73,76,129
82,137,202
65,124,402
82,133,151
77,99,227
32,99,645
82,116,183
69,169,160
76,62,55
65,94,327
84,121,149
69,98,58
68,127,206
32,106,64
68,60,75
69,131,170
65,111,256
84,120,167
72,72,141
83,131,0
32,86,120
73,67,727
78,94,301
69,66,106
32,88,88
84,106,57
72,48,149
69,94,106
32,88,101
85,67,240
78,99,236
73,108,339
84,132,142
69,131,195
8,925,1036
16,0,1221
85,50,109
78,67,267
73,57,277
84,136,106
69,98,107
68,101,211
32,86,110
16,640,547
83,93,163
84,98,148
65,155,187
84,122,145
69,90,119
83,50,94
32,97,403
73,59,324
83,48,176
32,92,134
79,75,381
78,114,136
32,90,179
8,257,484
69,110,242
32,92,206
79,58,180
70,51,177
32,87,153
84,75,233
72,63,132
69,107,106
32,85,69
72,81,531
73,59,124
71,73,264
72,123,176
69,129,166
83,213,188
84,87,136
32,99,59
73,71,188
78,73,323
32,115,108
84,76,138
72,69,116
69,117,68
32,94,146
79,67,368
87,97,86
8,727,994
87,96,343
79,39,23
82,93,115
76,68,152
68,95,313
190,68,1011
32,271,365
16,646,435
77,43,301
65,147,51
78,85,34
89,52,415
32,83,399
67,89,527
73,66,72
84,98,391
73,124,215
69,120,46
83,115,169
32,99,330
65,119,260
82,110,319
69,133,146
32,94,112
83,88,605
79,106,142
32,110,149
72,67,977
69,110,86
65,101,169
86,109,133
73,59,112
76,139,202
89,70,282
32,99,193
65,139,217
82,130,161
77,108,127
69,71,218
68,137,281
32,107,0
87,101,245
73,59,172
84,135,137
72,61,165
32,131,105
66,61,293
76,91,509
65,134,267
67,154,59
75,29,337
32,109,300
77,110,754
65,108,400
82,51,169
75,66,299
69,117,98
84,215,159
32,95,0
71,73,300
85,75,194
78,74,231
83,113,406
32,92,183
84,78,358
72,62,77
65,140,52
84,137,74
32,90,109
71,108,571
72,72,208
69,105,38
84,76,348
79,141,82
83,181,168
32,89,70
65,108,264
82,121,243
69,118,276
32,84,131
76,114,154
73,77,180
84,100,281
69,101,129
82,123,119
76,86,159
65,119,193
8,0,322
65,115,148
76,142,88
32,102,167
87,110,19
65,119,0
82,115,58
32,89,140
90,588,480
79,84,306
78,123,116
69,106,0
83,117,212
190,58,481
32,303,902
16,0,643
82,122,0
69,167,551
77,113,185
79,82,142
86,155,112
73,82,377
78,55,141
71,88,78
32,75,244
16,448,621
65,115,56
77,98,20
69,86,152
82,123,31
73,78,118
8,0,811
73,91,487
67,126,122
65,157,63
78,91,0
32,82,152
67,115,113
73,83,261
84,121,0
73,81,0
90,832,727
69,109,201
78,97,174
83,96,39
222,397,346
32,211,0
87,86,554
8,0,626
65,100,2
66,112,578
73,96,55
76,152,198
73,58,222
84,149,93
89,117,125
32,106,243
84,70,147
79,117,42
32,105,81
80,112,239
85,105,492
82,65,277
67,72,438
72,67,231
65,124,117
83,120,88
69,145,354
32,93,245
70,119,486
73,56,132
82,127,120
69,136,184
65,102,105
82,108,113
77,109,254
83,96,97
32,115,82
87,94,98
73,78,83
76,124,208
32,103,195
78,39,365
79,106,199
84,110,12
32,78,72
79,129,94
78,91,176
76,70,0
89,84,160
32,107,68
82,152,26
69,147,321
68,93,109
85,73,299
67,132,0
69,107,160
32,83,111
84,71,269
72,74,112
69,100,70
32,102,133
78,127,89
85,71,64
77,76,400
66,83,565
69,145,0
82,117,88
32,141,161
79,92,405
70,89,187
32,96,40
71,106,834
85,80,227
78,151,148
83,107,215
32,115,54
79,85,258
78,144,143
32,113,178
84,42,128
72,61,172
69,113,0
32,87,110
76,97,0
8,971,782
66,91,151
76,85,319
65,98,88
67,84,88
75,102,40
32,75,427
77,73,203
65,128,0
82,131,150
75,103,358
69,102,0
84,169,257
188,126,649
32,109,154
66,94,729
85,58,346
84,134,166
32,95,290
65,120,439
76,279,19
83,46,165
79,189,301
32,116,158
72,83,471
69,111,153
76,81,141
80,147,296
32,108,0
82,128,611
69,130,442
68,124,210
85,78,461
67,143,318
69,83,143
32,110,285
67,106,334
82,125,119
73,69,260
77,95,66
69,85,121
83,23,200
32,98,209
65,148,279
78,73,170
68,115,122
32,90,117
68,127,383
69,116,164
65,135,322
84,127,114
72,86,149
83,90,297
84,88,169
72,70,169
82,118,72
79,63,200
85,86,157
71,98,302
72,95,187
84,129,164
79,141,151
85,68,139
8,0,675
83,82,490
32,109,114
84,104,545
72,48,44
82,83,219
79,79,71
85,79,136
71,109,269
72,65,235
79,131,265
85,89,80
84,110,151
