VK,HT,FT
16,720,-1
80,234,892
82,127,179
79,107,209
80,596,911
79,107,209
78,109,134
69,136,142
78,109,134
84,124,160
83,135,152
32,115,205
79,107,209
70,106,215
32,108,185
71,665,724
85,112,389
78,109,134
32,108,185
67,152,258
79,107,209
78,109,134
84,124,160
82,127,179
79,107,209
76,148,181
32,108,185
72,137,110
65,136,191
86,905,254
69,136,142
32,110,136
65,123,267
32,108,185
67,152,258
8,568,569
86,262,595
73,108,210
83,135,152
73,108,210
79,107,209
78,109,134
32,108,185
79,107,209
70,106,215
32,108,185
84,138,173
72,137,110
69,136,142
32,110,136
87,126,152
79,107,209
82,127,179
76,148,181
68,109,161
32,108,185
65,123,267
78,93,132
68,109,161
32,108,185
79,107,209
70,106,215
32,108,185
84,138,173
72,137,110
69,136,142
32,110,136
70,106,215
85,112,389
84,124,160
85,112,389
82,127,179
69,136,142
32,110,136
84,138,173
72,137,110
65,136,191
84,124,160
188,479,899
32,108,185
87,126,152
72,137,110
73,108,210
76,148,181
69,136,142
32,110,136
73,108,210
68,109,161
69,136,142
65,136,191
76,148,181
73,108,210
83,135,152
84,124,160
73,108,210
67,152,258
32,108,185
65,123,267
78,93,132
68,109,161
32,108,185
71,311,718
69,136,142
78,109,134
85,112,389
73,108,210
78,109,134
69,136,142
32,110,136
73,108,210
83,135,152
32,115,205
78,109,134
79,107,209
84,124,160
32,108,185
65,123,267
67,152,258
85,112,389
82,127,179
65,136,191
84,124,160
69,136,142
190,373,93
32,108,185
16,896,149
89,272,282
79,107,209
85,112,389
32,108,185
67,152,258
65,136,191
78,93,132
79,107,209
84,124,160
32,108,185
72,137,110
79,107,209
80,219,784
69,136,142
32,110,136
84,138,173
79,107,209
32,108,185
86,255,871
8,568,569
66,114,315
82,127,179
69,136,142
68,109,161
32,108,185
84,138,173
72,137,110
69,136,142
32,110,136
68,109,161
69,136,142
83,135,152
73,108,210
82,127,179
69,136,142
32,110,136
70,106,215
79,107,209
82,127,179
32,108,185
86,132,970
73,108,210
79,107,209
76,148,181
79,107,209
69,136,142
78,109,134
67,152,258
69,136,142
32,110,136
79,107,209
85,112,389
84,124,160
32,108,185
79,107,209
70,106,215
32,108,185
72,137,110
85,112,389
77,327,482
65,136,191
78,93,132
73,108,210
84,124,160
89,349,550
188,291,166
32,108,185
73,108,210
84,124,160
32,108,185
73,108,210
83,135,152
32,115,205
73,108,210
78,109,134
72,137,110
69,136,142
82,127,179
69,136,142
78,109,134
84,124,160
32,108,185
80,318,18
65,136,191
82,127,179
84,124,160
32,108,185
79,107,209
70,106,215
32,108,185
69,136,142
86,575,428
69,136,142
82,127,179
89,591,842
79,107,209
69,136,142
83,135,152
32,115,205
8,568,569
78,109,134
69,136,142
83,135,152
32,115,205
67,152,258
85,112,389
76,148,181
84,124,160
85,112,389
82,127,179
65,136,191
76,148,181
32,108,185
73,108,210
68,109,161
69,136,142
78,109,134
69,136,142
84,124,160
73,108,210
84,124,160
89,182,470
190,888,847
32,108,185
16,930,954
83,135,152
79,107,209
32,108,185
84,138,173
79,107,209
32,108,185
83,135,152
85,112,389
71,677,434
69,136,142
83,135,152
84,124,160
32,108,185
84,138,173
72,137,110
65,136,191
