VK,HT,FT
16,398,-1
71,79,528
85,96,228
78,114,66
32,128,617
67,94,333
79,96,239
78,96,256
84,96,363
82,64,255
79,112,176
76,97,255
32,128,184
73,112,208
83,96,207
32,112,192
83,80,224
79,80,174
32,128,254
73,80,9
77,913,238
80,80,1361
79,64,219
82,80,309
84,80,272
65,96,192
78,95,854
8,635,841
65,128,162
78,83,288
84,80,368
32,100,128
84,110,261
79,96,192
32,128,176
69,127,152
86,301,732
69,95,211
82,74,208
89,10,187
79,97,179
78,80,256
69,92,208
222,494,679
83,81,272
32,33,192
87,59,869
69,116,157
76,241,207
32,150,148
66,85,321
69,112,192
73,80,191
78,96,224
71,80,417
32,127,176
84,96,0
72,96,571
65,87,480
84,64,402
32,146,224
73,93,240
84,96,393
32,152,324
77,393,55
85,94,224
83,96,272
84,110,172
32,143,274
66,83,202
69,112,192
32,127,248
73,80,191
77,656,402
80,81,176
76,96,260
69,140,144
77,83,27
69,112,151
78,96,320
84,80,272
69,140,48
68,80,163
190,795,859
32,58,720
16,126,561
84,96,381
79,64,176
32,128,408
80,80,192
82,80,352
79,80,190
84,36,192
69,96,192
67,80,672
84,79,272
32,116,192
79,96,177
85,80,235
82,64,275
32,96,160
67,80,660
72,80,439
73,96,240
76,80,200
68,80,160
82,95,352
69,112,160
78,80,266
32,128,30
65,95,320
78,80,384
68,96,236
32,128,464
70,953,797
85,94,288
84,96,189
85,60,224
82,80,352
69,119,159
32,127,70
71,96,529
69,112,144
78,152,206
69,96,239
82,83,277
65,3,501
84,54,192
73,97,355
79,80,238
78,96,284
83,99,240
188,350,476
32,128,1239
87,589,942
69,112,217
32,107,176
77,550,366
85,80,312
83,98,11
84,80,368
32,125,160
80,47,212
76,242,735
65,112,202
67,80,366
69,64,192
32,104,315
76,84,273
73,24,321
77,291,588
73,80,0
84,96,3
83,36,255
32,129,225
65,97,256
78,95,256
68,95,313
32,128,144
67,96,352
79,65,192
78,96,320
84,96,20
82,99,352
79,80,340
76,96,404
32,143,384
65,96,234
67,1,502
69,112,160
83,100,323
32,80,192
84,34,324
79,100,108
32,112,384
71,82,497
85,80,336
78,128,223
83,96,238
190,710,870
32,127,240
16,581,550
87,402,510
72,86,124
69,96,192
78,96,223
32,128,141
80,111,176
82,80,320
79,79,164
80,80,184
69,97,179
82,80,277
32,95,160
66,91,384
65,96,160
67,80,352
75,377,48
71,96,529
82,86,208
79,96,190
85,84,340
78,96,214
68,96,252
32,128,177
67,96,118
72,92,143
69,107,203
67,70,354
75,563,651
83,80,403
32,82,260
65,82,663
82,80,178
69,112,176
32,96,160
82,80,277
85,78,97
78,89,280
32,71,493
65,7,256
78,95,256
68,79,174
32,74,128
82,80,320
69,64,224
80,67,176
79,96,190
82,80,320
84,80,1030
73,110,191
78,64,216
71,95,330
32,112,192
79,96,185
70,111,490
32,128,250
71,95,442
85,80,336
78,128,240
32,127,207
83,80,208
65,80,192
76,132,418
69,96,176
83,96,284
32,82,192
65,82,320
82,80,148
69,128,224
32,127,171
69,80,187
78,80,223
70,242,322
79,79,240
82,110,265
67,96,358
69,80,191
68,79,76
188,764,941
32,173,305
84,110,258
72,96,114
69,120,192
78,63,239
32,129,785
80,112,432
69,112,208
79,80,160
80,80,432
76,16,256
69,124,238
32,105,241
87,524,816
73,60,208
76,74,448
32,160,263
78,96,909
79,96,192
32,96,224
76,97,448
79,80,265
78,96,907
71,80,693
69,112,192
82,80,353
32,74,25
66,82,336
69,80,208
32,111,176
65,96,222
66,96,297
76,242,278
69,127,160
32,111,251
84,78,245
79,80,192
32,173,655
71,96,432
69,79,238
84,95,330
32,97,161
71,80,274
85,53,346
78,128,224
83,96,224
32,112,869
73,112,273
70,936,129
32,172,177
84,95,289
72,80,143
69,123,203
89,873,633
32,127,305
65,112,214
82,95,192
69,96,203
32,128,159
78,82,240
79,111,191
84,80,192
32,143,137
69,85,192
76,112,406
73,89,2
71,78,274
73,80,240
66,96,441
76,112,176
69,80,208
188,520,800
32,128,208
16,613,207
87,716,350
69,80,211
32,128,384
77,905,550
85,80,309
83,80,187
84,48,263
32,143,144
79,96,183
85,63,288
84,96,254
76,80,191
65,80,144
87,668,416
32,144,227
67,96,448
69,96,192
82,80,320
84,64,336
65,80,256
73,61,321
78,96,271
32,129,208
84,111,274
89,648,676
80,0,176
69,112,192
83,94,208
32,144,188
79,96,176
70,556,122
32,96,305
71,104,696
85,92,338
78,105,224
83,90,325
32,112,192
84,96,265
72,43,397
65,80,268
84,79,236
32,97,175
72,1,139
65,96,256
86,241,353
69,128,160
32,127,192
78,95,256
79,273,418
32,112,785
85,94,291
83,80,224
69,80,239
32,99,241
66,80,381
85,80,318
84,76,135
32,140,168
84,95,192
79,65,55
32,95,208
75,663,524
73,64,377
76,96,423
32,131,192
80,80,1361
69,112,183
79,105,192
80,80,176
76,80,273
69,112,229
188,886,490
32,128,160
76,64,407
73,112,893
75,840,939
69,80,208
32,96,208
65,112,224
83,41,137
65,80,224
85,94,224
76,96,246
84,64,227
32,123,176
87,808,667
69,96,192
65,96,322
80,111,1361
79,96,158
78,152,224
83,23,185
32,112,639
65,110,637
78,96,453
68,104,415
32,112,241
65,118,320
85,96,231
84,79,261
79,96,176
77,555,857
65,96,192
84,95,192
73,96,240
67,80,317
32,120,177
87,960,276
69,65,211
65,80,208
80,64,176
79,96,189
78,80,240
83,96,225
190,899,216
32,172,176
16,543,346
84,76,259
72,30,176
69,98,128
32,128,198
76,97,298
73,80,808
78,95,224
8,422,656
77,321,430
73,112,198
84,80,192
73,96,1074
78,80,347
71,101,715
32,111,192
65,112,480
78,96,223
68,79,160
32,100,310
82,80,345
69,96,192
80,80,1361
79,80,175
82,71,353
84,80,302
73,96,312
78,128,196
71,91,274
32,128,177
79,80,428
70,429,974
32,128,299
65,96,208
77,865,803
85,80,274
78,111,223
73,64,380
84,111,302
73,96,321
79,80,189
78,95,239
32,128,207
83,96,240
65,112,320
76,158,448
69,112,148
83,94,191
32,95,790
87,11,834
73,96,321
76,80,404
32,127,223
77,984,265
65,80,160
75,143,903
69,73,131
32,128,176
65,127,165
32,112,158
66,80,480
73,63,288
71,95,374
32,112,735
68,94,120
69,92,192
78,80,130
84,111,368
32,96,985
73,64,240
78,107,288
32,126,201
73,80,319
76,112,378
73,10,240
67,96,577
73,60,397
84,96,676
32,112,785
71,96,715
85,80,51
78,96,207
32,129,208
85,80,336
83,82,227
69,113,151
190,600,550
32,128,726
16,923,816
87,587,938
72,96,176
69,127,203
78,80,241
32,128,220
87,137,798
69,112,208
32,127,256
75,909,359
78,95,240
79,96,184
87,482,205
32,112,240
87,202,958
72,14,153
79,65,205
32,131,192
71,80,408
8,787,627
66,68,384
8,157,53
72,80,143
65,112,192
83,102,231
32,144,192
71,95,330
85,60,224
78,96,206
83,82,240
32,112,190
87,258,744
69,85,170
32,127,175
87,656,27
73,88,207
76,69,431
32,128,188
66,80,474
69,98,211
32,114,256
65,106,208
66,80,432
76,96,243
69,112,151
32,112,238
84,95,277
79,96,192
32,96,192
68,80,268
69,126,192
70,894,101
69,96,192
78,96,198
68,89,391
32,96,163
65,27,480
71,97,390
65,112,176
73,112,219
78,80,271
83,80,271
84,80,128
32,112,128
84,95,192
72,80,571
69,88,196
77,562,719
32,127,160
69,96,171
65,97,244
83,99,217
73,64,99
69,134,159
82,110,277
190,528,429
