VK,HT,FT
16,384,-1
73,105,211
32,115,220
66,86,219
69,85,180
76,92,145
73,93,148
69,87,121
86,91,216
69,96,159
32,108,171
84,111,154
72,97,134
65,145,108
84,106,116
32,100,130
71,111,464
85,72,154
78,99,182
32,93,180
67,101,227
79,109,119
78,111,126
84,83,134
82,95,166
79,77,115
76,110,201
32,99,171
73,91,219
83,94,100
32,86,128
65,97,208
32,92,116
71,99,371
79,102,122
68,96,213
32,104,183
73,93,253
68,93,196
69,118,174
65,115,122
32,95,182
84,101,323
72,91,98
65,117,106
84,99,106
32,100,130
67,107,292
65,112,160
78,102,84
79,112,232
84,105,153
32,104,126
66,97,217
69,105,179
32,114,111
73,101,229
77,110,141
80,94,195
76,99,178
69,82,173
77,80,172
69,89,145
78,74,182
84,99,161
69,109,202
68,98,178
190,95,284
32,119,211
16,286,323
66,103,171
69,107,178
67,94,207
65,118,146
89,96,155
8,327,569
85,89,503
83,105,144
69,99,149
32,96,129
73,92,179
84,95,128
32,105,169
67,98,296
65,112,160
78,102,84
79,112,232
84,105,153
32,104,126
87,111,290
79,85,130
82,104,90
75,95,141
32,104,146
16,274,316
73,101,165
32,100,167
79,106,235
80,202,227
79,116,318
83,92,181
69,92,219
32,102,123
84,91,197
72,92,92
69,92,114
32,102,94
65,109,229
84,140,197
69,103,161
77,96,151
80,102,175
84,88,164
83,109,187
32,103,166
84,94,235
72,93,95
69,94,101
89,93,132
32,97,133
77,89,238
65,99,121
75,91,143
69,85,132
32,95,123
84,93,260
79,106,95
32,104,118
69,97,313
78,84,134
65,109,157
67,149,218
84,90,211
32,83,127
76,97,224
69,83,125
71,92,240
73,86,177
83,95,167
76,97,223
65,112,146
84,109,135
73,144,119
79,128,125
78,112,113
32,124,149
84,99,186
79,101,92
32,119,138
67,99,340
79,90,96
78,110,128
84,82,138
82,95,166
79,77,115
76,110,201
32,99,171
71,103,273
73,97,195
8,331,496
85,89,503
78,97,171
83,98,146
190,130,307
32,148,237
16,198,301
73,97,146
70,96,175
32,92,126
87,92,259
69,77,177
32,82,148
72,94,190
65,133,76
86,114,141
69,123,111
32,102,112
71,91,341
85,78,142
78,94,205
32,106,156
67,101,227
79,109,119
78,111,126
84,83,134
82,95,166
79,77,115
76,110,201
32,99,171
84,101,269
72,93,113
65,117,106
84,99,106
32,100,130
83,104,235
69,147,170
82,105,125
86,97,273
69,114,211
83,110,166
32,121,138
8,620,634
32,101,736
73,99,221
83,106,119
32,96,127
70,92,192
79,110,104
76,111,224
79,96,228
87,100,127
69,114,233
68,102,233
32,114,264
66,87,265
89,97,150
32,104,142
72,96,246
79,106,151
78,108,132
69,91,150
83,126,201
84,104,153
32,106,117
80,96,283
69,93,121
73,93,169
79,121,123
8,322,484
79,104,426
80,117,167
76,109,182
69,97,115
188,98,280
32,95,135
84,100,209
72,92,90
69,100,112
78,99,124
32,112,120
89,92,244
79,130,115
85,110,115
82,120,99
32,101,121
67,89,244
82,106,194
73,99,130
77,98,137
65,104,126
8,261,487
73,100,553
78,110,116
65,107,173
76,109,169
32,88,124
69,92,274
76,114,163
69,76,111
77,80,172
69,89,145
78,74,182
84,99,161
32,84,303
87,113,239
73,88,118
76,239,197
32,98,292
67,113,448
79,105,106
78,110,128
84,82,138
73,106,125
78,108,148
85,65,203
69,95,167
32,91,180
84,95,180
79,106,95
32,104,118
72,84,198
65,106,97
86,103,138
69,91,120
32,102,112
71,91,341
85,78,142
78,94,205
83,90,135
32,100,173
65,115,220
83,105,155
32,95,135
84,92,270
72,100,86
69,84,87
89,93,132
32,97,133
68,92,216
79,96,101
32,103,142
78,111,180
