VK,HT,FT
16,1213,-1
73,117,161
32,160,216
84,127,256
72,128,118
73,127,273
78,124,217
75,362,831
32,127,155
73,48,233
84,135,169
32,127,144
87,151,281
79,143,119
85,111,233
76,129,136
68,181,148
32,122,165
66,143,1430
69,143,125
32,117,144
65,159,339
32,127,177
71,128,1329
82,191,163
69,33,123
65,191,204
84,145,87
32,128,586
84,160,230
72,122,104
73,143,213
78,149,208
71,153,119
32,132,152
70,81,190
79,138,232
82,193,139
32,133,161
84,153,91
72,154,104
69,162,128
32,132,26
16,496,484
85,122,249
78,117,246
73,90,245
84,144,144
69,234,570
68,149,35
32,169,187
16,332,124
83,118,933
84,148,183
65,149,107
84,145,287
69,892,167
83,224,13
32,133,148
84,131,155
79,296,126
32,95,246
72,127,126
65,164,85
86,71,358
69,175,114
32,132,253
77,152,222
79,139,130
82,123,142
69,540,104
32,133,205
71,127,417
85,101,211
78,117,757
32,155,257
67,146,175
79,103,185
78,138,239
84,181,129
82,106,214
79,106,213
76,144,375
32,121,207
84,174,185
72,144,102
65,202,114
78,136,128
32,124,243
84,150,149
8,886,312
73,122,265
84,165,192
32,105,134
72,80,668
65,156,160
83,223,165
32,139,141
82,170,388
73,138,290
71,182,433
72,117,207
84,291,238
32,122,107
78,123,74
79,154,178
87,196,74
190,128,1046
32,117,122
16,201,227
84,165,449
72,133,139
69,149,131
32,129,173
80,159,639
82,208,298
79,100,128
66,128,240
76,85,366
69,134,128
77,133,149
32,132,155
87,201,435
73,122,229
72,133,118
84,99,155
8,891,429
84,112,96
72,106,118
32,112,139
84,139,149
72,149,125
73,101,210
83,151,145
32,117,151
78,146,306
65,177,128
84,155,167
73,111,188
79,106,232
78,138,204
32,1500,194
73,111,233
83,129,136
32,129,140
84,51,153
72,144,149
65,205,94
84,176,107
32,162,155
71,115,708
69,170,160
84,172,96
73,143,54
78,133,231
71,160,103
32,149,150
71,148,167
85,141,131
78,147,238
83,146,83
32,126,120
65,132,204
78,133,34
68,144,157
32,127,170
65,148,137
77,318,161
85,143,526
78,127,1033
73,122,228
84,170,169
73,122,140
79,167,263
78,143,206
32,175,262
73,138,241
83,134,111
32,99,36
87,201,522
65,139,143
89,112,206
32,133,246
84,126,117
79,46,128
32,37,428
87,117,301
65,154,80
8,1428,417
69,160,178
65,131,211
83,148,18
89,179,168
190,154,786
32,143,182
16,277,1467
83,190,124
79,106,159
32,143,236
65,164,362
78,128,270
89,159,209
79,128,313
78,132,224
69,151,189
32,127,75
87,164,605
72,135,125
79,235,275
32,135,248
82,117,142
69,206,134
65,248,83
76,138,585
89,103,378
32,139,218
87,127,434
