VK,HT,FT
73,6,-1
32,5,372
87,7,533
73,7,431
83,6,324
72,7,308
32,5,364
84,8,315
73,6,579
8,687,611
79,7,474
32,5,291
83,6,304
84,7,396
65,7,370
82,6,268
84,7,345
32,4,327
84,8,334
72,7,377
73,7,496
83,6,305
32,5,360
66,9,649
89,976,734
32,4,310
83,7,384
65,8,336
89,703,955
73,6,590
78,37,367
71,7,458
32,5,272
73,6,461
32,5,304
65,6,513
77,6,449
32,5,300
78,31,400
79,7,387
84,7,407
32,5,293
65,7,499
32,4,305
71,6,330
85,8,510
78,1,401
32,6,298
79,8,425
87,7,450
78,20,403
69,7,267
82,6,321
190,139,383
32,4,317
71,6,430
85,7,373
78,0,358
83,6,339
32,5,371
65,7,421
82,6,311
69,4,245
32,5,379
86,238,79
69,6,281
82,6,279
89,871,792
32,4,308
86,955,694
73,6,422
84,7,303
65,7,302
76,39,315
32,5,376
80,430,231
65,7,365
82,6,302
84,7,364
32,5,364
79,6,508
70,743,485
32,4,360
83,6,374
8,531,681
65,8,320
77,7,441
69,7,356
82,5,334
73,6,565
67,6,556
65,7,436
78,14,515
32,6,306
67,7,629
85,8,392
76,30,392
84,7,402
85,8,399
82,6,344
69,4,259
190,239,632
32,5,378
84,8,353
72,7,320
69,7,315
89,421,980
32,4,318
82,6,304
69,5,243
80,810,85
82,6,319
69,5,258
83,6,360
69,7,391
78,4,487
84,7,408
32,4,336
87,7,468
72,7,403
65,8,336
84,7,366
32,5,381
87,7,489
69,7,265
32,5,281
87,7,425
69,7,335
82,7,292
69,4,257
32,4,274
70,492,665
79,7,374
85,8,439
78,10,326
68,6,378
69,5,338
68,6,534
32,5,322
79,8,366
78,14,356
190,540,463
32,6,290
87,7,508
69,6,367
32,5,387
85,8,358
83,6,337
69,7,349
32,4,243
71,7,416
85,7,420
78,36,386
83,6,337
32,5,350
84,7,319
79,7,462
32,5,314
80,42,722
82,6,339
79,7,392
86,640,438
73,6,433
68,6,482
69,6,393
32,4,298
72,6,350
69,7,293
65,8,388
76,99,354
84,6,340
72,7,389
89,665,112
32,4,294
70,133,700
79,7,482
68,6,367
32,5,302
70,619,761
79,6,354
82,6,291
32,4,357
79,8,501
85,8,399
82,6,287
32,4,373
70,760,316
65,7,453
77,6,426
73,8,550
76,42,357
89,470,155
190,386,274
32,5,334
87,7,541
69,7,367
32,4,286
85,8,429
83,7,377
69,5,306
32,4,315
71,7,506
85,8,496
78,0,322
83,6,384
32,5,345
84,8,318
79,7,360
32,4,344
84,8,361
69,6,259
65,7,360
67,6,558
72,7,373
32,4,337
79,7,435
85,8,445
82,7,336
32,5,327
67,6,406
72,7,307
73,8,524
76,78,338
68,6,478
82,6,345
69,5,241
78,25,417
32,6,305
65,7,432
66,8,751
79,6,422
85,8,495
84,7,383
32,5,316
83,7,359
65,7,394
70,646,917
69,7,385
84,6,367
89,366,599
32,5,340
65,6,390
77,8,340
83,7,397
8,405,743
68,5,363
32,5,327
82,6,317
69,5,265
83,7,332
80,850,231
69,6,325
67,6,630
84,7,391
190,468,234
32,5,375
87,7,455
69,6,269
32,4,241
85,8,462
83,6,314
69,6,363
32,5,345
71,7,494
85,8,431
78,0,354
83,7,385
32,5,291
84,7,307
79,7,350
32,5,340
80,67,647
82,6,297
79,8,502
84,7,360
69,6,387
67,8,506
84,6,379
32,5,265
79,7,468
85,7,461
82,5,337
83,6,360
69,7,267
76,65,365
86,620,984
69,6,388
83,7,403
32,4,287
65,6,494
78,24,316
68,5,496
32,5,366
70,430,847
65,8,373
77,7,439
73,7,500
76,35,339
73,6,491
69,6,337
83,7,350
32,6,299
70,253,529
82,5,340
79,6,464
77,8,396
32,5,274
67,6,397
82,5,285
73,6,473
77,7,379
73,8,545
78,13,331
65,8,351
76,64,290
83,6,328
190,559,162
32,5,343
71,6,294
85,8,434
78,40,373
83,7,391
32,5,268
65,6,446
82,5,332
69,5,259
32,5,361
65,6,468
78,51,383
32,4,305
73,7,484
77,7,451
80,916,125
79,8,421
82,7,286
84,6,347
65,8,354
78,51,434
84,8,351
32,5,279
80,859,898
73,6,574
69,7,361
67,8,610
69,7,284
32,4,311
79,8,475
70,616,493
32,5,367
67,8,436
72,7,383
69,7,380
67,6,512
75,494,975
83,7,327
32,5,343
65,7,401
78,9,269
68,6,330
32,5,376
66,8,705
65,7,394
76,42,347
65,7,423
77,7,446
8,583,661
78,0,438
67,7,551
69,7,270
83,6,372
32,5,378
66,9,624
69,7,296
84,7,423
87,7,496
69,7,314
78,0,339
32,5,295
84,8,317
72,7,332
69,5,260
32,5,284
67,7,572
73,6,466
84,7,412
73,8,512
