VK,HT,FT
72,5,-1
79,7,758
87,8,399
32,3,322
77,5,642
65,8,584
78,117,153
89,758,718
32,5,335
73,8,354
78,40,428
79,11,333
67,5,487
69,12,470
77,7,627
84,7,536
32,5,430
87,7,579
79,5,263
77,8,496
69,4,82
78,53,278
32,3,322
65,6,206
78,97,204
68,6,586
32,3,567
67,8,667
72,8,353
73,4,639
76,0,361
68,3,186
82,7,169
69,4,203
78,39,718
32,6,316
72,6,431
65,9,639
86,290,784
69,8,324
32,4,419
89,482,739
8,847,665
84,7,385
79,6,717
32,6,559
66,9,358
69,4,133
32,5,192
77,9,361
73,6,568
82,5,341
68,5,295
69,8,258
82,8,293
69,4,213
68,4,202
32,6,272
66,9,497
69,6,362
70,890,228
79,7,703
82,8,250
69,4,274
32,4,196
8,0,1043
85,7,567
82,6,495
68,7,554
69,7,94
82,9,403
69,4,247
68,7,373
32,6,336
66,7,949
69,5,458
70,594,742
79,5,503
82,8,473
69,5,291
32,5,32
87,3,210
69,8,332
32,5,580
66,8,633
65,7,293
78,14,71
32,6,281
84,8,373
72,6,372
69,8,390
32,5,539
71,6,235
85,10,887
78,0,221
83,7,306
191,348,895
32,6,302
71,4,676
85,8,641
78,115,463
83,8,191
32,6,469
65,7,657
82,3,424
69,4,260
32,4,68
65,7,628
32,5,302
68,6,312
84,7,304
82,6,312
8,50,1005
69,7,335
84,6,520
82,2,186
73,7,384
77,6,508
69,6,531
77,5,522
84,7,299
32,6,245
84,8,318
79,4,255
32,3,65
65,6,655
77,8,499
69,6,464
82,3,410
73,5,171
67,10,704
65,9,288
78,121,496
32,9,307
83,4,492
79,10,523
73,7,668
69,3,394
84,8,488
89,857,460
190,625,736
8,0,728
49,313,687
32,4,321
87,4,435
69,7,256
32,5,119
65,7,650
82,3,280
69,3,295
32,5,445
66,8,77
73,8,738
69,6,320
87,8,442
69,7,353
68,5,256
32,4,275
65,7,393
83,6,313
32,4,323
65,7,534
32,5,172
71,5,46
85,8,294
78,0,460
32,10,352
84,8,313
79,8,587
84,9,673
73,8,711
78,80,41
71,7,230
32,6,378
85,9,385
76,0,254
84,8,162
82,3,294
65,6,135
32,5,217
86,141,33
73,9,794
79,8,495
76,9,313
69,6,282
78,96,431
84,8,313
32,5,323
83,4,453
79,11,336
67,8,571
73,6,373
69,7,226
84,9,349
89,428,420
32,6,396
66,10,755
89,255,751
32,7,298
77,8,347
79,8,403
83,5,390
84,10,184
190,863,541
32,7,288
87,6,525
72,6,509
89,942,824
32,2,475
68,6,655
79,9,383
32,7,448
89,806,462
79,8,422
85,7,325
32,4,161
78,0,200
69,4,323
68,5,531
32,5,491
65,6,613
32,3,488
71,6,348
85,8,427
78,48,643
32,6,274
84,7,347
79,9,357
32,5,335
80,401,412
85,9,590
84,9,287
32,8,393
70,681,800
79,6,344
68,6,236
32,6,267
79,5,622
78,68,310
32,7,298
84,8,353
72,9,331
69,7,307
32,4,355
84,8,359
65,9,404
66,8,0
76,152,222
69,2,266
191,146,797
32,5,441
73,8,437
78,0,479
32,5,283
84,9,294
79,6,597
68,8,464
65,8,413
89,64,701
83,8,167
32,4,302
87,7,404
79,4,417
82,10,294
76,142,249
68,5,463
32,5,423
87,7,685
69,9,338
32,4,364
67,5,832
65,7,341
78,0,400
32,4,283
68,4,0
82,4,292
73,3,719
86,784,164
69,8,472
32,4,357
84,8,230
79,8,616
32,6,212
84,7,403
72,6,313
69,5,263
32,5,316
83,7,428
85,8,359
80,241,913
69,7,268
82,7,356
77,9,471
65,7,338
82,8,287
75,76,723
69,8,411
84,6,391
32,5,0
65,7,87
77,6,234
68,6,613
32,5,426
66,7,245
85,8,220
89,851,662
32,4,187
65,8,442
76,72,284
32,5,179
84,7,276
72,9,475
69,4,527
32,4,496
70,654,867
79,5,389
68,6,333
32,4,320
87,7,239
69,10,463
32,5,392
78,44,480
69,7,238
68,3,633
49,968,176
8,547,954
32,7,173
73,6,383
70,969,704
32,3,311
87,6,479
69,12,117
32,4,291
87,5,197
79,8,361
85,8,471
76,133,229
68,4,411
32,6,412
66,8,955
65,3,0
78,87,0
32,7,267
71,4,623
85,8,395
78,83,480
83,5,346
32,6,544
87,7,479
69,9,406
32,4,554
87,6,288
79,5,283
85,9,391
76,165,450
68,6,237
78,69,322
84,6,595
32,3,301
78,0,622
69,8,382
68,4,412
32,4,497
80,38,44
82,12,267
79,9,175
84,9,549
69,3,154
67,7,243
84,9,222
73,6,526
79,6,241
78,10,353
32,8,354
70,223,846
82,7,408
79,7,760
77,10,438
32,6,375
67,10,685
82,5,220
73,8,582
77,5,188
73,3,426
78,134,770
65,8,440
76,0,407
83,9,358
190,901,158
32,3,145
66,7,502
69,9,89
83,7,367
73,8,310
68,6,407
69,7,360
83,10,521
32,5,157
73,8,646
83,6,302
78,0,544
84,7,487
32,6,356
84,7,282
72,7,536
65,8,290
84,8,309
32,5,313
87,6,592
72,6,431
89,82,541
32,2,289
87,5,416
69,1,53
32,5,505
72,7,374
65,5,558
86,306,961
69,5,23
32,5,564
80,212,517
79,6,0
76,180,437
73,9,769
67,10,324
69,4,165
191,77,954
32,5,496
87,8,610
69,3,610
32,4,382
65,7,586
82,7,330
69,5,240
32,3,186
68,5,337
69,4,356
83,7,546
84,3,155
82,4,355
79,8,609
89,4,583
73,7,668
77,10,241
71,7,532
32,8,477
79,6,502
85,7,457
84,6,205
8,0,445
82,3,355
32,3,413
83,7,203
79,8,393
67,9,558
73,10,306
69,6,324
84,6,229
89,76,887
32,5,291
79,10,870
78,33,533
69,7,515
32,4,363
83,5,106
69,7,283
78,55,274
83,8,170
69,2,545
76,33,387
69,4,473
83,8,244
32,5,218
77,6,595
85,7,583
82,4,338
68,5,324
69,7,309
82,6,182
32,5,352
65,7,397
84,5,406
32,2,478
65,6,333
32,6,396
84,7,210
73,8,328
77,7,458
69,6,288
190,788,706
32,6,285
87,8,507
72,7,367
89,403,11
32,7,491
73,7,404
83,9,417
32,4,416
73,6,395
84,9,449
32,5,259
83,6,362
79,5,809
32,6,475
72,6,515
65,6,54
82,5,187
68,4,579
32,4,409
70,610,653
79,8,344
82,7,348
32,4,185
80,823,586
69,9,286
79,4,386
80,3,772
76,80,343
69,5,357
32,4,393
84,8,208
79,9,415
32,4,77
85,6,506
78,47,124
83,4,387
8,890,550
68,6,962
69,7,0
82,5,273
83,9,380
84,9,680
65,8,532
78,52,399
68,9,113
32,3,292
84,8,375
72,8,192
65,8,579
84,9,219
32,5,369
68,5,521
73,6,600
83,6,396
65,9,394
82,5,341
77,7,443
73,6,359
78,34,118
71,6,471
32,3,395
65,7,522
8,1336,712
65,7,0
77,9,301
69,8,206
82,3,376
73,6,624
67,5,510
65,7,550
78,56,410
32,6,267
67,7,496
73,6,542
84,6,523
73,8,346
90,290,49
69,5,514
77,4,444
83,6,397
32,6,481
87,6,691
73,8,342
76,94,317
32,3,352
76,81,561
69,10,449
65,10,408
68,6,510
