VK,HT,FT
16,616,-1
84,48,120
72,59,99
69,120,377
32,40,67
16,2,677
83,88,8
69,144,76
67,223,432
79,88,14
78,64,88
68,117,520
32,47,132
16,534,912
65,80,83
77,270,892
69,62,48
78,118,153
68,765,70
77,210,750
69,87,88
78,80,130
84,79,104
32,80,112
71,48,128
73,116,136
86,895,231
69,96,48
83,80,189
32,80,104
16,226,265
65,11,12
77,46,851
69,72,50
82,81,64
73,72,80
67,687,846
65,46,42
78,88,84
83,88,245
32,72,104
84,56,157
72,56,208
69,83,53
32,80,72
82,65,146
73,111,102
71,48,197
72,64,208
84,56,75
32,36,33
84,72,43
79,102,5
32,94,147
66,359,449
69,76,48
65,100,103
82,72,178
32,78,72
65,62,95
82,79,87
77,422,690
83,88,24
188,768,848
8,120,596
190,607,783
32,72,72
16,20,882
84,80,395
72,2,44
73,96,11
83,73,138
32,88,80
73,64,136
82,64,33
32,64,72
8,64,370
83,80,170
32,64,76
71,64,135
79,110,88
8,218,283
70,495,829
79,104,114
82,80,82
32,80,80
83,96,243
69,56,88
76,203,142
70,614,46
32,80,114
68,954,184
69,56,321
70,494,674
69,107,72
78,72,80
83,96,97
69,89,80
188,301,518
32,64,42
70,875,913
79,64,80
82,88,119
32,48,104
83,83,107
8,64,471
32,72,80
16,325,300
87,37,878
69,102,95
8,186,352
72,79,69
69,64,110
84,110,188
72,80,208
69,56,319
82,91,96
32,47,112
71,48,95
85,635,21
78,72,64
32,64,73
67,800,559
79,80,88
76,480,890
69,72,98
67,380,784
84,63,104
73,72,131
78,95,28
71,64,138
32,48,120
66,357,824
69,56,5
32,80,71
65,57,91
32,80,123
72,92,101
65,72,112
8,72,413
79,56,67
66,354,191
89,61,165
188,425,606
32,80,80
71,48,177
79,40,62
73,11,80
78,104,128
71,74,27
32,64,72
84,80,198
79,113,88
32,64,100
84,67,127
72,56,214
69,107,9
32,48,71
83,96,248
72,17,56
79,76,56
84,73,119
78,6,64
8,222,1381
73,55,80
78,64,64
71,39,112
32,92,104
82,88,114
65,69,104
78,88,88
71,61,93
69,56,48
188,819,639
32,40,109
72,48,59
85,124,153
78,96,80
84,99,112
73,53,85
78,76,85
71,55,121
188,447,714
32,56,88
79,120,91
82,7,96
32,80,111
83,72,254
73,96,80
77,978,91
80,498,556
76,776,598
89,780,632
32,48,88
79,95,65
87,913,480
78,50,171
73,103,852
78,104,64
71,48,22
32,48,88
65,15,56
32,65,142
71,64,124
85,155,559
78,104,70
32,48,104
70,199,941
79,185,157
82,64,80
32,64,104
80,316,737
69,60,351
82,80,75
83,84,117
79,64,68
78,72,132
65,65,71
76,752,707
32,40,88
80,5,42
82,85,72
79,80,149
84,97,112
69,56,343
67,622,290
84,80,87
73,120,80
79,85,143
78,72,116
32,80,80
76,902,543
8,66,171
188,661,600
32,31,72
73,24,872
84,80,176
32,64,626
73,123,136
83,80,267
32,64,72
73,63,126
78,88,80
32,123,574
79,107,72
85,152,718
82,72,103
32,72,72
82,95,88
73,56,807
71,53,21
72,3,71
84,79,188
83,80,151
32,80,105
65,66,86
83,96,104
32,48,111
16,94,96
65,80,103
77,179,57
69,72,56
82,88,64
73,120,106
67,73,302
65,80,13
78,104,144
32,72,116
83,72,102
8,64,347
67,402,844
73,96,220
84,56,146
73,56,80
90,395,611
69,117,87
78,64,103
83,80,52
32,56,112
84,108,172
79,105,7
32,80,80
72,64,102
8,218,398
79,143,149
87,889,266
78,80,80
32,48,48
70,842,358
73,56,108
82,72,85
69,52,226
65,72,94
82,92,176
77,540,757
83,59,178
190,572,496
32,48,112
16,774,932
71,85,88
8,47,664
16,541,477
71,21,100
8,72,160
16,92,610
70,159,412
73,155,80
82,90,90
69,86,186
8,64,302
16,270,924
82,97,60
69,79,57
83,80,95
80,733,111
79,120,86
78,100,64
83,88,109
73,103,77
66,641,800
76,913,206
69,56,99
32,109,88
71,56,123
85,915,342
78,113,72
32,72,96
79,80,41
87,536,843
78,41,143
83,87,96
69,87,387
8,64,1170
69,120,49
82,64,60
83,80,112
32,80,136
83,88,71
72,94,89
79,95,43
85,949,969
76,281,404
68,24,878
32,64,141
78,96,125
79,59,88
84,59,112
32,32,88
66,586,855
69,64,72
32,95,120
80,181,554
69,120,80
78,117,170
65,72,73
76,579,867
73,56,80
90,468,366
69,64,80
68,560,703
32,40,96
70,70,893
79,80,83
82,64,45
32,72,72
84,88,144
72,19,208
