VK,HT,FT
16,557,-1
71,169,0
85,165,303
78,113,81
83,154,59
32,151,62
76,66,112
75,94,201
8,582,486
16,501,0
79,70,32
78,98,84
32,120,212
84,90,256
72,50,102
69,135,123
32,141,415
84,118,142
79,123,21
80,100,41
73,128,149
67,94,198
32,162,227
79,124,161
70,151,77
32,125,292
71,124,0
85,125,194
78,121,60
32,83,272
67,75,133
79,166,38
78,103,51
84,63,118
82,119,156
79,61,46
76,130,175
188,108,265
32,158,0
16,265,117
73,180,0
32,94,137
72,118,451
73,90,51
71,89,158
72,77,90
76,125,181
89,85,279
32,106,424
83,131,35
85,129,0
80,105,169
79,178,0
82,60,85
84,112,97
32,150,0
73,46,519
84,139,108
190,211,93
32,147,96
16,98,361
87,102,123
69,116,144
32,104,102
67,81,175
65,121,147
78,201,0
79,127,46
84,95,117
32,98,299
67,104,286
79,169,112
78,122,81
84,57,125
73,79,124
78,226,9
85,145,486
69,164,151
32,101,349
84,122,176
79,85,56
32,107,130
65,91,79
76,222,162
79,71,94
87,88,103
32,133,3
79,110,36
85,123,78
82,84,98
32,83,114
67,62,166
72,106,85
73,111,69
76,69,197
68,105,81
82,106,137
69,90,130
32,130,162
78,42,379
8,335,514
78,112,142
32,122,40
84,114,100
79,79,88
32,162,162
66,89,233
69,89,62
32,111,48
75,132,34
73,85,159
76,198,206
69,107,162
68,91,304
32,100,103
73,111,145
78,157,62
32,132,443
84,122,173
72,58,70
69,101,135
32,144,384
83,113,74
84,87,86
82,121,153
69,122,235
84,107,145
83,104,198
188,111,344
32,131,228
66,98,157
69,108,64
67,108,236
65,127,193
85,53,81
83,143,12
69,92,99
32,85,220
87,138,0
69,115,161
32,90,127
76,112,108
65,157,73
67,102,11
75,53,140
32,211,193
67,92,67
79,147,84
78,125,53
84,30,92
82,102,133
79,75,70
76,63,154
32,109,0
79,146,0
70,126,68
32,137,144
87,94,105
72,132,113
79,122,107
32,109,240
79,193,0
87,86,0
78,143,0
83,145,100
32,122,112
85,147,162
78,121,196
8,465,226
71,98,287
85,142,259
78,128,149
83,190,90
190,0,220
32,122,107
16,232,0
84,93,204
72,93,129
69,90,76
82,65,263
69,84,113
32,139,90
78,16,143
69,170,14
68,114,312
83,127,217
32,108,33
84,99,168
79,96,43
32,140,21
66,99,210
69,107,49
32,133,87
65,94,107
32,129,245
72,144,0
73,142,62
71,31,0
72,107,100
69,109,151
82,50,157
32,63,92
65,137,127
77,161,113
8,754,422
80,141,758
85,48,62
78,99,148
73,126,240
83,115,25
72,115,0
77,109,9
69,76,103
78,105,64
84,130,113
32,125,45
70,100,128
79,125,75
82,86,122
32,84,0
84,94,237
72,101,146
79,115,62
83,109,128
69,68,92
87,85,239
8,531,195
32,115,0
87,126,47
72,98,74
79,153,79
32,133,22
65,94,139
82,59,163
69,90,127
32,121,61
67,78,56
65,129,171
85,68,163
71,76,304
72,87,114
84,82,290
32,135,0
87,108,371
73,81,73
84,94,0
72,71,62
32,136,111
71,131,392
85,138,208
78,132,55
83,150,154
32,122,194
73,60,40
76,129,188
69,163,157
71,88,0
65,80,196
76,43,130
89,98,181
32,117,605
65,151,178
83,183,226
32,168,113
87,170,203
69,96,206
76,165,224
190,270,553
32,136,275
16,0,0
87,95,108
69,108,182
8,869,366
16,329,81
83,93,35
85,109,30
82,113,83
69,45,488
188,84,48
32,156,93
87,142,60
69,73,171
32,104,128
67,67,219
65,133,241
78,88,43
32,160,0
80,117,50
82,57,113
79,110,122
84,102,97
69,89,187
67,77,28
84,128,140
32,123,0
79,129,213
85,111,92
82,92,111
32,99,0
16,446,0
222,120,340
84,122,35
72,86,95
73,148,66
78,58,122
71,106,3
83,108,99
16,218,0
222,100,414
32,136,204
65,128,53
78,114,84
68,125,46
32,141,81
77,104,170
65,145,128
84,67,150
69,93,138
82,70,166
73,91,188
65,138,162
76,136,80
83,127,193
32,157,156
87,135,309
73,78,98
84,106,284
72,84,88
32,121,111
71,130,344
85,129,158
78,122,79
83,82,522
190,162,178
