VK,HT,FT
16,54,-1
71,918,296
85,91,148
78,114,339
83,141,349
32,112,246
65,127,232
82,115,330
69,119,168
32,109,231
78,127,400
79,151,166
84,102,129
72,917,944
73,126,120
78,120,395
71,487,551
32,117,277
77,955,101
79,138,168
82,101,186
69,132,186
32,107,140
84,95,146
72,453,48
65,140,201
78,118,331
32,109,299
84,102,149
79,153,196
76,101,252
83,141,225
16,185,468
59,561,966
32,114,294
84,89,114
79,119,202
76,117,164
83,128,299
32,98,222
87,178,989
72,330,463
73,99,92
67,633,657
72,781,756
32,116,217
16,958,200
65,166,207
77,903,321
69,138,145
82,111,273
73,116,176
67,615,482
65,163,221
78,126,241
83,125,304
32,102,165
72,554,353
65,150,227
86,464,267
69,128,195
32,108,284
79,117,150
87,226,672
78,129,341
69,131,197
68,136,125
32,103,193
69,117,142
86,351,970
69,119,145
82,97,204
32,104,193
83,137,327
73,110,261
78,140,372
69,128,186
32,118,205
84,101,164
72,588,563
69,125,154
32,101,167
66,707,593
69,139,170
71,234,83
73,113,259
78,120,281
73,110,353
78,115,281
71,436,428
32,93,297
79,135,166
70,802,421
32,119,157
84,95,148
72,617,151
69,122,146
32,118,187
16,28,892
82,97,296
69,117,167
80,578,842
85,106,131
66,551,351
76,132,149
73,121,186
67,85,905
190,884,891
32,103,146
16,506,535
84,98,156
72,449,791
69,131,172
78,140,166
8,22,24
32,98,255
16,853,244
83,116,373
67,992,589
69,117,153
67,394,387
79,129,137
78,121,352
68,134,228
32,100,137
16,700,587
65,134,256
77,478,189
68,107,292
8,773,382
69,131,186
77,647,433
8,888,531
78,134,126
68,124,138
77,863,401
69,129,187
78,117,193
84,83,140
32,108,275
83,126,333
80,376,661
69,139,183
67,578,18
73,121,323
70,615,112
73,129,400
67,808,275
65,172,172
76,120,268
89,764,906
32,99,177
71,923,737
85,112,138
65,159,200
82,112,162
78,121,136
65,118,239
84,84,126
69,115,165
83,125,273
65,152,228
78,136,380
32,109,264
84,99,161
72,135,268
69,128,155
32,117,226
82,106,114
73,100,290
71,615,917
72,697,1
84,99,131
32,103,277
84,97,149
79,117,188
32,101,220
79,143,194
87,44,898
78,131,394
32,116,242
71,490,723
85,100,116
78,129,146
83,115,306
16,389,477
59,724,695
32,120,291
72,43,572
79,141,203
87,580,363
32,108,304
69,137,198
76,108,155
83,122,309
69,134,195
32,107,269
65,138,253
82,111,162
69,127,167
32,93,287
84,103,137
72,275,240
69,134,171
89,844,997
32,94,297
71,447,928
79,135,209
73,100,104
78,132,323
71,445,738
32,108,172
84,103,172
79,138,149
32,97,279
83,140,324
69,116,180
67,238,830
85,103,124
82,105,176
69,124,174
32,108,198
84,99,174
72,860,164
69,129,155
73,95,402
82,112,116
32,110,179
73,101,190
78,139,325
68,124,288
73,134,258
86,987,546
73,115,231
68,130,136
85,111,121
65,129,205
76,132,216
32,113,138
84,102,146
79,151,171
32,98,269
76,136,257
73,107,368
66,228,132
69,114,146
82,108,109
84,85,150
89,976,252
16,370,919
191,704,234
82,101,322
73,125,322
71,270,938
72,105,886
84,90,139
32,96,215
16,414,76
83,121,267
85,109,115
82,100,307
69,134,178
8,337,627
85,90,126
82,100,278
69,126,152
188,577,705
32,105,218
71,977,231
85,94,137
78,131,150
83,125,247
32,106,269
65,156,225
82,106,282
69,119,189
32,113,229
68,126,135
65,153,161
78,128,167
71,439,962
69,127,165
82,109,115
79,146,155
85,92,131
83,120,226
32,98,277
173,717,608
32,104,230
66,131,631
85,107,140
84,98,135
32,107,173
69,138,142
86,681,711
69,118,195
82,114,137
89,629,503
32,94,149
82,111,320
69,125,164
83,119,315
80,320,395
79,141,178
78,133,359
83,126,234
73,128,146
66,85,41
76,132,172
69,137,143
32,113,300
71,634,382
85,108,116
78,131,158
173,367,59
79,144,160
87,137,603
78,127,192
69,138,192
82,96,268
32,99,203
75,860,96
78,114,389
79,148,176
87,590,926
83,140,344
32,115,295
84,92,156
72,992,971
65,139,240
84,86,154
188,111,45
32,103,307
65,168,169
78,116,334
68,117,196
32,97,128
75,15,415
78,115,283
79,149,155
87,348,870
83,118,358
32,119,205
72,519,480
79,131,187
87,100,321
32,92,193
84,100,115
79,138,215
32,118,175
84,78,127
65,136,245
75,681,647
69,114,166
32,105,221
67,577,310
65,123,215
82,105,292
69,116,182
32,117,152
79,137,135
70,268,467
32,94,137
85,96,127
83,132,290
69,130,193
32,98,205
65,169,249
32,107,196
71,72,620
85,101,129
78,116,178
65,143,224
78,115,256
68,135,263
32,96,249
190,895,674
32,106,211
16,459,886
84,90,149
72,828,320
69,138,186
32,120,260
71,61,702
79,130,169
86,987,788
69,125,163
