VK,HT,FT
20,602,-1
71,68,294
85,93,154
78,118,76
32,97,117
67,89,466
79,94,224
78,110,100
84,74,113
82,87,95
79,73,175
76,108,191
32,78,197
77,85,152
69,59,114
65,94,173
83,125,65
85,91,177
82,110,113
69,96,106
83,191,201
32,87,255
65,91,146
82,87,172
69,99,71
32,99,82
85,86,148
78,116,82
80,77,193
82,77,147
79,86,104
68,93,147
85,90,170
67,84,386
84,75,137
73,86,159
86,65,182
69,81,184
32,88,165
66,85,235
69,82,168
67,70,188
65,100,127
85,76,132
83,136,145
82,98,113
69,101,85
8,320,576
69,82,177
32,92,157
84,74,276
72,69,259
69,82,100
89,73,193
32,83,190
84,76,133
72,62,141
82,78,101
69,108,71
65,102,181
84,69,142
69,139,247
78,71,134
32,101,147
65,98,123
87,127,89
32,93,182
65,93,188
66,55,118
8,456,536
32,82,241
76,91,189
65,113,85
87,125,64
32,87,273
65,93,220
66,53,117
73,76,143
68,86,124
73,102,111
78,106,192
71,70,115
32,92,103
67,94,331
73,75,126
84,58,137
73,83,405
90,81,226
69,69,223
78,68,133
83,75,84
190,73,389
32,95,231
20,924,325
76,86,234
69,74,140
71,76,329
65,106,150
76,115,122
32,76,246
77,76,142
69,63,98
65,98,180
83,149,67
85,88,194
82,108,155
69,90,94
83,169,216
32,80,297
84,69,256
79,105,123
32,112,81
76,76,217
73,57,183
77,89,222
73,91,231
84,79,130
32,100,281
84,72,121
72,62,144
69,81,84
32,84,94
65,91,241
67,149,124
69,68,213
83,299,202
32,78,253
79,81,290
70,66,100
32,97,107
71,84,404
85,86,189
78,118,74
83,86,124
32,77,258
79,88,211
78,114,91
76,97,239
89,73,170
32,82,180
83,74,251
69,71,213
82,102,70
86,74,169
69,74,141
32,92,178
84,64,89
79,95,118
32,110,90
72,61,239
85,75,152
82,102,179
84,76,146
32,91,243
84,73,130
72,65,119
69,76,101
32,84,90
71,89,392
69,94,154
78,77,118
69,103,82
82,107,67
65,102,224
76,125,160
32,80,204
80,74,349
85,80,173
66,62,138
76,100,180
73,62,184
67,111,280
32,99,179
66,91,211
69,73,150
67,70,194
65,89,108
85,86,137
83,129,120
69,72,290
32,93,118
73,94,266
84,95,115
32,101,124
87,84,268
73,93,114
76,105,207
32,86,506
77,81,152
65,102,171
75,79,364
69,88,113
32,91,104
65,103,228
67,215,151
69,70,249
83,248,220
32,84,311
77,91,151
85,86,119
67,99,134
72,84,85
32,86,222
77,76,147
79,88,248
82,65,91
69,105,83
32,104,89
68,89,178
73,101,127
70,82,203
85,85,152
67,95,272
76,104,159
8,685,493
73,88,205
67,108,212
85,88,154
76,95,223
84,78,218
32,88,245
65,92,213
78,71,77
68,78,107
32,82,176
77,82,168
8,287,516
85,91,183
78,119,109
84,72,136
73,78,166
77,97,110
69,70,117
76,81,233
89,70,198
32,79,279
70,84,313
79,98,220
82,69,68
32,89,183
80,73,366
69,89,122
79,99,244
80,81,223
76,81,156
69,76,165
32,81,144
87,78,349
72,64,131
79,90,139
32,108,87
79,84,243
78,98,98
76,79,194
89,71,185
32,81,236
72,73,256
65,89,46
86,66,173
69,71,160
32,96,156
84,75,169
72,72,287
69,79,83
32,84,82
73,84,187
78,185,64
84,71,122
69,107,226
78,77,123
84,64,88
73,75,253
79,89,172
78,114,84
32,99,126
79,79,260
70,72,102
32,96,90
68,89,118
69,94,128
70,75,192
69,76,160
78,81,125
68,85,104
73,105,163
78,112,180
71,69,110
32,94,107
84,75,170
72,68,94
69,79,99
77,104,194
83,135,138
69,77,182
76,94,238
86,72,198
69,83,152
83,111,227
32,80,360
70,70,136
82,79,143
79,79,225
77,104,125
32,89,225
73,85,218
78,172,65
84,69,129
82,83,125
85,84,125
68,81,107
69,102,142
82,97,73
83,129,247
32,87,189
