VK,HT,FT
16,642,-1
65,187,883
83,381,60
32,168,134
16,271,871
73,392,368
83,797,84
73,600,349
84,116,221
32,122,128
66,80,846
65,94,178
67,813,968
32,164,120
65,206,366
8,333,162
32,102,138
83,136,965
73,873,507
84,95,208
32,125,39
66,232,28
65,167,325
67,187,919
75,327,996
32,138,56
65,146,356
78,601,378
68,345,270
32,151,118
84,189,108
72,424,563
79,591,576
85,325,437
71,547,531
72,436,840
84,68,90
32,197,56
65,93,306
66,716,121
79,179,17
85,0,322
84,134,298
32,133,148
73,68,313
84,197,163
188,384,538
32,135,169
84,166,168
72,391,911
69,884,296
32,127,65
16,92,86
78,62,270
69,161,656
87,660,289
84,85,298
79,490,665
87,450,699
78,211,417
32,113,52
83,442,472
72,860,588
79,537,569
84,129,124
73,624,265
78,53,926
71,915,934
83,809,695
32,127,150
65,198,845
82,176,298
69,526,307
32,159,72
85,563,526
83,795,13
8,868,522
74,469,298
85,762,605
83,286,967
84,125,241
32,158,191
65,162,476
78,779,673
32,125,76
69,62,618
88,767,436
65,138,565
77,200,855
80,331,516
76,241,447
69,842,187
32,141,121
79,775,530
70,140,674
32,169,117
87,203,556
72,865,101
65,228,268
84,178,157
32,115,71
73,236,958
83,242,442
32,211,110
72,931,249
65,205,820
80,719,406
69,125,633
78,653,392
73,686,162
78,595,480
71,291,824
32,117,125
73,99,111
78,580,97
32,166,128
83,635,535
79,671,26
67,731,939
73,848,147
69,633,968
84,141,145
89,415,640
32,113,108
189,238,364
32,128,44
85,604,642
78,778,202
69,553,252
88,86,524
80,761,666
76,98,876
65,182,164
73,370,831
78,526,815
69,170,353
68,751,333
32,140,119
72,58,214
79,835,466
82,918,229
70,217,721
73,157,479
8,430,250
70,817,427
8,87,997
73,23,185
70,773,304
73,728,579
67,204,847
32,170,110
69,7,540
86,996,794
69,693,118
78,391,968
83,512,343
32,169,161
72,133,251
8,854,485
84,109,153
83,174,675
32,127,98
72,990,253
65,132,203
80,322,236
69,542,235
78,476,93
32,91,129
20,541,264
65,144,427
78,653,184
68,479,162
32,194,109
84,151,266
72,87,256
69,927,957
78,323,896
20,620,447
32,125,143
87,507,142
69,823,553
32,113,161
74,772,830
85,925,523
77,842,420
80,121,779
32,128,66
73,747,364
78,83,365
84,93,378
79,782,619
32,114,41
65,164,32
67,91,474
84,122,144
73,715,193
79,608,346
78,785,684
32,136,58
84,183,23
79,495,766
32,145,72
84,141,75
82,762,682
89,229,494
32,133,130
65,91,29
78,368,241
68,998,359
32,190,140
67,43,109
79,199,945
82,191,135
69,157,782
67,613,529
84,142,238
32,132,0
73,766,791
84,120,188
190,399,327
32,162,109
16,752,393
87,76,95
72,893,170
89,927,269
32,161,117
78,370,97
79,503,641
84,161,135
32,133,186
67,476,83
79,856,206
82,719,529
69,825,299
67,973,503
84,97,99
32,104,81
84,105,101
72,147,202
69,779,537
32,114,90
80,698,754
82,729,758
79,297,630
66,734,322
76,184,765
69,550,418
77,983,101
32,103,168
65,115,849
72,240,729
69,33,564
65,97,856
68,885,572
32,120,102
79,132,295
70,422,116
32,170,125
84,174,110
73,574,595
77,499,536
69,990,860
16,260,418
191,926,706
32,145,116
16,283,453
71,395,151
85,99,907
78,589,923
32,148,65
67,352,204
79,981,11
78,949,307
84,106,214
82,686,788
79,52,646
76,571,547
32,105,120
76,533,4
65,136,881
87,228,513
83,535,519
32,124,64
72,148,808
65,162,509
86,277,978
69,462,864
32,159,128
84,103,295
72,272,152
69,265,943
32,175,74
72,483,813
65,177,738
8,79,228
65,82,230
8,642,435
65,151,663
66,936,523
73,9,609
76,149,646
73,795,865
84,105,281
89,452,993
32,114,76
84,166,270
79,549,374
32,160,138
77,256,855
65,119,398
75,886,810
69,744,864
32,139,43
79,580,958
87,417,504
78,303,957
69,73,987
82,568,316
83,160,243
32,130,105
83,882,197
84,81,202
65,201,219
89,70,976
32,148,83
82,434,67
69,305,545
83,281,547
80,395,407
79,792,785
78,855,880
83,366,831
73,463,518
66,828,425
76,563,579
69,793,194
32,150,121
65,189,841
78,494,79
68,114,184
32,119,126
69,765,527
86,937,470
69,335,543
78,128,325
32,145,143
73,767,179
70,675,285
32,127,133
84,114,256
72,340,809
69,529,501
89,619,136
32,149,58
87,575,760
69,802,56
82,793,139
69,362,502
32,122,73
84,142,95
69,285,734
77,494,610
84,125,176
