VK,HT,FT
16,260,-1
84,101,121
72,66,61
79,86,121
85,81,61
71,75,306
72,80,70
32,85,79
84,81,233
72,69,56
69,91,108
32,86,61
77,77,290
69,94,91
82,90,84
73,96,95
84,86,91
83,93,103
32,84,84
79,78,224
70,95,83
32,90,73
83,84,246
84,87,99
82,83,145
73,97,80
67,97,111
84,83,134
32,84,90
71,77,254
78,94,192
8,493,413
85,63,162
78,76,161
32,97,82
67,84,348
79,91,88
78,86,68
84,143,107
82,88,140
79,67,75
76,81,156
32,89,98
76,125,166
69,95,87
71,81,232
73,85,158
83,89,100
76,134,259
65,106,253
84,90,65
73,91,95
79,91,68
78,95,98
32,92,139
83,90,203
69,123,88
77,80,157
32,109,82
79,89,197
66,81,137
86,113,154
73,90,97
79,94,62
85,79,58
83,95,102
188,80,391
32,86,66
84,93,293
72,71,87
69,91,79
32,87,52
67,82,255
79,95,72
85,75,62
78,85,181
84,110,95
69,108,127
82,89,63
73,101,99
78,89,76
84,96,101
85,65,118
73,94,122
84,89,99
73,96,98
86,137,151
69,108,107
32,86,77
68,95,142
82,98,127
69,103,100
8,161,434
65,110,475
87,20,264
66,72,126
65,110,254
67,81,149
75,58,146
83,88,64
32,90,104
65,107,159
82,91,155
69,91,78
32,86,78
83,91,235
73,102,193
71,83,268
78,83,95
73,102,195
70,78,160
73,91,130
67,89,126
65,107,120
78,82,164
84,125,90
190,100,229
32,363,198
16,295,218
70,111,215
73,91,125
82,85,113
83,86,99
84,88,90
188,95,236
32,87,58
84,89,237
72,68,107
69,91,95
32,93,56
67,93,162
76,119,96
73,86,75
67,100,106
72,74,67
69,94,111
32,83,84
79,79,146
70,90,94
32,92,62
16,405,305
222,102,87
71,75,327
85,49,84
78,90,159
83,88,102
32,93,97
68,85,113
79,93,156
78,84,80
222,92,221
84,101,100
32,83,85
75,59,197
73,102,125
76,142,131
32,92,209
80,74,253
69,89,105
79,108,62
80,97,84
76,91,127
69,76,62
188,84,356
16,242,336
32,93,81
80,85,267
69,89,113
79,103,53
80,103,85
76,92,121
69,86,72
32,84,104
76,124,219
73,87,59
75,59,186
8,233,510
75,67,233
73,80,91
76,158,120
32,93,208
80,71,265
69,97,105
79,107,49
80,100,92
76,98,127
69,82,98
16,222,286
222,103,218
32,97,95
73,91,285
83,90,85
32,96,84
65,91,225
80,89,103
84,70,179
188,89,397
32,92,58
65,99,218
83,103,84
32,92,84
71,73,408
85,47,92
78,83,155
32,90,118
67,91,274
79,97,97
78,83,64
84,147,104
8,473,474
82,100,150
79,73,112
76,83,161
32,93,110
73,88,336
83,91,92
32,92,81
73,90,339
78,92,70
69,81,143
70,107,159
