VK,HT,FT
16,449,-1
87,123,257
72,139,94
73,123,89
76,208,145
69,127,166
32,148,102
16,285,228
73,133,179
32,148,176
67,118,393
65,141,98
78,185,100
32,112,68
65,143,91
80,132,232
82,102,103
69,137,83
67,116,147
73,147,116
65,133,97
84,131,76
69,132,152
32,140,144
84,115,74
72,158,98
69,103,83
32,137,81
67,125,347
79,142,63
78,158,75
67,113,167
69,107,143
82,113,107
78,160,98
83,112,104
32,131,235
79,164,107
70,107,99
32,131,85
84,104,257
72,165,124
79,196,75
83,120,105
69,119,180
32,129,167
87,137,262
72,124,109
79,194,98
32,144,119
79,161,154
80,127,214
79,151,192
83,120,129
69,96,166
32,129,86
83,98,114
84,106,106
82,127,178
73,129,138
67,105,152
84,102,219
69,128,165
82,112,117
32,130,106
71,122,169
85,113,97
78,135,183
32,116,179
71,126,193
8,398,437
67,118,111
79,150,81
78,151,83
71,106,106
8,386,305
84,114,77
82,116,234
79,160,112
76,172,103
32,159,187
76,143,207
69,113,112
71,118,148
73,135,119
8,384,392
82,130,137
69,97,79
71,98,103
85,114,89
76,184,86
65,106,164
84,147,106
73,143,115
79,158,66
78,150,91
188,148,179
32,141,84
16,340,180
73,119,199
32,136,152
65,141,159
83,127,72
75,140,183
32,122,91
84,103,257
72,165,118
69,96,84
77,129,172
32,143,74
84,115,78
79,159,110
32,141,113
84,110,107
72,144,74
73,107,98
78,146,105
75,101,111
32,155,71
65,125,139
66,112,139
79,155,180
85,148,87
84,115,226
32,123,133
72,147,84
79,184,70
87,126,288
32,126,158
84,101,322
72,163,124
69,116,78
89,133,113
32,134,109
87,116,166
79,134,114
85,157,93
76,173,97
68,125,154
32,131,129
70,113,227
69,119,79
76,165,160
32,150,140
73,139,71
70,124,176
32,142,91
84,111,258
72,143,101
69,87,73
73,135,99
82,133,110
32,128,159
76,142,151
79,136,134
86,123,178
69,128,99
68,116,234
32,151,76
79,156,106
78,148,98
69,109,77
83,130,182
32,138,118
87,148,100
