VK,HT,FT
16,366,-1
84,185,216
74,549,289
69,120,209
46,76,831
46,56,146
72,80,273
69,171,219
32,210,202
68,119,812
79,144,172
67,110,441
84,150,141
79,139,77
82,123,173
32,125,652
73,124,202
83,131,176
32,134,121
80,123,231
69,39,234
46,99,586
82,176,384
69,184,144
84,137,298
69,170,648
78,136,124
68,53,479
73,134,270
78,139,164
71,171,231
32,196,143
84,136,183
79,225,110
32,223,140
76,94,174
73,118,214
83,184,127
84,127,193
69,137,266
78,182,106
32,165,579
84,113,163
79,192,122
32,245,81
84,175,204
72,106,19
69,166,164
32,174,116
16,221,145
222,155,483
46,47,176
68,208,268
79,71,109
76,143,312
76,36,177
76,135,185
89,114,284
222,140,244
83,161,196
32,192,143
46,54,338
46,64,149
46,15,132
46,40,144
46,58,145
89,94,343
222,157,794
76,104,270
46,44,151
83,137,134
32,322,329
72,123,237
69,164,206
65,175,154
82,151,160
84,169,341
66,190,313
69,134,192
65,202,82
84,197,199
190,136,316
32,224,164
16,225,151
84,159,187
72,86,138
69,181,193
32,259,160
76,101,378
73,82,227
84,97,29
84,108,179
76,143,92
69,148,221
32,201,110
71,164,282
73,95,168
82,143,165
76,134,228
32,203,285
73,252,315
83,211,159
32,159,300
72,142,175
79,90,120
76,177,316
68,166,233
73,178,111
78,137,247
71,175,269
32,163,139
72,114,304
69,227,147
82,112,119
32,203,225
65,181,220
83,183,280
32,158,156
73,126,187
46,74,571
65,209,231
32,162,258
77,94,205
79,148,311
77,137,262
77,118,300
89,98,422
32,166,135
87,143,334
79,146,127
85,109,117
76,181,198
68,155,231
32,168,808
79,168,227
82,134,162
32,223,192
83,154,288
72,103,99
79,144,174
46,88,655
46,90,193
79,224,168
32,207,143
84,112,359
72,94,131
65,168,147
84,167,541
32,216,223
73,118,218
83,176,166
32,110,143
72,94,190
79,105,168
87,212,207
32,218,265
84,184,234
72,85,108
69,171,176
32,103,201
76,105,202
73,55,229
84,97,260
84,125,174
76,145,108
69,157,208
32,170,136
71,164,291
73,55,111
82,144,189
76,136,277
32,182,192
84,143,251
72,78,136
73,174,186
78,137,176
75,117,943
83,228,268
32,156,153
73,138,195
84,161,171
32,167,207
73,74,443
83,148,138
190,134,315
32,88,268
16,270,287
84,157,141
72,88,165
69,142,188
32,157,1011
71,160,228
73,140,137
82,170,240
76,136,199
32,234,419
76,191,192
79,84,259
79,111,154
75,106,251
83,188,224
32,145,207
65,229,256
32,168,320
76,230,192
73,108,253
84,100,287
84,108,172
76,152,81
69,180,232
32,191,205
65,170,180
70,125,191
82,159,243
65,166,183
73,125,340
68,142,396
32,167,185
65,143,176
78,113,124
68,129,154
32,236,120
84,65,197
72,105,24
69,196,160
32,191,106
68,180,0
79,58,131
76,138,260
76,94,165
32,227,143
46,64,543
89,73,374
32,277,70
67,136,451
65,168,211
78,129,170
32,167,492
71,157,282
79,53,114
32,224,146
70,138,234
73,157,141
82,148,866
83,151,280
84,101,207
32,298,210
84,141,176
79,212,135
32,174,136
83,139,676
79,206,13
85,156,125
46,51,160
46,77,159
72,106,813
79,75,190
87,147,250
32,186,182
73,135,243
84,153,202
83,190,264
32,152,278
78,140,164
79,148,157
84,167,188
32,195,132
65,173,181
32,182,190
80,137,426
65,217,201
73,97,142
78,135,163
70,186,222
85,107,159
76,151,243
32,252,208
84,76,377
72,101,111
73,169,128
78,148,146
75,131,1005
46,87,165
71,120,281
32,159,160
84,166,128
79,207,110
32,223,100
76,102,146
69,193,155
84,135,332
32,166,94
84,123,177
72,90,154
69,139,218
32,233,276
68,138,222
79,51,124
67,97,272
84,152,254
79,137,95
82,154,182
32,177,177
76,89,956
73,126,255
83,187,176
84,153,210
