VK,HT,FT
97,96,-1
101,100,253
96,94,319
96,72,197
80,97,339
65,108,186
67,100,283
73,88,183
69,100,161
78,89,177
69,93,170
84,97,245
69,116,283
32,91,197
32,16,106
67,94,313
79,103,145
78,86,218
32,86,195
65,118,262
78,91,241
84,97,279
69,105,165
67,72,290
68,94,263
69,95,143
78,84,191
84,95,208
69,79,134
32,88,180
68,99,175
69,101,145
32,94,129
32,16,106
67,94,313
76,81,182
65,102,176
85,91,315
68,96,292
73,102,178
67,89,220
65,100,188
67,101,259
73,95,221
79,91,211
78,86,196
32,101,172
32,16,106
73,87,356
78,91,206
84,89,257
69,104,129
82,83,148
77,89,287
73,101,186
84,91,258
69,100,157
78,89,230
84,95,205
69,91,141
32,88,180
8,86,757
65,100,501
32,102,244
32,16,106
81,106,397
85,112,216
73,90,164
69,111,128
78,86,169
32,85,184
32,16,106
83,99,275
79,114,172
76,85,171
73,86,171
67,93,143
73,154,129
84,89,215
65,114,144
32,87,164
77,80,341
69,75,178
68,90,240
73,81,149
67,85,173
79,80,170
32,92,241
32,16,106
68,97,251
69,97,142
32,87,122
67,98,384
65,114,173
66,98,337
69,94,263
67,91,285
69,82,146
82,91,184
65,104,228
32,84,332
32,16,106
32,2,42
69,99,279
83,92,213
84,87,215
85,90,280
68,84,336
73,108,178
79,107,168
32,89,257
80,98,398
65,100,135
82,82,214
65,89,117
32,86,136
32,16,106
82,100,329
69,107,135
65,99,286
76,95,244
73,85,202
90,94,211
65,97,169
67,84,250
73,70,148
79,80,157
78,75,211
32,101,172
32,16,106
68,97,251
69,97,142
32,87,122
32,16,106
65,112,264
82,89,234
84,76,183
69,109,145
82,97,156
73,168,207
79,113,145
71,84,299
82,82,193
65,91,165
70,119,298
73,103,212
65,103,208
32,89,192
32,16,106
80,101,393
69,103,160
82,84,185
73,82,188
70,91,358
69,99,177
82,101,172
73,80,134
67,95,203
65,105,183
32,84,179
32,16,106
32,2,42
67,94,313
79,103,145
78,86,218
32,86,195
32,16,106
69,99,279
86,90,289
69,85,159
78,84,246
84,95,204
85,86,254
65,99,178
76,81,247
32,90,271
32,16,106
32,2,42
65,112,264
78,91,241
71,89,294
73,84,221
79,89,168
80,85,196
76,94,162
65,101,174
83,105,132
84,91,246
73,96,233
65,103,208
32,89,192
32,16,106
162,538,439
86,104,299
20,111,348
80,98,284
69,99,198
68,82,252
73,83,155
65,100,180
160,372,630
190,81,224
20,111,348
20,121,535
65,96,281
20,110,150
84,76,297
69,100,157
82,97,156
79,79,219
77,101,232
65,134,161
84,84,305
79,81,214
83,97,239
73,121,166
83,91,135
32,85,239
32,16,106
68,97,251
73,85,190
70,91,358
85,86,242
83,88,206
65,108,203
32,100,169
32,16,106
67,94,313
79,103,145
78,86,218
32,86,195
77,84,245
79,84,192
68,105,238
69,95,143
82,104,234
65,104,228
68,85,215
65,95,134
32,84,145
67,91,279
65,113,165
76,83,267
67,88,356
73,95,176
70,91,358
73,103,212
67,92,241
65,105,183
67,101,259
73,95,221
79,91,211
78,86,196
32,101,172
32,16,106
8,73,814
8,69,218
8,67,173
8,61,163
8,47,121
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
32,103,549
77,89,304
65,101,128
82,89,234
67,92,262
65,109,181
68,125,242
65,122,146
32,85,225
32,16,106
32,2,42
83,99,275
73,86,154
78,113,206
32,109,177
32,16,106
20,108,376
76,85,256
65,102,176
83,105,132
32,92,194
32,16,106
20,108,376
65,96,281
84,89,257
69,103,155
82,94,174
79,79,219
77,101,232
65,134,161
84,84,305
79,81,214
83,97,239
73,121,166
83,91,135
32,85,239
32,16,106
68,97,251
73,85,190
70,91,358
85,86,242
83,88,206
65,108,203
32,100,169
32,16,106
32,2,42
65,112,264
84,89,257
69,103,155
82,94,174
79,79,219
77,101,232
65,134,161
84,84,305
79,81,214
83,97,239
73,121,166
83,91,135
32,85,239
32,16,106
68,97,251
73,85,190
70,91,358
85,86,242
83,88,206
65,108,203
32,100,169
77,80,341
79,84,192
68,105,238
69,95,143
82,104,234
65,104,228
68,85,215
65,95,134
32,84,145
32,16,106
32,2,42
79,83,361
67,98,283
76,82,226
85,123,247
83,88,206
73,96,178
79,86,193
78,86,227
32,97,176
32,16,106
97,92,667
96,85,220
96,69,175
160,346,294
53,80,223
32,88,429
68,97,251
69,97,142
83,103,285
68,94,263
69,95,143
32,88,125
32,16,106
69,99,279
76,90,299
32,95,173
32,16,106
79,83,361
82,79,294
73,79,170
71,90,351
69,91,201
78,89,252
32,90,192
8,76,791
8,73,214
8,70,179
8,61,163
8,47,121
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
8,29,101
32,103,549
32,75,175
69,99,279
78,82,181
32,91,169
84,85,454
69,86,182
82,97,156
67,92,262
73,95,176
79,90,169
32,89,257
32,16,106
77,89,304
69,77,148
68,90,240
73,81,149
79,90,164
32,89,257
32,16,106
67,94,313
79,103,145
78,86,218
32,86,195
32,16,106
82,100,329
69,107,135
67,82,303
65,94,203
78,87,242
65,91,116
76,86,222
73,81,224
90,91,218
65,95,174
67,84,250
73,70,148
79,80,157
78,75,211
32,101,172
68,98,241
73,83,185
83,102,214
84,94,292
65,99,149
76,82,312
32,82,328
32,16,106
79,83,361
67,98,283
76,82,226
85,123,247
73,93,169
83,94,184
79,90,141
78,84,237
32,90,187
32,16,106
97,92,667
96,85,220
96,69,175
160,346,294
53,80,223
32,88,429
32,16,106
68,97,251
69,97,142
83,103,285
68,94,263
69,95,143
32,88,125
69,86,216
76,90,299
32,95,173
32,16,106
79,83,361
82,79,294
73,79,170
71,90,351
69,91,201
78,89,252
32,90,192
32,16,106
65,112,264
84,89,257
69,103,155
82,94,174
79,79,219
77,101,232
65,134,161
84,84,305
79,81,214
83,97,239
73,121,166
83,91,135
32,85,239
32,16,106
68,97,251
73,85,190
70,91,358
85,86,242
83,88,206
65,108,203
32,100,169
79,90,304
67,98,283
76,82,226
85,123,247
83,88,206
73,96,178
79,86,193
78,86,227
32,97,176
32,16,106
97,92,667
96,85,220
96,69,175
160,346,294
53,80,223
32,88,429
32,16,106
68,97,251
69,97,142
83,103,285
68,94,263
69,95,143
32,88,125
69,86,216
