VK,HT,FT
49,908,-1
52,332,328
51,9,27
48,962,736
20,509,615
80,80,180
20,7,576
65,77,164
67,81,164
190,202,160
32,67,155
70,179,705
69,66,150
77,72,150
32,67,155
68,62,175
69,81,123
32,67,82
55,958,135
52,419,401
32,67,155
83,83,158
0,15,416
8,63,265
8,59,148
65,77,164
0,408,660
79,62,155
83,83,158
32,67,155
68,62,175
69,81,123
32,67,82
68,62,175
65,77,164
68,65,162
8,63,265
8,59,148
8,59,133
69,66,150
68,65,162
65,77,164
68,65,162
32,67,155
69,64,141
78,65,154
32,68,142
83,83,158
85,175,330
32,67,155
50,691,807
32,67,155
68,62,175
73,62,188
65,77,164
32,57,142
68,62,175
69,81,123
32,67,82
69,64,141
83,85,160
84,66,186
65,77,164
78,65,146
67,81,164
73,62,188
65,77,164
32,57,142
72,346,985
79,62,155
83,83,158
80,80,180
73,62,188
84,66,186
65,77,164
76,64,149
65,77,164
82,66,162
73,62,188
65,77,164
32,57,142
80,80,180
79,62,155
82,66,162
32,67,155
20,632,215
84,66,186
86,223,159
80,80,180
32,67,155
20,55,746
68,65,162
69,81,123
76,64,149
32,67,155
20,925,838
77,72,150
73,62,188
73,62,188
13,206,685
13,394,194
20,497,234
20,445,298
65,77,164
76,64,149
8,63,265
20,638,127
76,64,149
32,67,155
69,64,141
88,526,167
65,77,164
77,72,150
69,66,150
78,65,154
32,68,142
70,232,527
73,62,188
83,83,158
73,62,94
67,81,164
79,62,155
32,69,311
76,64,149
85,175,330
67,81,164
73,62,188
68,65,162
65,77,164
188,66,168
32,74,131
65,72,248
70,244,434
69,66,150
66,653,807
82,66,162
73,62,188
76,64,149
188,66,168
32,74,131
78,65,146
79,62,155
82,66,162
77,72,150
79,62,155
72,63,850
73,62,188
68,65,162
82,66,162
65,77,164
84,66,186
65,77,164
68,65,162
65,77,164
188,66,168
32,74,131
78,65,146
79,62,155
82,66,162
77,72,150
79,62,155
84,66,186
69,66,150
78,65,154
83,83,158
65,77,164
188,66,168
32,74,131
20,719,299
82,66,162
32,67,155
49,686,299
32,67,155
173,905,849
32,67,155
82,66,162
32,67,155
50,919,472
32,67,155
20,953,304
69,66,150
78,65,154
32,68,142
52,462,874
32,67,155
70,536,989
79,62,155
67,81,164
79,62,155
83,83,158
32,67,155
188,66,168
32,74,131
20,855,952
66,64,400
69,66,150
65,77,164
66,812,812
32,67,155
20,242,107
67,81,164
79,62,155
78,65,146
32,68,142
65,72,248
68,65,162
69,81,123
67,81,164
85,175,330
65,77,164
68,65,162
65,77,164
32,57,142
77,72,150
69,66,150
67,81,164
65,77,164
78,65,146
73,62,188
67,81,164
65,77,164
32,57,142
86,712,861
69,66,150
78,65,154
84,66,186
73,62,188
76,64,149
65,77,164
84,66,186
79,61,92
82,66,162
73,62,188
65,77,164
32,57,142
190,566,964
32,67,155
20,270,288
65,77,164
20,528,928
66,672,597
68,65,162
79,62,155
77,72,150
69,66,150
78,65,154
32,68,142
66,818,617
76,64,149
65,77,164
78,65,146
68,65,162
79,62,155
32,69,311
188,66,168
32,74,131
68,62,175
69,81,123
80,80,180
82,66,162
69,62,141
83,85,160
73,62,94
66,735,886
76,64,149
69,66,150
32,67,82
188,66,168
32,74,131
78,65,146
79,62,155
32,69,311
83,83,158
73,62,94
71,67,353
78,65,146
79,62,155
83,83,158
32,67,155
68,62,175
69,81,123
32,67,82
73,62,188
73,62,188
82,66,162
84,66,186
65,77,164
67,81,164
73,62,188
79,62,155
78,65,146
32,68,142
80,80,180
69,66,150
82,66,162
73,62,188
84,66,186
79,61,92
69,66,150
78,65,154
65,77,164
8,63,265
8,59,148
8,59,133
78,65,146
69,66,150
65,77,164
76,64,149
32,67,155
190,657,920
32,67,155
20,358,789
65,77,164
20,501,16
83,83,158
73,62,94
77,72,150
69,66,150
84,66,186
82,66,162
73,62,188
65,77,164
32,57,142
76,64,149
69,66,150
86,596,518
69,66,150
32,67,82
68,62,175
69,81,123
32,67,82
77,72,150
73,62,188
69,66,150
77,72,150
66,367,311
82,66,162
79,62,155
83,83,158
8,63,265
8,59,148
32,67,155
20,676,738
69,66,150
20,557,652
88,827,757
84,66,186
82,66,162
69,62,141
77,72,150
73,62,188
68,65,162
65,77,164
68,65,162
69,81,123
83,85,160
32,67,155
8,63,265
8,59,148
83,83,158
32,67,155
69,64,141
85,175,330
84,66,186
82,66,162
79,62,155
70,260,49
73,62,188
67,81,164
65,77,164
83,83,158
32,67,155
8,63,265
8,59,148
8,59,133
8,58,137
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
67,81,164
79,62,155
78,65,146
32,68,142
65,72,248
83,83,158
73,62,94
77,72,150
69,66,150
84,66,186
82,66,162
73,62,188
65,77,164
32,57,142
76,64,149
69,66,150
86,463,434
69,66,150
32,67,82
68,62,175
69,81,123
32,67,82
77,72,150
73,62,188
69,66,150
77,72,150
66,693,201
82,66,162
79,62,155
83,83,158
32,67,155
73,62,188
78,69,135
70,482,859
69,66,150
82,66,162
73,62,188
79,62,155
69,66,150
83,85,160
32,67,155
67,81,164
8,63,265
8,59,148
8,59,133
8,58,137
8,59,147
79,62,155
82,66,162
69,62,141
83,85,160
32,67,155
67,81,164
79,62,155
78,65,146
32,68,142
80,80,180
85,175,330
76,64,149
83,83,158
79,62,155
83,83,158
32,67,155
68,62,175
73,62,188
83,83,158
84,66,186
65,77,164
76,64,149
69,66,150
83,85,160
32,67,155
80,80,180
82,66,162
69,62,141
83,85,160
69,66,150
78,65,154
84,66,186
69,66,150
83,85,160
32,67,155
160,272,359
188,66,168
32,74,131
68,62,175
8,63,265
83,83,158
73,62,94
71,67,353
78,65,146
79,62,155
32,69,311
68,62,175
69,81,123
32,67,82
20,729,209
72,265,181
20,354,769
79,62,155
77,72,150
65,77,164
83,83,158
32,67,155
8,63,265
8,59,148
78,65,146
83,83,158
32,67,155
8,63,265
8,59,148
8,59,133
8,58,137
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
8,59,147
83,83,158
73,62,94
71,67,353
78,65,146
79,62,155
32,69,311
68,62,175
69,81,123
32,67,82
20,139,309
72,460,406
20,271,835
79,62,155
77,72,150
65,77,164
78,65,146
83,83,158
32,67,155
78,65,146
69,66,150
71,67,353
65,77,164
84,66,186
73,62,188
86,513,552
79,62,155
32,69,311
160,272,359
188,66,168
32,74,131
78,65,146
79,62,155
32,69,311
67,81,164
73,62,188
65,77,164
78,65,146
79,62,155
83,83,158
73,62,94
83,83,158
32,67,155
190,95,943
32,67,155
20,454,355
8,63,265
8,59,148
190,229,932
32,67,155
83,83,158
20,809,995
73,62,188
78,69,135
32,68,142
68,62,175
69,81,123
70,777,263
73,62,188
67,81,164
73,62,188
84,66,186
32,67,155
77,72,150
79,62,155
84,66,186
79,61,92
82,66,162
32,67,155
78,65,146
73,62,188
32,67,155
78,65,146
69,66,150
85,175,330
82,66,162
79,62,155
76,64,149
79,62,155
71,67,353
73,62,188
67,81,164
79,62,155
32,69,311
188,66,168
32,74,131
20,158,758
71,67,353
20,243,934
76,64,149
65,77,164
83,83,158
71,67,353
79,62,155
87,682,730
32,67,155
49,493,824
53,828,230
111,226,945
49,917,370
53,966,530
13,707,550
13,496,640
20,587,514
69,66,150
20,295,17
78,65,146
32,68,142
80,80,180
76,64,149
65,77,164
78,65,146
32,68,142
68,62,175
69,81,123
32,67,82
20,562,833
65,77,164
67,81,164
79,62,155
32,69,311
20,123,781
190,319,987
32,67,155
20,228,110
65,77,164
20,362,820
67,81,164
69,66,150
78,65,154
79,62,155
67,81,164
85,175,330
77,72,150
65,77,164
82,66,162
79,62,155
73,62,188
76,64,149
32,67,155
50,126,547
8,63,265
8,59,148
8,59,133
8,58,137
76,64,149
32,67,155
50,201,824
32,67,155
77,72,150
71,67,353
32,67,155
65,72,248
32,57,142
76,64,149
65,77,164
83,83,158
32,67,155
49,73,554
56,161,750
160,272,359
190,582,540
32,67,155
48,82,603
48,977,926
32,67,155
72,358,92
32,67,155
69,64,141
76,64,149
32,67,155
68,62,175
73,62,188
65,77,164
32,57,142
68,62,175
69,81,123
32,67,82
72,426,654
79,62,155
89,810,882
32,67,155
13,256,92
13,159,44
20,722,673
69,66,150
20,281,531
88,427,987
65,77,164
77,72,150
69,66,150
78,65,154
32,68,142
68,62,175
69,81,123
32,67,82
67,81,164
79,62,155
78,65,146
84,66,186
82,66,162
79,62,155
76,64,149
32,67,155
50,548,794
52,723,753
32,67,155
72,437,759
79,62,155
82,66,162
65,77,164
83,83,158
32,67,155
32,67,155
20,124,376
20,994,8
13,63,827
13,998,526
8,63,265
8,59,148
190,34,103
32,67,155
20,546,64
76,64,149
20,727,671
65,77,164
66,774,309
79,62,155
82,66,162
65,77,164
84,66,186
79,61,92
82,66,162
73,62,188
79,62,155
32,69,311
68,62,175
69,81,123
32,67,82
67,81,164
79,62,155
78,65,146
84,66,186
89,232,568
82,66,162
79,62,155
76,64,149
32,67,155
77,72,150
65,77,164
0,677,667
65,77,164
78,65,146
65,77,164
8,63,265
13,58,751
20,577,475
74,337,625
20,952,847
85,175,330
83,83,158
84,66,186
73,62,188
70,284,442
73,62,188
