VK,HT,FT
13,104,-1
160,733,794
69,131,131
67,103,417
79,86,171
67,133,246
65,61,237
82,94,57
68,123,208
73,98,0
79,98,383
71,10,368
82,72,219
65,210,283
77,83,411
65,96,78
32,80,560
68,80,335
79,64,82
80,45,0
80,112,346
76,102,231
69,65,12
82,117,241
160,0,283
190,131,431
32,60,233
160,648,437
68,90,406
160,0,0
68,110,194
86,265,266
73,99,367
32,13,526
102,108,479
98,87,24
188,90,801
32,98,4
160,604,157
68,101,533
83,130,71
86,118,246
73,90,175
32,132,83
52,55,270
57,64,603
188,74,271
32,81,603
160,474,122
70,121,249
65,138,621
67,93,118
32,80,338
97,82,847
101,119,200
188,63,717
32,50,256
160,339,187
80,163,14
80,101,336
32,104,357
56,98,395
188,89,957
32,79,161
160,537,594
8,43,0
8,83,98
8,75,97
8,115,184
8,0,14
8,0,0
160,293,326
83,122,26
73,92,229
86,314,487
32,75,387
56,92,650
188,58,357
32,103,158
160,1429,0
80,116,313
80,102,364
32,134,379
54,0,701
188,73,546
32,75,537
160,417,448
82,110,562
65,108,367
79,32,472
32,117,141
50,53,527
56,109,429
188,84,0
32,127,351
160,489,746
68,64,335
65,115,185
73,85,240
32,88,378
52,69,0
50,131,310
32,79,78
160,608,796
56,72,322
65,80,40
82,133,248
69,112,182
65,103,211
32,83,347
49,110,838
57,120,650
161,0,158
57,117,211
160,109,316
188,27,275
225,969,19
32,80,0
72,110,529
73,99,458
80,114,200
79,119,340
81,110,176
85,58,284
73,105,270
83,64,112
8,80,260
78,89,264
69,112,45
83,81,206
73,93,95
65,103,190
32,62,231
71,53,155
76,72,279
79,74,295
66,43,646
65,113,72
76,76,173
32,77,393
68,120,0
69,111,180
76,117,469
32,33,196
161,1047,193
86,0,219
73,124,220
161,0,204
188,118,102
32,107,252
68,72,182
69,158,162
84,141,430
69,102,291
82,101,64
73,113,141
79,74,183
82,71,0
79,0,151
32,77,146
83,34,91
69,96,182
86,241,0
69,114,0
82,58,220
79,83,375
32,54,90
68,162,234
69,49,161
32,70,96
76,93,240
65,93,152
32,93,178
161,377,644
70,83,195
83,61,259
86,125,303
73,117,309
32,47,279
56,61,110
70,223,0
69,120,210
89,103,219
32,69,206
51,108,635
49,154,509
161,375,13
53,91,231
57,68,520
188,47,807
32,119,198
68,98,574
73,48,284
76,79,347
65,147,234
84,104,531
65,183,77
67,116,217
73,135,119
79,81,0
78,87,216
32,119,130
69,146,291
8,100,717
76,75,801
69,67,0
86,232,141
69,150,139
32,91,106
68,121,219
69,100,166
32,94,138
161,0,550
65,96,161
73,74,199
8,68,196
161,542,489
68,51,297
161,0,211
188,78,146
32,101,280
86,48,503
68,81,604
32,124,0
78,96,429
79,8,270
32,49,252
68,128,176
73,84,249
76,116,90
65,17,201
84,122,227
65,79,165
68,72,127
79,65,96
32,40,72
67,143,64
79,80,0
78,59,257
32,86,132
72,55,862
73,92,221
80,110,247
79,103,124
81,85,0
85,119,130
73,137,156
78,146,13
69,132,194
83,73,239
73,107,0
65,99,214
32,58,0
76,61,493
69,69,0
86,137,278
69,103,274
190,86,0
8,0,427
160,930,70
188,48,703
32,105,207
80,52,0
65,29,100
84,155,546
82,85,187
79,99,212
78,82,364
32,68,151
68,131,303
69,87,199
32,86,186
76,114,746
76,80,144
69,132,217
78,112,0
65,87,185
68,56,350
79,131,356
32,92,42
82,58,645
69,138,189
83,77,226
84,124,271
82,123,160
73,148,128
67,84,185
84,113,242
73,107,436
86,72,362
79,122,200
32,123,942
68,116,69
69,59,0
76,54,129
32,96,75
161,793,731
86,74,204
73,78,70
188,22,677
32,70,364
161,575,724
69,104,864
111,82,602
161,226,977
69,83,0
222,816,913
32,103,153
161,718,903
77,93,452
65,170,91
89,121,623
79,17,284
32,109,180
8,102,484
82,84,571
32,187,151
65,79,1005
32,98,51
49,156,212
53,92,405
161,215,38
188,100,138
32,91,210
8,22,1130
8,101,355
32,74,480
160,1006,562
56,56,489
65,43,152
85,93,273
77,104,322
69,144,350
78,68,250
84,69,0
79,160,180
32,103,495
161,957,485
80,128,196
82,77,102
70,34,282
68,121,0
86,308,223
73,107,93
57,65,470
160,0,461
188,72,822
32,80,122
161,38,1365
80,115,449
65,141,42
84,91,0
82,92,112
79,101,314
78,112,327
32,105,196
68,107,279
69,98,116
76,88,627
32,105,169
76,105,182
76,92,176
69,71,336
78,98,389
65,125,65
68,105,399
79,134,0
32,103,441
68,103,784
69,24,223
76,43,619
32,58,215
161,582,401
86,0,169
68,54,466
32,106,354
67,64,228
79,99,133
78,97,125
32,117,160
82,82,639
69,18,0
76,76,409
65,121,346
74,86,503
65,155,165
67,141,252
73,82,82
79,124,285
78,62,263
32,79,164
68,112,0
69,66,132
77,101,0
79,103,86
82,108,313
65,199,19
68,95,230
65,105,165
160,0,132
188,92,550
32,119,232
83,83,169
73,19,313
78,112,294
32,95,173
161,0,345
73,20,95
84,124,192
190,93,246
160,0,466
38,0,492
38,55,259
38,198,203
38,0,0
162,66,1076
67,160,435
