VK,HT,FT
96,170,-1
98,871,476
96,202,480
96,202,819
73,205,0
78,220,118
73,236,57
67,212,114
73,221,207
79,205,24
32,220,73
68,277,87
69,189,180
32,236,383
84,189,111
82,203,88
65,268,42
66,734,164
65,225,347
74,629,782
79,220,2
32,205,149
68,298,74
69,281,134
32,174,72
80,261,944
65,240,25
82,220,40
84,189,141
79,245,40
96,205,43
98,582,329
161,1354,343
190,231,275
99,278,272
96,181,840
8,205,952
8,220,83
99,76,202
96,195,286
72,604,916
83,267,118
32,252,321
161,317,730
76,174,122
70,826,879
56,836,857
107,607,528
161,536,361
57,497,34
32,236,102
97,614,602
100,640,480
101,909,941
8,220,309
8,175,513
99,599,97
101,68,354
88,227,320
0,991,401
32,189,196
161,694,944
77,183,204
70,809,10
56,870,857
107,671,638
161,290,696
57,182,35
32,960,77
161,1500,321
68,237,0
85,666,715
190,203,653
32,258,150
73,205,40
82,156,67
82,236,56
69,283,165
71,854,524
85,498,533
76,189,107
65,189,220
82,205,168
32,220,263
161,689,180
84,200,8
85,458,737
190,198,444
32,220,86
78,267,232
79,220,0
82,212,114
77,205,189
65,205,29
76,117,423
32,236,227
83,205,464
73,205,56
78,205,191
32,236,156
80,226,272
69,267,175
82,194,103
68,298,118
73,220,55
68,205,118
65,174,25
83,189,112
68,270,163
8,205,84
8,176,96
8,205,97
8,215,627
8,189,515
8,247,88
8,217,30
8,186,148
8,220,139
8,204,528
8,220,868
8,189,572
8,204,914
8,213,94
8,188,436
8,205,111
8,233,0
8,182,86
8,162,107
8,204,87
78,173,103
79,215,8
69,191,218
77,247,127
65,236,42
82,220,40
76,174,42
190,183,39
37,761,857
37,836,591
37,83,753
37,435,606
37,170,694
37,925,974
39,684,535
8,202,138
39,178,545
39,196,612
39,846,966
39,156,693
8,189,171
8,188,136
8,189,71
65,189,43
76,251,112
13,700,383
96,201,840
99,246,376
161,1500,619
190,207,596
99,708,570
96,188,213
72,356,393
83,282,0
32,205,121
32,205,228
84,240,73
86,25,374
161,1500,473
190,220,635
32,209,1070
67,189,436
85,809,964
69,288,117
76,236,703
76,205,157
79,236,0
32,205,196
80,221,0
79,267,24
83,220,87
84,220,106
69,189,313
82,198,40
73,221,40
79,235,56
82,236,179
188,497,813
32,205,228
71,674,507
82,236,127
85,601,737
69,181,133
83,220,14
79,260,233
188,672,445
32,189,40
67,228,261
79,152,2
78,205,103
32,234,87
52,463,180
32,236,265
67,189,1010
77,244,71
32,236,192
68,205,87
69,285,204
32,288,118
68,236,103
73,189,88
76,177,118
65,205,25
84,177,6
65,189,19
67,305,853
73,264,40
79,191,0
78,189,103
188,458,81
32,220,617
77,205,71
79,252,40
73,189,81
188,490,116
67,173,121
69,221,137
70,71,609
190,220,627
77,221,191
79,298,134
86,629,812
73,261,40
76,189,71
190,264,342
13,974,692
96,155,819
100,972,952
161,548,646
190,205,748
96,153,446
96,270,483
72,435,445
83,205,118
8,189,103
8,193,72
100,818,791
96,172,588
8,238,677
32,983,297
86,225,766
69,203,13
82,205,164
32,236,149
80,252,395
65,210,40
82,220,173
84,131,111
79,275,40
71,669,297
82,220,118
65,192,40
77,241,57
65,189,25
78,205,154
79,253,87
