VK,HT,FT
49,72,-1
56,79,896
51,72,435
48,87,263
9,94,536
9,72,332
160,470,928
79,88,120
8,72,464
160,312,1241
79,63,80
8,56,822
160,278,1324
80,91,305
65,64,138
67,56,269
73,64,191
69,56,128
78,80,99
84,27,152
69,56,192
32,64,120
73,72,865
78,93,244
84,89,160
69,64,200
82,80,160
78,93,96
65,56,144
68,74,107
79,45,107
32,51,304
80,56,532
79,64,258
68,84,21
32,64,3
8,64,268
82,64,147
8,64,1324
8,56,176
82,80,796
32,37,128
68,64,89
79,64,380
76,55,176
79,33,177
82,13,261
32,100,232
84,64,233
69,40,9
83,64,184
84,57,61
73,72,529
67,80,219
85,52,118
76,61,208
65,64,53
82,56,140
32,87,144
73,98,264
90,64,365
81,62,110
85,63,236
73,79,185
69,64,80
82,72,157
68,78,126
79,56,181
32,56,249
68,56,118
69,84,136
32,78,73
86,84,211
65,55,126
82,78,110
73,66,210
79,11,75
83,56,91
32,72,153
68,73,204
68,64,908
73,56,208
65,65,253
83,53,240
32,100,35
68,31,208
69,64,279
32,73,112
69,64,103
86,40,172
79,100,38
76,72,192
85,56,236
67,56,271
73,55,127
79,72,168
78,48,350
40,34,234
37,64,160
37,0,136
37,48,390
37,72,128
37,64,136
37,96,144
37,80,136
37,80,205
37,48,136
37,32,120
37,56,288
37,68,120
37,48,144
37,48,136
37,48,266
37,104,144
8,52,893
40,125,71
190,52,760
13,64,561
160,194,504
83,83,303
69,56,208
32,64,232
82,65,181
69,64,176
65,53,183
75,363,111
0,816,462
8,101,4
8,99,175
8,52,189
65,71,50
76,62,234
73,64,184
90,97,152
65,64,151
32,63,127
160,752,253
69,64,174
67,69,233
79,72,486
32,62,127
68,102,151
79,30,239
80,64,320
80,80,440
76,56,236
69,48,148
82,72,0
32,75,128
68,59,120
79,64,212
78,72,272
68,32,190
69,66,176
32,64,121
78,56,375
79,80,266
32,72,248
83,79,182
69,80,168
32,80,80
79,64,311
66,64,373
83,80,182
69,72,192
82,0,156
86,64,208
65,56,96
32,72,223
70,64,871
76,61,1055
85,55,248
74,71,205
79,65,176
32,79,240
84,59,251
69,82,159
83,64,147
84,84,108
73,69,153
67,56,249
89,72,757
76,64,255
65,56,54
8,116,1217
8,64,607
8,64,411
8,0,30
67,96,1101
85,64,266
76,72,207
65,117,120
82,72,244
188,52,319
13,47,344
83,62,742
69,22,184
32,50,97
68,66,118
69,53,152
67,64,212
73,74,348
68,117,135
69,52,158
32,64,104
69,72,17
88,64,202
80,64,173
79,62,224
8,78,841
76,61,826
79,56,159
82,119,120
65,56,151
67,56,214
73,64,96
79,64,173
78,64,209
32,56,200
84,64,188
69,13,152
83,64,187
84,40,37
73,72,545
67,79,203
85,66,175
76,64,227
65,64,96
82,32,110
32,56,183
68,111,74
69,56,168
32,54,47
85,64,623
82,71,96
71,64,361
69,71,231
78,89,121
67,48,202
73,23,221
65,17,126
190,60,136
13,64,467
160,0,74
72,88,265
65,47,989
66,57,304
76,67,448
79,80,200
32,51,283
67,134,541
79,84,154
78,48,280
32,88,200
70,53,187
65,56,123
77,62,134
73,62,200
76,79,200
73,56,184
65,64,109
82,56,232
32,56,144
89,72,467
32,102,272
69,57,138
88,12,332
80,79,316
76,56,225
73,41,184
67,34,146
79,56,103
32,78,217
67,40,240
79,68,313
78,80,312
68,78,137
85,55,138
67,41,151
84,40,192
65,80,233
32,80,171
81,143,393
85,39,126
73,79,302
82,85,200
85,3,218
82,82,526
71,64,611
73,55,208
67,66,218
65,71,440
190,61,1092
9,99,282
9,64,441
160,313,1338
69,72,352
83,71,176
67,72,350
82,72,276
79,102,163
84,81,272
79,64,158
32,80,302
65,24,153
71,80,442
85,80,334
68,61,381
79,80,296
