VK,HT,FT
48,14,-1
56,753,440
52,798,780
48,879,788
9,587,33
9,383,126
160,487,2
80,85,320
65,36,116
67,70,368
73,69,409
69,65,103
78,80,246
84,72,207
69,38,161
32,83,200
81,262,232
85,58,469
69,57,244
32,93,173
69,56,168
86,632,826
79,62,277
76,82,396
85,760,70
67,76,201
73,65,97
79,75,82
78,67,108
65,54,195
32,77,153
67,67,270
79,80,345
78,84,328
32,72,266
77,767,413
69,85,123
74,242,810
79,64,256
82,74,143
73,60,191
65,82,217
32,69,239
68,340,295
69,65,153
32,89,381
68,465,935
79,76,177
76,88,268
79,63,132
82,76,216
32,80,213
76,80,452
85,127,373
77,799,513
66,457,739
65,82,139
84,94,250
8,84,889
82,80,126
13,917,492
82,80,255
69,82,117
70,718,596
73,72,322
69,77,145
82,84,189
69,59,74
32,65,212
68,615,13
73,65,11
83,42,152
85,341,642
82,92,221
73,73,297
65,87,175
32,57,67
32,79,0
160,492,42
56,820,613
32,74,128
83,61,0
69,71,106
67,68,176
73,69,192
78,88,424
68,585,544
65,78,153
82,91,273
73,69,126
79,71,335
32,90,198
65,84,125
32,68,146
67,76,639
65,67,184
84,109,17
69,75,190
84,75,376
69,70,139
82,118,269
32,93,0
85,677,611
82,79,220
69,74,164
84,96,354
69,72,189
82,87,133
65,75,185
76,67,418
32,93,146
160,171,230
57,406,744
13,49,20
160,929,146
80,81,333
69,76,212
82,54,203
83,112,18
73,50,108
83,79,509
84,74,286
69,80,109
32,84,239
68,242,160
79,60,251
76,91,135
79,73,332
82,84,158
73,64,136
68,157,932
65,84,178
32,94,177
65,67,156
32,102,224
80,83,351
82,79,215
69,73,135
68,604,315
79,59,210
77,697,931
73,76,206
78,81,174
73,72,220
79,74,149
32,75,256
68,249,200
69,71,118
32,77,262
72,725,743
73,59,142
80,71,389
79,61,207
71,760,381
65,81,122
83,88,246
84,102,176
82,77,203
73,75,301
79,81,193
190,20,789
8,75,357
188,335,198
13,190,637
80,94,439
82,95,178
69,74,110
83,47,543
69,73,105
78,71,256
84,80,199
65,81,137
32,81,141
76,66,277
69,66,155
86,752,690
69,80,182
32,79,273
68,384,959
69,76,113
70,36,157
69,65,195
78,60,382
83,109,287
65,52,176
32,81,172
77,925,31
85,823,164
83,45,237
67,69,66
85,656,273
76,83,327
65,78,166
82,94,205
13,956,668
160,958,700
83,60,244
79,67,325
76,67,301
73,68,179
67,85,185
73,73,104
84,94,406
79,73,195
32,66,241
78,80,0
85,360,799
69,54,150
66,274,791
65,70,233
0,975,215
0,356,616
8,71,0
8,84,52
8,50,444
8,101,168
86,401,697
65,85,148
32,84,184
69,53,206
86,162,259
65,86,159
76,82,508
85,979,549
65,73,147
67,88,0
73,64,273
79,66,249
78,62,255
32,79,105
80,84,522
79,78,344
82,93,119
32,74,216
67,72,446
73,69,250
82,77,154
85,961,787
71,723,928
85,81,521
0,285,178
8,53,138
8,81,13
8,80,295
71,798,192
73,74,256
65,81,174
32,75,194
71,889,497
69,69,104
78,72,394
69,64,95
82,54,101
65,89,137
76,65,412
32,63,311
89,932,882
32,55,249
71,391,350
73,70,198
78,76,158
69,61,130
67,73,5
73,77,323
79,68,224
0,143,599
8,63,501
8,115,259
8,49,198
79,73,182
76,83,288
79,69,273
71,491,600
73,71,209
65,63,218
32,92,284
68,532,220
79,68,229
76,97,235
79,60,139
82,68,175
32,55,210
65,66,113
66,732,208
68,672,235
79,66,354
77,734,541
73,56,166
78,81,0
65,54,127
76,83,348
