VK,HT,FT
49,96,-1
48,77,227
48,66,186
48,74,326
9,70,637
160,688,705
80,73,355
65,71,201
67,63,275
73,66,205
69,65,111
78,71,157
84,67,155
69,64,204
32,64,127
73,62,529
78,75,236
84,76,199
69,66,194
82,63,139
78,68,160
65,68,142
68,55,319
79,67,245
32,74,277
80,69,562
79,76,238
82,81,178
32,74,189
67,67,227
79,73,208
76,60,184
73,58,181
67,69,116
79,56,112
32,72,234
82,63,96
69,60,165
78,61,157
76,59,456
32,71,300
8,60,891
8,51,247
65,82,597
76,66,309
32,69,314
68,68,288
69,74,159
82,70,169
69,74,153
67,74,260
72,74,283
79,73,270
32,82,451
81,89,444
85,98,224
69,65,176
32,70,146
77,77,457
8,190,695
77,74,669
78,68,274
79,76,350
8,75,719
8,72,253
8,65,185
78,71,739
79,76,350
32,86,273
67,85,260
69,71,223
68,55,186
69,62,148
32,67,123
67,73,385
79,64,259
78,61,284
32,66,203
65,73,133
78,71,397
65,75,139
76,70,267
71,73,474
69,70,151
83,70,236
73,73,220
67,59,164
79,73,123
83,61,200
32,69,202
13,73,630
83,81,453
69,71,191
32,60,102
82,81,225
69,78,166
65,78,241
76,77,164
73,71,210
90,76,201
65,74,172
32,67,260
160,640,512
84,78,152
65,79,153
67,67,266
32,68,232
68,73,367
79,60,304
77,78,244
8,190,695
78,70,654
68,75,236
69,74,172
32,69,115
83,73,177
69,59,189
32,67,122
80,75,471
8,84,775
79,71,451
66,71,475
83,75,285
69,60,182
82,74,172
86,72,234
65,66,170
32,71,224
76,75,690
73,62,225
84,78,234
79,72,278
32,70,286
68,69,159
69,73,173
32,67,93
85,70,378
82,61,138
69,62,223
84,69,115
69,64,131
82,60,163
32,71,263
73,68,598
78,69,301
70,69,275
69,67,176
82,64,178
73,68,151
79,82,184
82,73,180
32,75,192
68,68,249
69,66,169
82,79,163
69,75,154
67,74,260
72,74,283
79,73,270
188,68,734
32,71,260
73,67,473
78,71,249
68,85,265
73,65,267
67,76,162
79,63,166
32,71,279
84,78,441
82,70,197
65,63,126
84,68,135
65,68,102
77,60,409
73,59,217
69,76,169
78,66,141
84,68,221
79,66,271
32,72,282
69,95,321
88,62,322
80,65,272
85,59,348
76,75,263
83,74,246
73,69,192
86,82,358
79,70,207
188,68,734
32,71,260
69,73,322
86,63,269
66,71,391
8,53,346
69,80,557
78,68,311
84,74,216
85,55,293
65,89,170
79,74,249
76,68,197
32,79,279
0,311,25
8,77,417
8,73,357
8,71,184
8,28,108
8,21,93
65,73,720
76,66,309
32,69,314
85,70,501
82,63,179
69,62,247
84,68,122
69,64,131
82,60,163
79,71,284
83,61,108
67,54,207
79,59,101
80,65,176
73,101,199
65,62,110
32,65,255
13,73,630
163,882,8
67,72,293
163,299,808
86,74,361
8,53,346
67,81,502
79,64,240
76,64,197
73,64,190
79,74,186
32,75,386
82,67,116
69,65,165
78,61,157
65,67,173
76,63,304
32,65,306
68,61,218
69,71,154
82,70,169
69,74,153
67,74,260
72,74,283
79,73,270
