VK,HT,FT
97,80,-1
101,32,136
96,48,208
96,80,136
9,80,920
161,232,1000
80,96,192
84,72,496
69,88,200
32,72,176
67,64,-1
79,56,208
78,56,208
32,64,192
65,104,-1
78,72,288
84,72,208
69,56,200
67,72,200
69,48,208
68,56,168
69,72,160
78,64,192
84,64,136
69,80,192
83,88,240
32,64,240
68,64,88
69,104,168
32,24,104
65,64,192
67,48,304
67,80,128
73,72,200
68,72,104
69,96,256
78,72,464
84,64,168
69,64,192
32,64,112
76,72,264
65,64,128
66,56,376
79,56,104
82,48,176
65,88,128
76,72,232
188,64,248
32,56,184
69,40,224
86,56,264
79,56,160
76,64,176
85,56,200
67,56,152
73,64,104
79,104,184
78,64,128
65,56,248
32,48,168
67,64,200
79,80,88
78,64,144
32,64,168
83,56,512
77,63,200
69,56,103
32,64,128
77,55,249
69,56,87
78,64,128
73,64,160
83,72,96
67,73,216
65,72,137
76,71,176
32,56,191
77,72,192
69,56,96
68,72,184
73,64,120
65,88,80
76,72,136
32,72,136
68,64,136
69,136,160
82,72,209
79,112,215
68,64,568
73,57,112
76,56,216
76,95,145
65,72,87
32,64,136
68,64,184
69,64,216
82,64,288
190,64,-1
32,48,192
161,696,280
82,72,144
77,80,248
78,80,224
32,64,216
68,64,240
69,56,176
83,88,160
71,72,192
65,80,112
82,48,248
82,64,144
79,72,160
32,72,152
67,64,248
85,64,112
69,80,176
82,56,152
78,64,80
79,72,152
32,64,168
80,88,152
79,80,152
83,80,152
84,64,168
32,64,120
77,72,208
69,64,112
78,56,136
73,64,128
83,64,112
67,48,224
79,80,120
32,72,216
77,72,232
69,48,112
68,80,208
73,64,152
65,72,88
76,88,144
190,64,1352
32,48,240
9,56,1392
161,344,1416
73,96,296
78,64,288
71,56,352
82,56,208
69,64,528
83,128,408
65,56,296
188,64,824
32,48,168
69,48,72
78,56,152
32,72,136
67,48,280
79,88,488
78,64,208
68,48,1008
73,56,160
67,48,88
73,56,104
79,80,160
78,64,128
69,56,80
83,80,200
188,64,192
32,72,144
80,64,144
65,80,104
82,56,168
65,88,144
32,64,136
84,56,400
84,64,152
79,64,144
32,80,152
65,88,120
82,48,200
84,64,168
82,72,168
79,72,224
83,64,120
67,72,192
79,72,120
80,104,160
73,64,128
67,64,176
79,88,128
32,80,208
80,88,240
82,64,80
79,72,128
71,64,160
82,72,208
65,96,152
77,56,160
65,88,96
68,64,584
79,80,120
32,72,200
68,64,144
69,80,176
32,80,80
79,56,936
8,56,608
82,40,152
79,64,280
68,48,224
73,48,96
76,48,256
76,88,128
65,56,144
32,56,88
68,64,224
69,80,168
82,80,144
190,56,184
81,56,656
8,48,1136
81,80,168
8,80,816
9,48,448
9,56,312
161,184,-1
65,64,56
82,56,512
84,56,200
82,48,176
79,56,184
83,56,152
67,64,232
79,72,136
80,80,168
73,72,136
65,72,88
32,56,184
82,64,200
79,72,168
68,64,112
73,56,104
76,56,264
76,88,128
65,56,160
32,64,56
68,64,208
69,88,168
82,104,168
190,56,208
32,64,176
