VK,HT,FT
8,0,-1
188,51,303
32,88,131
83,98,82
69,78,224
32,93,131
83,79,71
79,63,484
76,93,246
73,78,323
67,78,136
73,93,232
84,78,141
65,106,141
32,63,140
79,93,139
82,69,187
73,62,203
78,63,186
65,109,78
32,72,140
68,109,171
69,179,73
32,78,78
50,801,37
52,755,597
32,56,238
72,832,749
83,35,138
32,75,261
69,73,93
67,78,24
79,78,88
71,233,739
82,78,2
65,93,78
70,611,56
73,84,176
65,104,141
32,62,125
65,110,203
66,603,976
68,93,109
79,93,234
77,842,568
73,94,75
78,93,224
65,78,78
76,82,251
32,94,93
82,78,61
69,63,181
78,64,305
65,109,85
76,0,164
190,183,825
32,72,128
13,497,40
13,183,159
32,141,571
83,120,248
69,78,224
32,76,59
69,33,184
86,289,685
73,78,172
68,63,306
69,146,63
78,47,169
67,64,213
73,90,296
65,85,65
32,44,112
67,113,206
82,78,167
32,62,60
50,812,483
190,869,54
52,204,204
32,93,62
8,62,152
8,0,200
8,0,201
8,80,190
8,80,9
8,80,155
8,53,31
8,0,31
8,80,157
8,0,160
8,0,152
8,80,89
8,104,150
8,94,162
8,84,167
8,104,160
8,0,86
8,94,29
8,0,156
8,92,161
160,860,340
190,704,139
32,78,127
80,64,294
82,67,51
79,62,234
84,62,229
69,78,171
73,47,172
78,78,503
85,63,95
82,58,832
73,88,172
65,133,141
32,60,101
68,91,169
69,159,0
32,63,42
57,160,374
32,88,172
67,78,206
76,78,91
32,80,95
67,27,10
82,88,197
32,115,708
49,338,583
53,157,271
32,88,172
8,55,152
188,813,355
32,72,187
80,72,175
82,63,73
79,78,230
66,28,168
65,104,74
8,64,144
8,64,202
8,75,156
8,102,31
8,58,160
67,109,187
79,63,38
78,54,171
32,72,233
68,71,109
88,590,495
32,64,44
68,78,177
69,76,0
32,62,291
83,71,116
73,62,154
78,24,211
68,93,88
82,78,248
79,93,125
77,21,757
69,78,156
32,78,57
78,47,168
69,163,232
70,737,76
82,53,65
79,40,156
84,97,172
73,94,307
67,78,187
79,79,96
32,62,172
65,109,79
83,69,141
79,78,1056
67,109,514
73,64,125
65,104,276
68,109,94
79,80,123
32,88,265
8,18,160
188,11,225
32,78,1057
73,78,166
78,78,304
68,93,94
73,21,176
67,23,658
79,13,96
32,78,202
69,64,283
78,62,122
65,110,81
76,78,234
65,64,147
80,72,153
82,64,187
73,64,84
76,74,158
32,56,82
53,107,147
32,96,78
77,790,87
71,497,166
32,88,142
67,67,135
65,104,127
68,94,156
65,65,62
32,83,108
49,946,297
50,718,66
32,62,315
72,21,88
83,67,248
190,694,857
50,778,687
190,675,25
32,96,141
8,78,160
8,64,31
8,76,152
8,8,165
8,80,166
8,0,160
8,47,160
8,80,31
8,80,152
8,0,152
8,80,173
80,75,172
79,93,109
82,72,94
32,55,121
80,76,280
82,78,145
79,46,140
84,78,713
69,109,78
73,71,75
78,63,182
85,63,405
82,80,179
73,78,201
65,88,93
32,37,126
65,104,129
32,72,125
68,109,115
73,88,172
8,80,174
79,87,209
83,95,84
73,72,389
83,80,23
32,47,142
66,282,91
65,93,140
74,273,857
65,111,126
32,63,135
80,51,280
79,78,113
82,78,248
32,72,101
67,112,188
76,33,252
32,47,1253
67,93,298
82,88,357
32,72,109
68,93,109
69,75,159
32,78,41
49,737,469
53,183,957
32,82,142
77,742,891
76,62,250
160,931,807
55,524,741
50,334,812
52,86,191
32,59,187
72,964,697
83,120,224
32,62,74
32,72,43
67,78,119
73,82,278
80,61,280
82,77,247
79,80,94
70,529,472
76,85,455
79,92,109
88,802,212
65,88,194
67,93,185
73,78,336
78,72,232
65,109,169
32,94,144
