VK,HT,FT
98,108,-1
98,87,1299
96,145,142
96,95,95
160,187,1000
66,111,139
69,105,0
66,144,92
69,115,412
32,109,9
69,103,65
83,102,147
84,95,134
65,125,26
66,84,8
76,109,94
69,129,80
32,112,19
67,109,386
76,220,77
73,110,159
78,98,68
73,97,104
67,90,475
65,181,291
77,150,62
69,103,31
78,109,77
84,92,118
69,151,156
188,93,62
32,116,64
84,200,413
73,127,120
78,125,119
84,95,274
69,136,1
32,127,77
73,116,103
67,119,619
84,165,218
69,175,81
82,124,81
73,146,514
67,66,94
79,103,108
190,111,627
13,140,377
32,95,0
160,440,627
84,111,72
0,297,149
32,119,186
99,156,1284
102,186,1101
110,94,159
103,109,110
188,143,121
32,135,153
69,139,61
78,111,6
32,151,10
73,135,273
78,124,109
67,119,446
85,104,231
66,97,0
65,171,100
68,119,108
79,103,176
82,140,90
65,151,257
32,143,153
99,87,463
97,125,279
190,87,1373
13,106,685
160,712,821
65,151,133
83,159,263
80,112,379
69,198,25
67,151,369
84,167,133
79,95,118
32,111,65
82,97,218
69,119,45
83,136,109
80,177,144
73,113,194
82,156,91
65,95,69
84,125,88
79,109,451
82,135,0
73,167,128
79,128,105
188,49,120
32,168,107
160,1369,959
70,124,91
82,145,137
54,31,342
48,125,108
32,100,245
88,110,81
32,173,147
77,119,369
73,111,42
78,103,150
37,31,271
37,111,73
37,31,0
37,111,81
37,31,0
37,31,0
37,31,0
37,40,0
32,103,89
39,91,893
39,84,76
39,84,77
39,95,78
39,31,0
39,31,0
39,31,0
39,31,67
188,103,0
32,87,0
67,142,271
65,200,44
78,123,236
85,103,83
76,117,472
65,103,429
32,109,105
73,103,210
78,127,121
84,166,119
69,198,116
82,95,109
77,111,41
73,1500,156
84,110,33
69,88,95
78,109,169
84,119,298
69,197,110
188,115,1293
32,138,130
83,128,94
65,120,69
84,140,89
85,132,627
82,96,140
79,96,214
77,61,113
69,99,108
84,68,128
82,111,94
73,136,5
65,95,110
32,107,80
57,119,281
55,95,502
160,187,0
53,125,281
190,111,549
160,234,0
32,109,9
66,95,97
85,87,275
69,55,96
78,111,129
65,35,155
32,153,29
69,111,94
78,103,11
84,101,116
82,119,113
65,103,30
68,127,9
65,110,59
32,119,117
68,76,0
69,112,101
32,87,17
65,144,35
73,135,173
82,119,38
69,106,113
32,96,11
66,156,342
73,123,76
76,33,89
65,142,143
84,93,293
69,91,0
82,92,96
65,102,88
76,95,42
190,154,165
13,159,145
160,31,309
160,1500,0
160,31,0
67,97,131
65,140,169
82,103,292
68,103,179
73,93,218
79,127,129
86,119,379
65,115,109
83,174,102
67,119,177
85,101,34
76,101,134
65,126,0
82,97,299
188,95,246
32,79,80
160,712,705
70,98,70
82,144,150
8,86,201
67,119,332
32,111,138
97,95,170
100,95,171
104,93,104
32,95,75
88,103,155
32,87,81
77,143,992
73,103,137
78,104,98
188,111,463
32,119,41
160,401,360
84,111,14
65,149,92
32,140,421
103,111,269
97,103,96
111,95,161
100,87,77
98,109,877
111,127,1230
101,96,211
100,94,528
13,95,412
160,351,411
65,96,0
78,127,153
8,136,674
66,111,447
68,118,280
79,130,33
77,95,65
69,135,243
78,87,63
188,111,312
32,93,2
71,103,0
76,119,176
79,135,116
66,128,296
79,93,139
83,151,204
79,125,12
188,87,192
32,147,137
68,135,94
69,135,71
80,69,292
82,196,33
69,115,37
83,127,82
73,103,153
66,179,96
76,103,295
69,121,78
32,40,129
78,103,1219
79,133,96
32,95,89
68,128,0
79,79,33
76,94,95
79,135,64
82,121,246
79,127,27
83,130,352
79,111,4
188,103,177
32,109,83
68,124,353
69,145,22
80,121,274
79,109,405
83,123,123
73,127,63
67,120,181
73,106,25
79,156,0
78,133,171
32,129,89
171,111,720
32,52,345
89,111,113
32,36,187
68,95,714
73,111,145
85,124,127
82,134,234
69,128,83
83,158,249
73,146,183
83,143,102
32,108,347
171,112,623
32,141,152
160,200,473
56,104,255
32,87,109
101,94,177
32,95,641
77,107,153
76,171,0
111,125,813
75,127,106
71,109,131
111,81,195
72,93,108
83,175,233
160,1121,361
57,111,532
13,109,494
160,439,530
160,31,0
160,31,0
83,87,14
78,116,0
67,109,108
188,91,401
32,109,137
82,107,367
69,79,66
65,156,388
67,138,90
84,109,117
73,97,125
86,94,504
65,184,0
32,135,264
84,109,140
79,94,185
78,172,304
79,91,315
32,115,73
65,97,340
67,92,93
79,130,33
82,41,95
68,111,205
69,135,113
13,113,319
160,447,170
84,103,550
79,103,69
76,103,120
69,151,10
82,101,166
65,125,207
78,129,202
67,109,65
73,89,181
65,143,118
32,140,446
79,79,94
82,176,107
65,95,158
76,180,489
190,150,26
160,31,0
82,95,100
78,103,153
84,95,202
20,167,193
32,114,346
65,175,81
69,141,161
71,127,174
32,119,231
188,115,208
32,129,145
83,91,105
68,119,65
82,111,0
