VK,HT,FT
97,77,-1
100,92,314
100,94,219
96,45,89
160,511,285
80,78,160
79,55,149
32,60,923
72,59,529
69,80,97
77,75,221
79,50,228
82,50,212
82,72,315
79,40,198
73,60,423
68,85,50
69,38,516
67,85,258
84,61,248
79,57,223
77,57,574
73,80,322
65,85,351
32,114,195
89,72,470
32,90,208
69,76,178
83,98,186
70,43,0
73,107,913
78,95,243
84,93,333
82,48,288
8,63,1341
69,94,839
82,78,626
79,51,592
84,88,0
79,63,788
77,70,123
65,74,156
73,46,621
8,62,1332
8,66,605
73,65,913
65,108,81
32,75,331
76,84,250
65,122,68
84,69,248
69,110,114
82,73,192
65,112,0
76,74,116
32,90,729
73,74,148
78,125,232
84,70,0
69,91,360
82,83,24
78,80,760
65,79,62
32,78,850
73,82,0
90,88,477
81,44,211
190,69,491
32,78,429
80,86,133
79,61,196
82,62,26
32,71,139
72,70,778
69,76,256
77,69,306
79,74,231
82,107,118
82,44,100
79,99,392
73,68,0
68,81,95
69,61,235
83,112,256
32,88,513
83,67,0
65,92,128
78,72,792
71,67,199
82,90,259
65,134,317
78,66,590
84,64,64
69,91,211
83,116,86
32,77,412
89,49,258
32,91,343
70,50,203
73,79,883
83,62,104
85,59,248
82,61,0
65,68,362
32,56,326
65,74,558
78,73,0
65,91,248
76,88,264
32,113,582
67,95,421
82,79,493
79,77,0
78,74,193
73,68,821
65,98,547
8,54,1138
67,88,542
65,111,475
190,84,780
9,7,1034
161,467,1222
161,579,0
161,285,58
161,298,30
161,0,30
161,31,38
161,140,33
161,213,31
161,0,34
161,310,27
49,60,550
69,117,463
73,71,688
82,87,322
32,107,420
8,59,856
8,54,143
8,70,156
8,78,641
8,84,420
49,70,519
69,38,358
82,77,189
32,130,290
68,76,248
73,108,472
65,57,74
32,82,576
160,604,762
80,76,186
79,60,238
73,58,0
8,71,942
190,67,670
32,82,208
161,0,330
66,78,161
69,66,603
71,66,235
190,76,930
32,62,158
161,260,734
65,99,160
70,65,444
69,85,343
66,41,284
82,68,0
73,73,84
76,61,127
190,75,804
32,91,309
161,234,543
69,76,242
85,39,208
80,63,668
78,75,682
69,59,313
73,87,404
67,56,151
79,60,121
190,76,879
32,60,284
161,133,610
65,102,155
66,76,429
68,62,0
79,66,124
77,67,415
69,83,162
78,65,236
32,125,356
161,945,799
66,56,364
68,101,77
73,66,274
190,86,1009
32,49,434
161,0,977
69,92,188
83,105,122
67,85,239
65,81,171
83,97,112
79,87,116
32,115,378
68,82,198
79,34,156
76,52,96
79,65,176
82,75,144
32,64,91
65,109,239
78,68,0
65,110,234
76,72,401
32,101,29
67,66,424
79,44,125
78,28,270
32,93,160
76,93,451
69,95,55
86,74,207
69,71,156
32,72,137
83,81,0
69,75,185
67,84,100
82,95,0
69,69,37
67,73,248
73,71,254
79,61,195
78,66,70
32,114,311
83,93,24
69,111,147
82,63,178
79,87,396
83,75,106
65,61,373
78,69,162
71,59,0
85,71,474
73,88,321
78,163,0
79,74,351
76,64,297
69,94,0
78,67,710
84,76,370
65,142,160
190,77,140
32,74,324
161,53,433
83,85,181
69,75,564
32,72,200
77,89,1097
79,89,753
86,96,115
73,91,145
76,86,153
73,61,131
90,62,663
65,86,184
32,71,126
83,117,0
80,84,235
190,62,271
32,57,255
161,291,655
68,74,215
73,57,299
85,61,297
82,126,104
69,136,0
83,95,85
73,66,29
83,82,82
32,91,719
83,90,293
80,96,238
190,84,906
32,57,448
161,301,715
70,62,107
76,66,335
65,88,98
84,60,165
79,82,505
83,91,0
32,84,630
171,66,898
190,50,865
32,64,546
161,125,616
65,120,41
76,87,207
84,92,268
65,119,137
32,84,154
68,93,247
69,75,170
32,109,122
73,87,219
78,80,266
84,63,47
69,76,460
82,84,326
78,60,766
65,111,83
67,77,330
73,68,259
79,84,137
78,71,205
190,81,491
32,69,207
161,121,701
67,87,86
79,64,535
78,0,249
84,65,199
82,89,459
79,48,138
76,75,329
32,122,91
80,83,343
79,75,272
82,69,370
32,103,169
67,77,713
79,71,306
78,68,163
83,68,164
85,47,621
76,88,595
84,60,42
79,54,340
82,67,333
73,67,352
79,75,346
190,75,1059
32,75,402
160,255,746
75,63,770
69,92,7
84,77,266
79,68,207
82,47,163
79,67,890
76,113,163
65,86,229
67,84,304
32,67,68
50,82,887
48,54,259
32,82,618
86,108,479
79,76,16
188,90,166
32,91,189
66,61,314
65,129,93
0,365,163
79,81,246
83,106,159
32,79,587
68,80,57
69,66,440
32,43,84
65,79,192
83,80,284
73,69,226
69,94,0
78,88,93
84,62,0
79,60,410
32,128,199
84,36,628
73,66,525
66,68,109
73,66,0
79,54,497
83,83,549
32,97,481
67,86,279
79,68,187
78,66,200
32,79,242
80,71,262
69,86,122
82,69,281
86,41,201
73,70,406
78,202,0
79,69,139
88,73,68
190,58,183
32,110,309
161,423,695
68,75,108
73,55,333
69,108,61
84,102,105
65,105,191
32,86,440
67,79,272
79,75,110
78,129,68
70,71,372
32,85,255
73,65,636
66,66,364
82,82,275
8,48,1078
8,65,270
8,66,488
8,34,203
8,22,54
32,69,883
70,85,137
73,78,647
66,84,610
82,76,269
65,88,109
83,98,101
32,69,714
89,53,226
32,107,448
76,101,880
65,67,55
67,109,352
84,77,0
85,45,103
76,47,111
79,48,190
83,98,8
65,144,320
190,55,673
161,368,906
65,182,122
76,115,654
84,80,347
65,104,43
32,103,141
68,81,0
69,88,201
32,127,96
73,75,148
78,69,423
84,87,311
69,96,225
82,78,187
78,80,364
65,86,57
67,75,138
73,48,121
79,43,290
78,67,78
190,64,575
