VK,HT,FT
96,84,-1
96,70,253
110,684,29
99,77,388
96,71,186
32,74,552
72,843,783
83,148,239
190,143,307
32,86,299
76,101,159
70,150,145
32,104,173
107,90,392
107,75,465
96,64,162
96,68,202
110,309,11
99,73,577
96,71,204
74,823,904
8,58,416
72,163,30
83,134,203
190,148,273
32,102,273
76,106,113
70,157,131
32,114,165
107,80,492
32,142,255
97,62,390
100,62,176
96,75,203
88,146,204
77,105,373
73,91,245
78,78,147
188,130,257
32,119,200
77,89,114
70,139,159
107,74,559
32,98,275
83,135,178
73,125,260
78,109,202
32,137,141
68,91,308
73,93,234
78,86,336
65,163,170
77,92,115
73,80,200
67,169,110
65,164,117
32,98,227
85,93,206
84,116,125
69,136,133
82,99,110
73,120,112
78,83,241
65,137,191
188,121,228
32,112,229
84,121,147
79,104,122
78,96,184
79,94,155
76,103,134
32,102,210
85,95,168
84,115,145
69,145,137
82,110,127
73,148,121
8,88,379
8,80,155
8,78,183
8,64,213
8,53,144
8,51,139
8,34,185
32,92,181
85,99,195
84,101,135
69,116,118
82,102,105
73,120,84
78,93,195
79,102,166
32,97,180
78,83,162
79,98,134
77,92,372
8,58,284
8,83,180
79,97,130
82,142,136
77,74,123
65,128,269
76,96,149
188,136,292
32,115,184
83,142,135
73,119,145
75,893,246
8,56,213
77,88,230
8,56,326
78,88,179
32,133,145
80,107,144
69,121,205
82,95,111
68,106,186
73,110,254
68,106,293
65,208,157
83,159,123
32,121,167
80,97,237
79,107,242
82,165,146
32,103,311
65,142,115
8,84,369
20,138,515
71,130,302
69,129,182
173,834,177
32,102,275
77,92,270
20,145,288
13,326,210
96,81,172
99,73,520
110,132,712
99,68,583
96,69,180
32,77,509
72,63,930
83,134,255
190,153,413
32,93,177
76,88,123
70,156,128
32,114,171
107,80,392
32,161,285
97,55,347
100,72,179
96,76,196
88,147,187
77,107,487
73,85,243
78,76,153
188,134,179
32,97,186
77,86,103
70,164,149
107,78,597
32,114,362
68,102,332
73,87,239
78,97,341
65,161,170
73,105,125
8,91,335
8,56,132
65,170,171
77,109,305
73,83,196
67,157,132
65,155,127
32,106,218
85,84,241
84,112,96
69,132,128
82,89,108
73,148,157
78,88,192
65,151,188
32,82,405
65,139,200
85,82,182
83,164,150
69,141,154
78,113,156
84,105,169
69,121,162
188,120,295
32,109,192
83,124,180
73,105,254
78,104,217
32,139,108
80,116,139
69,138,163
82,104,130
68,93,398
73,90,315
68,117,377
65,162,163
83,148,138
32,111,172
80,109,170
79,105,198
82,156,157
32,105,168
20,134,436
71,145,246
69,107,195
190,121,398
32,103,209
13,625,284
96,82,240
103,178,704
110,201,81
99,66,384
96,79,184
32,85,560
72,59,933
83,156,129
190,107,311
32,90,169
76,78,146
70,155,127
32,113,162
107,79,492
32,163,214
97,59,384
100,63,174
96,75,226
88,146,202
77,104,502
73,94,201
78,74,168
188,123,222
32,90,199
77,84,100
70,142,152
8,80,347
8,50,131
8,50,175
8,49,168
8,66,184
8,46,155
8,57,134
8,58,119
8,68,103
8,42,160
8,42,196
8,55,125
8,50,125
8,49,104
8,36,94
8,63,164
8,39,141
8,68,110
8,35,119
8,42,103
20,139,436
72,372,170
83,148,200
173,536,876
32,117,252
8,79,356
190,127,254
32,116,215
8,87,421
8,61,250
8,71,110
190,151,265
32,90,334
76,100,146
70,134,131
32,104,179
107,86,478
97,69,552
100,64,167
96,79,223
88,121,214
188,121,384
8,74,307
77,100,353
73,79,321
78,82,166
188,137,224
32,99,190
77,89,132
70,135,152
107,75,576
32,111,326
68,86,282
73,103,157
78,99,279
65,164,188
77,90,167
73,74,202
67,145,100
65,148,112
32,123,189
85,98,185
84,111,105
69,124,116
82,102,108
73,130,139
78,92,213
65,150,193
32,80,422
65,123,140
85,85,160
83,137,208
69,142,194
78,106,173
84,102,178
69,132,153
188,121,339
83,157,233
73,101,387
32,98,183
80,115,136
8,55,349
8,59,164
8,76,128
8,79,181
32,91,274
83,153,250
73,105,410
78,105,182
32,154,143
80,118,148
69,110,202
82,111,146
68,98,183
73,109,223
68,110,266
65,146,137
83,170,151
32,111,132
79,112,130
8,56,164
80,101,327
79,88,184
82,142,151
32,118,256
20,135,422
71,121,288
69,143,163
190,138,342
32,105,264
67,123,345
79,105,218
76,96,221
69,110,213
8,69,187
8,79,225
8,64,185
20,159,312
79,102,180
76,96,242
69,130,141
83,106,103
84,99,161
65,192,151
83,165,200
73,98,196
83,153,237
8,61,388
8,59,227
8,76,213
8,58,111
8,72,129
8,53,147
8,42,178
8,44,103
8,52,104
8,70,104
8,66,162
8,71,164
8,65,185
8,36,103
8,64,119
8,57,135
8,41,177
8,42,184
8,64,140
8,58,195
8,55,191
8,70,95
8,37,162
8,64,176
8,35,131
8,47,184
8,68,121
8,49,186
8,67,152
8,38,147
8,50,120
8,69,168
8,62,109
8,51,192
8,67,167
8,59,140
8,66,149
8,36,142
8,57,148
8,41,117
8,37,195
8,61,172
8,68,192
8,68,163
8,60,96
8,72,137
8,63,156
8,43,179
8,63,192
8,55,91
8,66,149
8,47,130
8,63,144
8,51,130
8,37,180
8,42,170
8,38,106
8,34,108
8,46,166
8,52,133
8,58,116
8,65,189
8,49,149
8,46,154
8,52,181
8,69,191
8,41,146
8,47,190
8,41,133
8,38,176
8,63,183
8,37,125
8,58,127
8,55,113
8,53,90
8,66,110
8,34,100
8,42,196
8,36,170
8,36,191
8,57,118
8,58,139
8,59,190
8,45,151
8,45,195
8,35,187
8,38,113
8,43,176
8,47,102
8,58,194
8,53,124
8,64,131
8,62,172
8,38,105
8,56,91
8,44,96
8,45,113
8,55,128
8,49,179
8,63,102
8,62,188
8,48,163
8,34,136
8,57,106
8,65,105
8,61,113
8,62,93
8,40,121
