VK,HT,FT
162,13,-1
162,9,125
162,3,33
162,9,33
162,1,31
162,8,34
162,1,32
162,0,36
162,10,32
13,83,973
13,96,402
13,78,281
162,0,194
86,184,407
8,39,172
8,53,101
96,59,1050
100,81,300
160,375,340
190,90,240
8,123,882
8,66,186
101,97,343
13,80,945
13,89,312
162,53,105
86,171,377
8,76,215
96,62,913
104,66,386
160,130,350
190,90,251
96,71,754
96,71,153
8,76,1201
96,76,1037
8,90,1181
8,71,305
8,34,65
8,15,153
8,52,101
103,72,515
160,8,65
190,99,291
100,78,162
96,81,216
162,73,198
67,145,317
13,68,924
13,99,211
162,69,318
86,165,350
8,72,279
96,84,968
105,85,444
160,292,191
190,99,290
99,75,574
96,71,276
32,109,453
8,100,919
98,79,957
13,85,891
13,94,412
160,214,292
84,97,330
86,94,368
190,140,400
32,112,215
160,897,391
67,150,281
85,82,277
69,101,147
76,78,121
76,57,151
79,86,141
32,92,199
80,89,409
79,88,208
83,209,171
84,156,273
69,120,247
82,123,181
73,94,143
79,98,178
82,146,186
188,117,395
32,82,184
98,72,825
110,70,205
101,90,385
32,84,471
67,146,562
71,148,191
82,130,238
85,92,261
69,107,139
83,139,137
79,97,328
188,91,539
32,109,340
77,104,305
32,81,287
68,77,138
69,120,162
32,107,187
84,89,157
82,139,191
65,201,98
89,97,235
69,120,166
67,122,346
84,145,369
79,114,274
188,117,477
32,113,199
80,118,312
69,145,200
82,110,91
77,117,228
69,119,126
65,169,203
66,132,303
76,120,172
69,145,208
32,92,161
65,121,135
32,138,222
68,86,168
69,106,177
68,96,235
79,114,302
32,101,163
67,153,318
79,110,85
77,86,223
79,81,261
68,116,212
79,88,130
188,117,569
32,101,146
77,96,225
160,89,85
160,182,183
160,0,48
160,0,44
160,30,20
160,49,49
160,153,41
160,59,38
160,101,31
160,99,18
160,0,21
160,17,33
160,121,55
160,68,36
160,0,20
160,111,37
160,188,38
160,0,14
77,90,339
79,92,199
82,138,108
188,111,430
32,89,338
67,107,114
69,153,233
70,156,244
65,149,169
76,156,152
73,115,139
67,123,207
65,152,147
32,113,248
160,953,439
160,0,52
160,185,31
160,136,44
77,89,258
79,98,181
86,132,219
73,83,129
76,92,368
188,92,400
32,101,283
160,858,648
76,109,211
65,166,174
67,144,606
190,116,381
32,86,280
13,66,989
13,98,461
160,59,113
83,141,270
69,153,198
32,97,297
73,77,173
78,90,164
70,183,248
79,94,120
82,141,175
77,97,199
65,124,109
32,106,215
65,146,251
32,106,248
76,100,321
65,160,144
32,104,305
160,906,368
68,89,319
82,125,140
65,138,170
190,178,447
32,105,218
160,866,580
71,125,235
65,147,130
82,161,259
67,135,237
69,134,207
65,197,224
188,94,373
32,114,275
160,816,618
73,93,265
78,89,265
68,146,190
73,104,248
67,158,191
65,177,112
32,91,218
73,110,385
78,79,150
68,128,208
85,95,207
67,131,195
67,99,249
73,88,163
192,78,143
79,89,279
78,108,207
32,91,189
65,138,132
76,94,123
32,94,174
84,114,148
82,131,226
65,221,133
66,120,199
65,129,112
74,138,126
79,102,161
32,78,132
68,59,140
69,97,142
8,114,674
8,70,175
8,58,138
8,69,279
8,75,254
8,37,66
8,42,91
8,37,145
8,32,142
8,12,127
80,140,854
65,214,134
82,112,194
84,130,263
79,98,165
