VK,HT,FT
97,98,-1
98,92,157
96,83,236
96,79,171
9,90,509
84,101,213
82,81,193
65,101,226
78,75,296
83,96,196
70,77,427
8,41,271
8,61,119
8,34,181
8,49,67
8,38,130
8,46,119
162,370,497
86,106,312
9,78,383
84,95,193
82,84,176
65,121,236
78,69,298
8,103,678
8,100,314
8,40,192
8,12,102
80,90,719
82,91,160
79,86,200
80,94,249
8,68,598
67,107,571
69,88,184
68,102,245
73,75,127
77,95,318
73,113,234
69,88,192
78,108,133
84,108,201
79,206,185
32,101,216
66,89,576
73,75,246
69,106,183
78,63,179
32,91,182
84,78,421
79,71,271
76,77,256
69,81,133
82,76,197
65,104,190
68,89,256
79,76,357
190,81,665
32,66,259
83,101,516
69,82,175
32,71,90
82,100,401
69,81,127
65,128,284
76,101,155
73,78,164
90,74,205
65,113,171
78,77,285
32,87,190
73,88,463
78,86,204
68,97,309
73,87,151
67,121,156
65,109,274
67,80,300
73,101,189
79,99,158
78,76,187
69,84,103
83,91,225
32,96,130
77,96,280
69,74,157
68,84,220
73,84,178
67,77,260
83,111,297
8,35,682
65,125,414
83,101,173
32,88,274
8,85,720
190,79,820
32,77,196
83,106,560
69,90,228
32,76,184
67,107,285
73,76,207
84,85,262
65,116,123
32,97,353
80,100,284
65,94,106
82,68,252
65,81,125
32,86,128
67,89,219
79,87,177
78,80,253
84,82,287
82,85,204
79,88,242
76,94,221
32,87,171
89,95,403
32,101,199
83,98,245
69,82,211
71,87,353
85,120,160
73,71,199
77,80,182
73,111,212
69,101,142
78,104,210
84,105,173
79,157,136
32,103,225
80,114,512
79,99,285
82,96,149
32,89,162
67,86,380
78,109,281
83,84,211
8,149,467
8,83,219
79,77,556
78,101,237
83,112,181
85,87,226
76,98,366
84,79,331
79,91,391
82,79,243
73,98,152
79,92,203
83,87,215
32,123,296
69,90,208
88,90,263
84,83,267
69,84,142
82,93,168
78,92,173
79,102,460
83,100,192
32,91,183
79,85,394
89,64,504
84,102,192
190,181,1116
32,89,338
69,98,366
71,90,316
82,92,154
69,84,246
83,108,252
79,90,183
32,84,272
98,85,815
111,84,373
103,81,617
111,85,479
97,79,428
104,91,172
82,95,247
85,88,171
80,88,243
84,92,321
85,84,240
82,82,195
65,121,168
8,92,626
8,69,246
8,57,243
8,64,138
8,71,169
8,30,118
8,20,105
83,114,651
69,105,205
67,109,295
67,73,161
73,105,144
79,94,103
78,117,234
32,91,194
68,88,297
69,107,128
32,82,124
84,91,520
69,120,145
8,94,455
8,67,287
8,64,157
8,52,313
8,36,163
69,75,303
83,83,262
80,83,169
79,60,160
78,93,284
84,99,200
65,117,105
78,88,363
69,97,148
65,103,299
32,85,269
84,81,595
69,94,167
78,101,383
83,85,228
79,102,153
8,73,766
8,63,189
68,109,557
79,45,188
78,98,198
32,92,212
69,105,203
88,101,275
84,89,211
69,111,160
78,92,380
83,87,223
79,95,121
82,81,170
32,79,188
80,106,307
85,88,265
76,83,234
71,89,266
65,116,215
82,78,202
32,98,142
73,80,407
