VK,HT,FT
97,163,-1
98,145,72
98,148,65
96,108,161
9,109,713
9,113,147
99,89,924
32,106,209
160,1089,121
80,93,153
79,193,74
80,113,113
13,103,856
160,539,172
66,97,297
73,88,126
69,132,75
78,103,89
32,97,177
160,874,489
72,95,206
68,145,207
67,90,169
32,97,193
65,94,171
70,153,265
69,153,87
66,105,204
82,145,113
73,104,146
76,118,217
188,86,271
32,105,201
83,129,143
73,71,329
78,95,174
32,135,165
73,89,794
78,97,167
71,89,242
69,222,97
83,137,261
84,88,92
65,121,85
188,105,339
32,112,187
67,113,193
79,89,140
78,81,201
32,121,163
160,844,224
83,132,232
78,89,982
71,83,213
32,105,193
160,436,17
56,96,209
68,265,249
69,81,129
66,83,586
73,89,137
68,169,153
79,89,219
8,89,733
8,81,157
84,74,18
79,97,129
32,105,217
97,88,700
96,93,161
96,45,118
96,122,113
32,105,439
67,81,138
67,107,101
32,93,460
66,89,334
73,97,122
76,97,187
73,105,196
79,100,268
71,144,329
65,164,90
83,121,241
84,156,345
82,145,63
73,89,290
67,146,127
79,87,48
160,305,426
57,113,224
32,106,432
68,113,165
69,182,150
65,126,257
77,43,105
66,96,605
85,140,130
76,114,482
79,81,153
13,126,937
8,51,1158
8,81,516
65,145,711
13,92,1317
160,289,7
65,137,493
66,81,334
68,63,245
79,97,152
77,105,146
69,145,155
78,89,89
32,89,225
80,136,937
76,158,34
65,137,175
78,98,171
79,119,174
188,101,323
32,105,169
66,123,332
76,93,138
65,158,89
78,103,137
68,105,267
79,97,169
188,98,256
32,106,177
68,216,98
69,75,81
80,105,273
82,137,58
69,134,73
83,113,127
73,105,273
66,84,241
76,97,171
69,121,88
188,101,281
32,113,189
73,39,209
78,89,149
68,118,139
79,102,194
76,96,182
79,99,137
82,147,153
79,105,105
32,97,269
160,583,186
71,97,146
65,136,17
83,95,250
69,89,155
83,103,145
32,97,176
160,686,142
56,97,146
107,129,441
160,480,177
57,101,306
32,105,1215
160,52,138
67,161,234
65,136,100
84,109,117
65,121,80
82,97,265
83,141,305
73,105,153
83,124,16
32,109,145
160,281,235
56,81,154
107,97,436
160,276,217
57,97,591
32,114,684
13,113,686
160,638,111
72,122,209
69,95,258
82,103,133
73,92,103
68,145,210
65,154,73
32,98,193
83,113,121
160,356,217
55,102,132
80,97,473
32,123,214
160,292,466
68,83,186
82,153,161
69,137,139
78,115,232
65,145,81
74,84,106
69,113,116
83,121,233
32,128,157
69,165,309
83,105,215
67,52,190
65,139,97
83,124,128
80,105,43
8,113,1150
79,96,150
83,129,233
32,117,106
160,393,184
83,137,469
72,91,178
13,89,1081
160,404,524
66,113,552
85,129,230
69,122,106
78,97,59
32,89,193
82,75,357
73,47,167
84,113,263
77,161,106
79,121,269
32,112,199
68,186,355
73,97,113
85,97,202
82,177,364
69,80,65
84,172,181
73,93,425
67,130,331
79,89,89
188,105,311
32,109,177
78,153,217
79,34,144
82,134,137
77,136,56
79,89,208
67,161,300
79,95,88
76,116,182
79,63,145
82,121,328
69,106,44
65,118,265
68,105,329
65,257,98
160,1449,863
83,145,769
73,97,64
71,130,607
85,105,81
69,153,68
32,117,109
69,137,108
78,81,118
32,97,137
65,111,77
89,153,244
85,137,49
78,97,384
79,96,116
188,89,344
32,104,169
67,113,325
79,95,109
78,91,185
32,97,177
160,1500,689
83,121,264
78,105,959
71,158,20
188,105,685
32,97,169
160,713,140
65,186,215
84,85,92
66,108,172
188,81,402
32,89,145
160,968,124
65,161,198
73,97,154
78,89,189
69,161,269
13,141,753
160,1025,267
76,98,665
65,137,90
66,98,375
32,105,177
77,102,395
65,146,65
0,113,327
0,361,939
8,89,654
65,187,313
78,102,145
65,128,89
13,97,1026
160,1068,319
67,80,241
79,97,26
78,81,221
84,145,263
82,153,89
79,89,50
76,72,154
32,47,258
69,114,103
86,113,241
79,105,97
76,36,130
85,45,257
84,105,0
73,110,133
86,137,351
79,66,3
