VK,HT,FT
48,56,-1
56,120,174
48,88,201
48,72,136
13,56,336
80,33,172
65,78,152
82,114,450
84,56,0
79,72,95
32,82,235
78,88,224
79,63,261
82,78,156
77,67,90
65,63,211
76,97,438
32,109,149
50,80,430
55,216,181
173,78,456
52,163,42
173,72,1061
49,219,312
53,60,123
49,160,282
32,124,154
69,80,430
82,72,91
32,69,217
68,80,148
73,127,162
65,64,191
32,88,144
80,84,129
85,88,225
69,259,128
82,94,144
80,92,1191
69,107,217
82,63,200
73,66,194
79,109,106
13,94,840
66,64,249
85,88,280
69,56,160
78,96,187
65,86,110
32,56,142
69,81,128
86,99,313
79,48,301
76,61,187
85,88,219
67,72,143
73,194,264
79,62,170
78,72,239
190,98,313
13,88,392
67,78,344
79,80,120
77,94,144
80,72,184
69,72,280
78,73,162
83,80,184
65,104,176
68,104,284
65,156,123
188,171,1099
32,97,120
78,91,143
79,87,120
82,78,186
77,78,307
79,78,91
84,165,263
69,101,189
78,52,109
83,117,256
65,198,1
188,109,253
32,55,146
65,121,154
70,77,489
69,72,100
66,61,153
82,87,136
73,72,160
76,118,156
188,91,831
32,111,225
67,56,1365
79,103,230
78,88,237
74,80,181
85,100,176
78,72,200
84,94,159
73,96,162
86,96,239
65,56,136
83,154,599
32,68,168
78,99,537
79,136,481
82,125,156
77,72,152
79,115,267
67,78,326
79,80,90
76,95,168
79,79,165
82,48,318
69,260,165
65,64,160
68,72,144
65,127,92
83,132,287
190,50,124
13,88,111
65,84,125
66,72,201
68,80,200
79,137,132
77,177,189
69,45,136
78,72,126
32,64,216
66,82,174
76,88,205
65,160,205
78,80,368
68,158,216
79,80,96
32,69,248
68,130,867
69,83,162
80,80,354
82,76,102
69,80,200
83,170,168
73,80,323
66,139,337
76,72,312
69,72,79
32,101,161
188,84,1221
32,66,189
78,48,344
79,80,485
32,42,128
68,16,127
79,67,54
76,56,130
79,92,143
82,151,135
79,61,158
83,80,138
79,80,192
13,137,89
85,104,140
84,80,289
69,90,111
82,143,143
79,56,113
32,82,518
82,132,58
69,87,90
84,92,104
82,115,93
65,103,168
73,96,262
68,96,144
79,53,13
32,71,115
13,79,873
76,88,214
79,75,156
81,120,160
85,63,140
73,80,249
79,156,136
83,107,402
32,93,144
72,81,64
69,76,84
77,95,176
65,88,177
84,173,237
73,44,106
67,72,151
79,41,98
83,94,206
32,45,3
69,109,48
83,48,192
67,93,307
65,112,150
83,50,248
79,94,157
83,102,181
13,72,852
68,112,140
73,56,156
85,107,0
82,77,230
69,86,123
83,94,218
73,163,180
83,144,172
171,39,1360
13,144,264
67,88,111
65,168,219
84,80,781
65,101,104
82,61,2
83,72,103
73,78,195
83,67,112
173,98,388
13,96,234
161,1500,124
69,111,160
69,88,216
71,94,108
32,84,216
171,31,392
32,59,325
13,153,829
77,152,147
65,198,80
77,48,563
65,87,152
83,56,146
32,115,1090
76,103,112
65,47,144
67,76,319
84,72,224
65,105,278
78,64,264
84,18,89
69,59,79
83,80,223
78,99,123
79,88,96
80,112,196
85,79,448
69,64,306
82,95,192
80,89,172
69,72,80
82,78,88
73,90,120
79,80,221
