VK,HT,FT
16,696,-1
84,94,121
79,98,149
76,117,192
65,83,201
78,372,916
73,107,120
32,98,169
16,229,830
87,200,930
73,94,106
78,233,311
69,246,156
32,102,133
16,290,323
82,80,164
69,84,97
83,93,163
84,96,313
85,160,373
8,483,363
65,35,618
85,199,149
82,37,165
65,101,253
78,711,593
84,97,185
32,112,185
70,696,828
69,97,101
65,85,220
84,76,211
85,827,299
82,81,175
69,72,48
83,69,149
32,78,151
65,0,510
32,85,157
68,703,459
69,52,0
76,19,228
73,96,81
71,546,583
72,588,727
84,78,123
70,255,666
85,783,505
76,122,176
32,92,39
65,97,253
82,82,142
65,96,174
89,359,184
32,32,114
79,134,63
70,777,577
32,92,139
79,125,118
80,107,184
84,78,201
73,99,82
79,66,123
78,52,56
83,76,188
32,78,108
70,182,956
79,104,155
82,89,178
32,89,160
65,78,255
76,114,149
77,573,859
79,112,127
83,78,318
84,105,2
32,89,156
65,74,173
78,676,320
89,378,592
32,83,155
80,246,690
69,100,149
82,10,9
83,86,117
79,95,113
78,619,636
32,88,144
87,112,963
72,328,842
79,127,84
32,80,171
77,921,953
65,70,171
89,834,836
32,98,157
87,675,804
65,77,166
78,896,556
68,77,111
69,96,110
82,62,206
32,78,179
73,95,107
78,296,637
32,81,239
84,94,212
79,93,0
32,98,225
84,94,128
65,67,237
75,805,694
69,84,172
32,78,145
65,79,227
32,89,150
80,237,890
69,86,162
75,89,963
190,484,690
32,91,158
16,437,550
70,794,905
82,87,206
79,84,395
77,392,323
32,89,108
68,578,393
69,65,99
76,124,317
73,107,100
67,562,688
73,76,10
79,113,121
85,342,764
83,98,758
32,85,247
65,82,212
78,599,552
68,528,87
32,96,140
86,467,550
65,77,195
82,81,175
73,99,80
69,29,123
68,812,571
32,90,88
84,86,124
65,83,213
80,126,788
65,34,404
83,80,218
32,100,124
80,94,785
76,111,82
65,74,223
84,105,223
69,0,35
83,98,166
32,92,267
84,78,423
79,120,144
32,86,123
65,100,253
32,88,158
76,123,196
65,44,226
82,98,217
71,516,168
69,84,174
32,96,130
83,76,395
69,48,144
76,103,35
69,97,92
67,99,920
84,76,202
73,106,85
79,121,259
78,179,629
32,91,151
79,94,128
70,31,407
32,77,157
87,419,264
73,98,65
78,366,33
69,71,173
32,92,147
65,89,261
78,924,653
68,0,88
32,89,168
83,77,190
80,252,160
73,86,107
82,101,146
73,112,106
84,94,209
83,96,132
188,371,906
32,87,130
84,105,247
8,454,560
16,35,273
84,78,124
79,121,22
76,118,149
65,85,0
78,699,998
73,107,106
32,97,172
72,617,927
65,78,459
83,83,213
32,96,106
89,167,378
79,138,73
85,110,963
82,92,142
32,76,353
69,236,148
86,280,712
69,86,157
82,101,178
89,627,776
32,85,112
68,21,487
69,86,190
83,69,128
73,92,82
82,97,145
69,0,257
32,97,67
67,173,532
79,113,126
86,868,894
69,71,126
82,71,199
69,13,193
68,416,103
190,659,325
32,91,137
16,656,4
76,125,294
79,114,83
67,156,996
65,75,166
84,78,103
69,84,231
68,933,492
32,86,127
73,99,81
78,154,60
32,73,145
79,92,128
78,885,46
32,99,155
79,100,99
8,256,320
79,106,128
78,112,731
8,564,902
78,357,574
69,95,128
32,111,127
79,92,167
70,28,777
32,97,140
84,85,98
72,925,742
69,73,189
32,92,155
67,428,251
73,89,38
84,103,107
89,518,162
222,376,458
83,93,5
32,81,176
84,49,222
82,97,189
69,84,120
78,48,355
68,505,142
73,113,90
69,57,129
83,103,115
84,79,220
32,87,182
80,225,173
65,72,225
82,83,196
84,113,226
83,101,179
32,99,119
79,104,127
70,341,236
32,116,246
84,94,0
79,116,85
87,244,726
78,547,493
188,571,745
32,72,157
89,749,9
79,105,100
85,364,642
32,77,164
67,261,360
65,78,208
78,424,837
32,63,98
65,78,121
76,171,256
87,301,823
65,77,636
89,595,954
83,89,38
32,84,121
66,917,488
69,24,154
32,102,123
67,244,80
69,99,180
82,79,191
84,105,126
65,78,46
73,99,100
78,648,827
32,66,107
89,917,398
79,121,252
85,118,927
222,57,985
76,256,163
32,121,173
79,78,180
78,447,130
76,273,68
89,193,146
32,83,131
66,152,192
69,94,172
32,92,118
83,91,63
85,927,410
82,86,158
79,120,193
85,568,577
78,917,287
68,946,127
69,84,501
68,629,99
32,121,158
66,407,56
89,953,500
32,70,176
84,99,369
72,587,931
69,157,172
32,92,151
66,213,381
69,92,196
83,81,306
84,106,210
32,92,97
67,406,838
79,93,176
78,338,164
86,444,177
69,84,93
82,72,177
83,102,725
65,72,227
84,107,110
73,82,81
79,122,81
78,64,202
65,67,226
76,102,165
73,91,242
83,102,259
84,94,123
83,93,129
32,79,144
73,89,96
78,588,802
32,90,156
84,78,215
72,333,455
69,84,92
32,85,155
67,2,700
73,105,102
84,78,126
89,351,333
32,75,95
87,728,319
72,257,162
69,71,123
78,512,215
32,83,125
89,523,451
79,112,84
85,553,296
32,99,102
67,975,277
72,891,727
79,110,443
83,24,167
69,106,141
32,101,248
16,682,645
84,90,124
79,89,128
76,113,267
65,80,653
78,688,665
73,99,54
32,71,176
70,407,591
79,95,96
82,96,153
32,89,155
65,78,151
70,478,483
84,97,186
69,84,404
82,79,322
32,81,158
87,42,32
79,100,75
82,67,214
75,960,41
32,85,144
70,213,717
8,367,398
68,956,341
82,83,145
73,100,0
78,616,958
75,202,297
83,92,20
32,73,94
79,94,100
82,68,178
32,80,186
87,520,868
69,236,92
75,382,45
69,84,113
78,57,176
68,463,52
32,91,157
82,74,175
69,93,92
76,113,68
65,95,209
88,867,973
65,82,172
84,87,415
73,104,84
79,92,82
78,213,599
190,23,509
32,90,130
16,556,919
66,111,893
82,90,209
73,87,101
78,984,352
71,677,379
32,87,103
89,6,140
79,138,105
85,453,241
82,75,189
32,92,105
70,566,475
82,10,157
73,17,104
69,84,136
78,655,200
68,610,430
83,92,732
188,260,44
32,86,155
76,6,130
79,61,145
86,703,34
69,48,184
82,72,196
188,183,71
32,86,119
70,550,90
65,77,224
77,866,382
73,100,81
76,115,166
89,457,33
188,726,642
32,83,130
79,59,147
82,88,48
32,85,174
69,97,190
78,654,489
72,566,597
8,485,223
74,956,5
79,121,73
89,469,700
32,91,134
84,116,123
72,821,331
69,88,153
32,98,152
65,83,54
84,59,214
77,259,113
79,132,127
83,87,182
80,869,861
72,996,444
69,105,172
82,81,144
69,56,172
32,93,164
66,984,492
89,52,605
32,90,129
89,948,522
79,115,401
85,850,198
82,93,145
83,102,245
69,258,110
76,113,144
70,927,184
32,65,161
87,519,725
72,300,439
73,84,81
76,114,115
69,219,137
32,77,157
69,69,151
78,730,656
74,356,301
79,73,668
89,824,886
73,84,107
78,841,421
71,10,195
32,88,194
83,93,217
79,141,81
77,538,735
69,85,159
32,89,317
65,52,5
76,116,115
79,121,83
78,985,59
69,50,188
32,85,156
84,78,419
73,47,125
77,559,422
69,185,125
190,514,161
32,96,146
16,738,386
69,0,156
65,82,215
83,100,219
89,437,105
32,78,123
84,77,123
79,121,84
32,97,178
70,374,580
73,111,103
78,731,917
68,923,734
32,97,45
73,107,81
78,756,568
32,91,83
65,100,262
32,102,151
83,99,204
69,24,157
67,482,993
85,672,654
82,81,176
69,97,291
32,116,602
76,117,117
79,114,127
67,361,254
65,73,196
84,94,125
73,107,103
79,92,127
78,965,924
190,968,322
