VK,HT,FT
16,261,-1
84,113,196
72,85,236
73,98,122
83,117,104
32,122,100
80,93,93
76,102,131
8,525,458
16,261,170
87,98,106
72,80,153
65,60,108
84,91,154
32,116,74
16,256,120
73,89,99
32,116,93
76,74,125
79,101,121
86,84,201
69,80,127
32,134,63
84,94,97
72,79,98
69,78,114
32,140,43
77,97,139
79,101,121
83,91,131
84,93,143
32,113,73
65,76,152
66,69,87
79,101,121
85,84,163
84,96,130
32,111,78
16,256,120
72,80,153
65,60,108
82,81,139
86,84,201
69,80,127
83,101,138
84,93,143
16,261,170
32,126,95
77,97,139
79,101,121
78,92,188
32,136,92
67,82,146
65,72,152
70,88,150
69,86,144
8,525,458
16,261,170
67,86,135
65,72,152
70,88,150
8,525,458
16,261,170
73,88,119
222,846,24
86,84,201
69,80,127
32,134,63
78,88,123
69,86,144
86,84,201
69,80,127
82,106,154
32,110,64
72,79,166
65,60,108
68,91,153
32,132,73
84,94,97
79,119,82
32,119,70
87,99,110
65,63,106
73,95,87
84,101,131
32,123,94
70,82,122
79,173,74
82,91,71
32,108,66
65,76,152
32,133,100
84,94,97
65,73,208
66,69,87
76,102,131
69,100,70
32,134,63
65,78,122
84,85,158
32,116,74
16,256,120
72,80,153
65,60,108
82,81,139
86,84,201
69,80,127
83,101,138
84,93,143
32,113,73
16,256,120
77,97,139
79,101,121
78,92,188
32,136,92
16,256,120
67,86,135
65,72,152
70,88,150
69,86,144
188,100,113
32,127,156
65,76,152
78,95,103
68,106,118
32,134,85
16,256,120
73,89,99
32,116,93
82,88,128
69,83,168
65,72,183
76,157,98
89,96,127
32,99,76
65,78,166
80,102,133
82,88,128
69,83,168
67,86,135
73,88,124
65,72,152
84,85,158
69,77,173
32,134,63
84,94,97
72,79,98
65,60,108
84,91,154
190,79,138
32,147,85
16,317,103
87,98,106
69,99,110
32,134,63
71,93,139
69,86,144
84,96,130
32,111,78
83,85,127
69,86,144
65,72,183
84,85,158
69,77,173
68,91,174
32,134,63
73,89,104
77,97,139
69,101,94
68,91,174
73,88,124
65,72,152
84,85,158
69,77,173
76,92,104
89,98,131
188,100,113
32,127,156
65,76,152
