VK,HT,FT
18,530,-1
16,146,152
83,94,108
79,94,160
77,128,168
69,78,96
72,88,58
79,171,127
87,120,25
188,106,1080
32,104,105
16,206,358
73,96,63
32,114,201
87,22,157
69,95,71
78,108,43
84,64,180
32,90,107
17,500,900
16,160,441
73,30,240
222,128,176
86,53,74
69,79,73
32,127,56
76,64,167
73,118,152
86,70,94
69,86,12
68,144,260
32,27,112
73,49,291
78,33,151
32,118,114
16,480,246
76,88,117
79,71,220
83,96,128
32,96,278
16,364,282
65,101,95
78,101,174
69,133,329
71,112,294
8,91,1244
71,70,181
69,90,120
76,140,120
69,100,111
83,103,127
32,130,204
8,1063,971
79,67,421
83,81,65
32,123,139
70,106,157
79,104,141
82,93,69
32,94,74
83,109,147
69,80,152
86,38,200
8,30,287
69,65,267
83,104,312
32,143,108
16,367,72
17,1159,601
70,96,48
79,169,218
82,121,80
32,38,94
83,112,26
69,152,137
86,104,190
69,89,184
82,160,72
65,23,189
76,265,120
32,61,183
89,112,88
69,123,69
65,79,95
82,78,111
83,144,104
188,88,301
32,107,210
65,93,62
78,104,99
68,108,72
32,96,99
85,73,229
78,116,212
84,102,99
73,101,194
76,274,338
32,0,332
16,144,76
73,79,82
32,80,217
8,250,329
32,159,805
87,88,20
73,67,136
84,64,129
72,67,95
79,128,82
85,95,72
84,20,71
32,80,84
65,166,135
78,88,96
89,88,235
32,144,112
82,108,255
69,63,103
65,137,76
76,190,72
32,110,208
76,60,117
85,112,280
67,111,189
75,134,184
32,94,141
65,80,162
84,110,70
32,147,94
70,66,316
73,103,121
78,105,146
68,95,75
73,129,125
78,120,176
71,103,42
32,126,103
70,131,990
79,202,180
68,104,385
32,87,124
16,124,498
77,128,160
69,112,609
88,31,297
73,127,156
67,112,134
65,89,254
78,121,94
32,78,373
70,109,262
79,76,106
68,72,288
8,1500,386
71,60,524
40,142,238
190,96,182
32,139,192
16,1046,114
8,108,30
40,140,219
190,94,183
32,139,99
16,133,176
84,104,766
72,104,107
65,106,115
78,168,128
75,96,89
83,98,124
70,80,287
8,95,320
70,103,64
85,78,150
76,228,197
32,102,180
16,236,126
73,96,128
32,124,90
67,147,175
65,128,76
78,91,173
8,268,288
89,158,1398
32,133,185
16,230,407
73,89,252
32,3,60
8,2,24
76,233,211
89,122,122
32,122,134
16,3,425
73,88,88
32,104,104
8,201,547
32,140,800
67,95,105
65,47,79
78,152,143
32,95,93
78,88,177
79,143,73
87,139,272
32,16,360
83,62,115
65,158,248
32,104,109
84,131,244
72,103,106
65,80,75
84,64,19
32,64,66
8,366,446
89,85,516
32,17,229
73,97,150
83,153,138
32,128,136
78,74,56
79,119,109
32,78,120
76,100,132
79,149,167
71,121,177
8,1054,449
78,81,205
71,80,511
69,118,144
82,64,99
32,111,130
84,71,161
72,72,95
69,78,105
32,104,71
67,134,142
65,158,175
83,115,168
69,93,148
32,78,96
189,59,299
32,88,103
16,185,51
76,127,41
65,107,206
32,106,135
16,160,127
69,79,116
83,302,145
84,120,115
82,135,220
69,226,195
76,207,389
65,171,212
83,241,156
222,108,623
8,91,629
222,104,257
83,105,154
32,93,98
16,417,384
82,128,96
69,131,227
83,83,228
84,95,174
65,5,120
85,80,74
82,88,290
65,119,208
78,112,143
84,75,46
32,125,856
18,263,320
68,143,136
69,70,157
76,143,132
73,78,138
86,108,53
69,48,125
82,88,127
83,80,179
32,81,125
65,63,64
32,166,87
72,25,296
73,80,202
71,106,143
72,80,129
32,127,95
81,96,972
85,177,119
65,91,128
76,90,219
84,119,84
73,135,273
89,72,120
32,95,90
68,96,167
73,38,147
78,167,238
73,121,2
78,33,89
71,84,100
32,107,13
8,855,899
84,97,13
73,112,165
89,105,256
32,78,113
8,241,84
73,103,477
84,100,111
89,80,175
32,103,211
68,96,82
73,143,100
78,95,157
73,105,169
78,112,116
71,136,79
32,138,138
69,106,16
88,127,277
80,112,144
69,125,76
82,109,267
73,127,163
69,102,182
78,130,97
67,165,122
69,83,138
32,14,143
65,135,444
84,80,389
32,165,75
65,113,86
32,81,13
86,77,531
69,19,159
82,70,73
89,81,165
32,118,141
65,113,91
73,102,66
82,121,88
32,109,73
80,139,198
82,101,71
73,67,126
67,108,219
69,95,22
190,7,120
8,1230,658
70,112,166
65,111,116
73,217,92
82,56,192
32,145,80
80,126,224
82,96,221
73,112,111
67,117,188
69,126,159
190,99,174
32,102,132
18,736,540
8,109,629
32,115,1436
8,109,355
32,76,231
16,128,269
73,90,331
32,111,108
72,14,171
65,122,81
68,136,237
32,3,69
68,143,333
73,91,90
78,110,143
69,131,0
82,41,135
32,159,833
65,108,125
84,100,318
32,119,158
16,215,205
76,57,67
65,98,124
32,69,111
16,258,519
69,136,268
83,104,160
84,72,142
82,138,239
69,381,150
76,99,325
222,96,223
65,96,505
83,128,216
32,114,113
8,414,600
65,197,269
83,101,540
222,79,243
8,226,552
222,94,373
83,92,47
32,122,104
76,90,190
65,159,52
83,249,80
84,144,208
32,140,73
87,146,131
69,84,152
75,230,259
32,112,147
65,111,126
78,56,111
68,110,438
32,158,101
16,152,86
73,100,333
32,123,35
87,69,115
73,94,97
76,289,311
32,128,272
68,9,52
69,129,831
70,128,230
73,103,107
78,121,179
73,66,173
84,64,113
69,51,96
32,104,347
66,93,595
8,92,439
89,83,232
32,116,147
8,72,152
76,68,793
89,128,150
32,103,790
66,87,56
69,147,149
32,101,1006
82,148,85
69,96,89
84,87,148
85,63,80
82,90,169
78,7,319
73,104,72
78,108,64
71,132,94
190,81,409
13,543,168
16,252,927
77,17,200
89,118,237
32,141,73
8,71,1390
16,441,180
84,105,89
72,98,158
69,88,75
32,103,104
77,106,229
69,97,121
65,83,108
76,96,149
32,39,114
83,87,480
84,88,124
65,18,96
82,102,48
84,3,258
69,96,92
68,134,177
32,102,146
8,1498,687
70,134,96
73,149,96
82,144,134
83,170,144
84,24,191
32,88,153
67,136,143
79,58,106
85,110,123
8,204,312
80,139,588
65,144,109
82,127,65
84,74,186
32,109,69
79,151,290
70,17,70
32,120,177
84,117,123
72,88,131
69,103,99
32,128,79
77,107,128
69,167,95
65,218,177
76,105,156
32,123,155
87,121,144
65,128,160
83,129,184
32,128,255
84,121,98
72,112,95
69,99,95
32,98,356
85,110,1043
83,63,97
85,104,144
65,154,39
76,59,51
32,152,217
67,133,208
72,96,73
73,80,80
80,112,81
83,77,242
32,161,72
65,112,538
78,115,136
68,112,89
32,127,132
83,129,142
65,115,107
76,160,145
83,144,146
65,101,186
32,87,350
89,98,324
79,120,118
85,112,102
222,118,305
68,96,177
32,88,86
69,146,238
88,114,202
80,112,45
69,65,75
67,105,146
84,64,250
32,126,216
70,154,264
82,119,144
79,96,104
77,69,131
32,115,112
84,131,170
72,65,95
69,123,92
32,112,69
82,89,155
69,158,71
83,109,188
8,286,420
65,144,535
32,116,204
16,259,503
77,39,55
69,123,63
88,105,190
73,95,12
67,87,54
65,90,221
78,112,101
32,78,19
82,24,273
69,69,210
83,77,167
84,135,332
65,104,292
85,88,261
82,95,104
65,4,155
78,56,112
84,121,136
18,260,966
190,109,741
32,103,32
16,151,137
84,112,218
72,98,106
69,69,87
73,96,123
8,123,550
16,176,718
8,79,403
16,440,760
78,91,63
79,60,209
84,122,113
72,87,82
73,168,48
78,170,67
71,109,92
32,126,191
84,143,71
79,74,62
32,115,112
83,69,166
80,46,455
69,104,176
73,126,129
8,278,216
67,68,666
73,123,187
70,96,321
8,150,531
65,106,319
76,117,220
32,145,120
8,45,648
188,115,1094
32,66,96
66,123,149
85,30,3
84,106,126
32,108,64
68,109,110
69,162,178
70,69,176
73,91,84
78,108,83
73,112,180
84,115,69
69,164,75
76,119,106
8,712,588
32,72,287
189,131,961
32,128,208
78,96,150
79,125,96
84,115,14
72,4,14
73,128,164
78,144,145
71,136,32
32,120,181
84,98,146
79,109,72
32,76,93
83,97,3
80,111,85
69,83,164
67,112,167
73,120,96
65,99,88
76,103,64
188,42,173
32,111,79
66,78,352
85,78,105
84,16,126
32,89,140
65,112,401
87,215,174
76,152,100
65,145,205
89,75,163
83,70,203
32,101,143
65,105,236
32,111,151
8,62,656
76,135,383
87,88,98
65,128,176
89,86,133
83,126,187
32,65,334
65,95,528
32,86,98
71,64,220
82,122,239
69,112,86
65,123,56
84,145,156
32,95,72
83,103,115
84,111,58
65,69,112
82,156,120
84,103,229
69,116,117
82,120,80
190,118,192
32,110,280
16,62,170
73,72,106
32,93,1277
79,105,403
82,49,85
69,124,43
8,556,432
68,120,222
69,77,90
82,109,76
69,80,126
68,107,290
32,87,146
65,107,49
32,109,110
84,70,153
65,72,206
67,82,200
79,109,436
32,96,180
80,88,171
76,128,169
65,107,119
84,147,168
69,80,339
32,78,0
70,103,116
79,143,63
82,73,58
32,51,142
68,109,174
73,65,92
78,161,290
69,149,317
82,147,70
8,442,226
83,114,112
84,48,219
69,162,151
65,128,27
75,3,189
32,216,143
84,117,63
65,144,136
67,127,168
79,70,100
32,119,330
80,126,192
76,71,219
65,104,81
84,226,88
69,120,214
32,106,582
70,133,169
79,311,72
82,107,148
32,104,116
68,102,287
73,110,144
78,102,132
69,146,304
82,116,142
32,73,89
65,111,141
78,86,92
68,130,150
32,75,51
87,111,119
65,64,187
83,126,96
32,101,101
86,145,472
69,107,151
82,92,128
89,90,172
32,182,169
80,113,617
76,103,170
69,114,48
65,110,123
83,116,278
69,149,161
68,99,180
190,99,142
32,255,966
18,811,282
16,221,95
84,94,215
72,88,69
69,147,96
32,131,123
77,97,455
69,111,144
65,161,81
84,123,394
32,107,1045
87,81,292
65,110,123
83,126,189
32,94,125
70,127,529
76,7,185
65,97,127
66,103,200
79,98,76
82,54,118
70,117,391
8,110,583
86,158,1458
79,104,332
82,109,105
70,119,267
85,94,458
76,101,169
32,110,265
65,157,147
78,98,104
68,165,96
32,139,97
80,102,304
69,185,104
82,77,93
70,4,283
69,87,175
84,61,206
76,101,244
89,135,100
32,125,139
67,95,296
79,207,143
75,46,285
8,626,304
67,101,699
84,113,289
76,65,422
89,127,151
32,77,128
67,72,307
79,128,661
75,53,256
69,64,100
68,96,158
188,103,141
32,1,213
65,143,486
78,88,134
68,71,109
32,64,79
84,80,105
72,95,96
69,88,144
32,64,96
8,946,543
32,90,1415
65,67,176
78,74,134
68,134,150
32,102,118
84,88,47
72,153,109
69,56,117
32,88,81
67,95,192
79,98,59
77,87,239
66,72,239
78,95,184
8,1500,384
73,62,349
78,150,198
65,80,113
84,5,100
73,144,64
79,154,186
78,54,201
32,132,100
79,121,160
70,163,103
32,121,214
84,68,142
72,128,138
69,87,31
32,79,72
73,69,143
78,111,70
71,116,46
82,73,429
69,249,80
68,117,209
73,71,17
65,68,69
78,110,112
84,88,341
83,135,107
32,66,107
8,1160,418
69,127,103
8,63,405
69,86,814
78,81,159
84,128,136
83,146,114
32,109,110
77,45,215
65,125,121
68,145,153
69,128,166
32,138,114
70,8,136
79,256,99
82,113,131
32,112,64
65,135,869
32,72,50
39,72,941
8,80,281
70,96,271
82,103,208
69,88,214
83,122,412
72,155,130
87,95,112
79,96,164
78,99,220
68,76,81
69,113,120
82,63,90
70,73,204
85,41,61
76,152,126
32,66,105
80,127,248
65,95,97
67,114,80
75,76,113
65,88,110
71,99,231
69,86,409
190,146,224
13,979,1053
16,174,1065
83,166,178
69,171,268
82,103,80
86,121,271
73,158,152
67,80,200
69,163,212
32,94,150
65,112,110
8,75,519
73,113,312
83,107,53
8,1268,348
65,13,206
84,122,73
32,120,128
16,183,190
76,136,47
65,97,249
32,120,137
16,296,250
69,137,32
83,147,140
84,129,252
82,95,19
69,134,196
76,153,242
222,109,249
83,64,101
8,34,447
65,104,602
222,71,455
83,79,148
32,86,152
73,56,189
83,131,117
32,101,100
69,166,92
88,81,268
67,132,234
69,129,97
76,188,136
78,107,96
84,96,135
8,80,379
69,72,273
78,80,231
84,133,71
188,134,478
32,89,97
87,80,249
73,63,124
84,176,120
72,95,80
32,123,67
18,450,732
8,1500,328
65,140,288
78,89,143
68,80,166
16,175,787
32,90,1
73,128,184
32,111,137
82,176,124
69,90,139
65,136,80
76,124,72
89,158,226
32,159,72
71,96,214
79,248,202
84,124,136
32,80,104
84,88,89
72,88,78
69,88,162
32,157,89
73,139,94
77,109,74
80,80,61
82,96,78
69,100,101
83,231,128
73,79,344
79,135,75
78,58,80
32,80,43
84,120,98
72,55,115
65,136,160
