VK,HT,FT
16,211,-1
65,147,121
70,173,173
84,141,87
69,159,213
82,142,147
32,195,126
76,164,159
73,238,130
86,145,206
73,193,128
78,173,122
71,145,129
32,181,209
79,164,130
86,138,182
69,153,92
82,148,117
83,141,117
69,147,146
65,155,149
83,98,123
32,217,126
70,156,140
79,188,89
82,135,122
32,226,237
83,102,138
69,153,96
86,144,189
69,160,140
82,144,108
65,148,137
76,135,153
32,249,239
89,133,117
69,131,87
65,159,154
82,145,142
83,186,103
32,218,165
16,198,409
73,170,115
32,232,183
72,202,212
65,155,138
8,405,398
84,130,77
72,151,105
69,116,130
32,200,167
77,277,315
79,180,130
77,208,386
69,128,189
78,189,98
84,149,95
32,201,150
16,204,269
73,253,116
32,210,250
67,124,147
65,166,134
77,271,176
69,157,96
32,188,139
72,155,76
79,186,118
77,189,344
69,147,159
32,194,121
16,174,275
73,132,128
32,221,160
75,79,117
78,189,103
69,148,109
87,837,611
8,374,439
79,145,103
78,156,111
32,206,233
8,512,548
69,145,111
32,195,139
79,145,123
70,165,136
32,253,218
84,123,144
72,207,153
69,124,115
32,218,163
70,174,226
73,176,115
82,141,112
83,133,105
84,147,144
32,195,122
84,152,101
72,187,142
73,172,125
78,186,100
71,144,122
83,161,130
32,239,218
16,186,501
73,234,99
32,251,211
72,161,183
65,145,123
68,111,120
32,214,219
84,153,81
79,187,121
32,209,234
68,106,126
79,168,111
32,190,164
87,605,835
65,161,120
83,160,110
32,187,170
70,165,222
73,162,107
78,140,104
68,115,141
32,186,127
65,142,106
32,202,130
68,122,179
69,126,143
67,125,147
69,160,116
78,180,116
84,148,136
32,209,148
77,240,308
69,131,207
8,492,525
16,211,481
77,194,343
69,148,146
88,634,909
73,220,123
67,132,211
65,154,130
78,192,121
32,179,121
82,165,130
69,124,87
83,202,125
84,137,117
65,160,115
85,66,8
82,141,113
65,136,111
78,144,109
84,145,78
190,384,351
32,198,167
16,178,386
77,171,332
89,139,123
32,215,242
79,144,128
76,174,167
68,126,143
32,183,161
72,204,210
65,168,134
85,518,517
78,138,117
84,139,137
32,219,132
72,170,139
65,162,147
68,119,150
32,215,124
85,536,597
78,165,127
70,156,193
79,207,98
82,169,134
84,132,78
85,910,285
78,179,128
65,154,152
84,153,96
69,144,136
76,159,151
89,133,132
32,241,195
67,136,201
76,143,117
79,192,99
83,119,98
69,124,215
68,106,120
32,201,198
68,123,166
79,180,94
87,895,320
78,145,89
188,871,918
32,221,197
65,144,146
83,210,129
32,173,127
16,195,400
73,174,118
