VK,HT,FT
76,479,-1
65,8,434
32,9,6
66,652,256
79,13,364
84,5,314
65,8,316
78,8,116
65,12,331
32,9,233
73,8,221
83,19,241
32,8,152
65,12,133
32,9,265
87,552,1
79,12,218
78,13,389
68,14,306
69,10,303
82,11,217
70,828,674
85,13,223
76,371,389
32,9,278
77,868,423
69,16,284
88,553,231
73,12,528
67,9,329
65,8,417
78,12,117
32,9,697
82,14,317
69,9,317
83,9,232
84,8,276
65,10,332
85,8,268
82,14,317
65,9,231
78,9,63
84,12,288
32,8,215
87,89,749
73,9,238
84,13,267
72,12,172
32,8,150
87,402,865
79,230,267
8,579,706
65,8,178
85,8,161
84,8,1149
72,14,150
69,7,264
78,12,242
84,8,247
73,11,404
67,8,190
32,8,216
67,9,211
85,12,166
73,10,319
83,8,207
73,8,251
78,9,371
69,8,184
32,8,164
65,12,36
78,8,142
68,9,116
32,7,333
71,5,164
82,11,309
69,9,733
65,8,408
84,12,233
32,8,267
83,19,234
69,14,300
82,8,234
86,143,482
73,14,266
67,9,227
69,14,283
190,574,224
32,17,242
87,951,305
69,13,277
32,18,226
66,479,880
79,10,360
84,8,301
72,10,234
32,17,150
72,8,168
65,13,218
68,12,400
32,9,150
84,12,3
72,8,177
69,10,224
32,18,338
70,681,293
65,9,247
74,162,216
73,10,55
84,13,334
65,8,333
83,9,219
32,8,383
65,12,360
78,1,158
68,8,502
32,11,215
65,1,481
76,369,427
83,20,251
79,11,808
32,8,332
84,14,303
72,10,159
69,9,234
32,9,267
67,8,289
72,8,123
73,12,264
80,136,752
83,14,189
32,9,289
65,2,226
78,8,116
68,11,8
32,8,265
83,17,223
65,12,195
76,502,660
83,19,392
65,11,350
190,7,872
32,9,220
84,12,571
72,12,117
69,11,232
32,7,302
80,226,231
79,229,256
82,78,156
84,8,155
73,2,127
79,8,233
78,8,116
83,7,423
32,8,370
87,689,403
69,10,465
82,2,214
69,11,368
32,9,133
71,13,67
69,9,452
78,8,219
69,9,249
82,9,182
79,12,373
85,13,250
83,9,252
188,753,142
32,9,233
84,13,232
72,8,356
69,9,177
32,8,282
84,13,354
79,12,293
82,97,193
84,10,333
73,11,268
76,690,161
65,8,382
83,13,257
32,8,283
87,947,569
8,85,163
69,10,189
82,10,210
69,18,299
32,9,133
70,258,800
82,13,132
69,18,315
65,12,133
72,10,234
32,19,263
65,12,233
78,8,285
68,10,542
32,8,199
68,4,502
69,8,484
76,710,179
73,8,713
67,12,259
73,12,217
79,12,815
85,8,153
83,8,250
32,9,298
65,11,55
78,8,348
68,8,165
32,8,262
84,12,233
72,10,207
69,8,222
32,7,317
67,8,222
72,12,327
73,10,284
80,62,664
83,5,414
32,17,392
87,338,532
69,8,249
82,4,199
69,7,153
32,8,199
77,341,7
79,13,297
84,8,716
32,9,232
84,14,160
79,13,674
32,7,265
71,11,69
82,10,233
69,8,150
65,7,235
83,8,201
89,8,90
32,8,300
65,13,234
78,8,117
83,19,287
32,9,283
68,11,277
8,856,309
32,8,182
83,8,233
69,9,503
65,9,357
83,12,231
79,2,320
78,10,118
69,9,486
68,11,130
