VK,HT,FT
16,875,-1
84,97,46
72,98,323
69,120,96
32,52,134
82,70,634
83,124,46
84,111,58
65,106,114
85,96,515
82,100,144
65,159,217
78,267,102
84,65,145
69,133,69
32,135,157
72,95,252
65,99,153
83,105,135
32,51,107
65,115,248
32,93,169
86,116,336
69,130,217
82,155,53
89,106,170
32,132,257
87,63,422
65,135,178
82,82,143
77,134,453
32,53,153
65,130,228
84,147,96
77,117,242
79,83,92
83,133,238
80,133,517
72,135,345
69,132,21
82,158,97
69,107,135
32,88,70
87,124,550
73,120,153
84,104,76
72,18,63
32,34,213
67,146,440
65,138,0
78,176,145
68,92,82
76,87,188
69,106,438
76,165,31
73,134,67
84,194,185
32,79,68
84,138,181
65,106,170
66,91,448
76,127,164
69,92,130
83,170,315
32,148,186
65,155,31
78,83,131
68,50,25
32,104,17
83,133,23
79,129,86
70,27,204
84,66,243
32,142,123
71,135,181
76,122,0
79,193,122
87,116,94
73,64,159
78,93,35
71,150,0
32,96,98
67,135,544
72,23,0
65,70,17
78,158,231
68,0,159
69,103,113
76,145,449
73,95,181
69,127,173
82,181,168
190,109,66
32,122,149
16,282,613
84,103,244
72,126,216
69,52,188
32,80,197
83,102,102
69,97,117
82,249,108
86,112,289
73,103,347
67,41,198
69,64,140
32,99,239
87,78,246
65,205,128
83,155,84
32,95,172
70,107,535
65,69,122
78,132,77
84,102,84
65,104,46
83,155,352
84,127,448
73,106,126
67,117,130
32,113,948
65,169,0
78,134,39
68,95,179
32,202,56
69,70,233
88,114,397
84,87,266
82,127,185
69,170,164
77,68,272
69,103,80
76,75,200
89,100,185
32,61,112
70,139,151
82,71,218
73,102,281
69,109,151
78,106,173
68,101,409
76,120,229
89,69,114
190,31,464
32,171,59
16,185,0
84,39,172
72,110,313
69,36,172
32,80,41
70,111,324
79,215,34
68,56,330
32,79,53
87,88,101
65,113,147
83,89,185
32,138,80
80,65,334
82,138,231
69,105,92
80,96,156
65,172,75
82,121,188
69,134,156
68,160,182
32,113,135
65,83,386
83,54,142
32,54,387
82,110,406
69,136,0
83,159,116
81,97,79
85,117,275
69,47,38
83,45,78
84,114,224
69,122,190
68,82,204
32,100,0
65,50,0
78,130,105
68,135,57
32,78,298
84,35,0
72,69,115
69,131,19
73,49,256
82,73,188
32,97,176
65,142,344
83,77,91
79,180,106
82,71,18
84,104,147
77,100,714
69,94,332
78,128,176
84,113,0
32,15,340
79,132,264
70,146,53
32,0,65
68,90,369
69,42,144
83,234,106
69,121,397
82,16,0
84,97,264
83,96,0
32,134,277
87,160,162
65,138,261
83,11,11
32,67,61
68,83,515
69,69,164
76,90,151
73,94,78
67,100,205
73,64,120
79,166,171
85,102,250
83,88,0
190,142,745
32,163,247
16,465,411
82,118,408
69,145,107
83,36,300
69,106,199
82,106,182
86,80,217
65,78,225
84,101,240
73,190,0
79,144,148
78,67,145
83,48,416
32,88,56
65,85,84
82,119,124
69,113,38
32,108,135
78,114,279
79,97,116
84,72,43
32,49,123
82,24,415
69,147,120
81,185,578
85,89,62
73,96,182
82,77,0
69,74,81
68,101,209
32,119,0
66,99,0
85,75,0
84,84,79
32,113,227
83,128,62
85,79,14
71,107,0
69,74,201
83,141,233
84,100,0
69,110,191
68,112,223
32,118,303
65,158,0
83,55,15
32,51,312
84,115,215
72,132,94
73,84,81
83,138,60
32,110,183
82,166,161
69,143,122
83,136,211
84,104,288
65,82,117
85,112,278
82,55,282
65,104,172
78,148,103
84,76,207
32,101,135
67,109,76
65,133,247
78,0,44
32,96,0
66,52,0
69,100,234
67,94,118
79,31,125
77,315,120
69,73,296
32,130,45
86,0,354
69,158,242
82,93,146
89,76,176
32,56,122
66,107,65
85,127,212
83,127,159
89,98,123
188,92,331
32,113,38
69,36,134
83,0,126
80,158,117
69,73,458
67,52,112
73,69,5
65,144,80
76,169,132
89,140,693
32,123,203
79,128,400
78,120,184
32,54,90
87,50,0
69,117,124
75,117,142
69,95,144
78,95,189
68,99,0
83,133,219
190,79,0
32,153,518
16,362,377
79,98,110
85,140,92
82,105,140
32,101,93
72,81,96
79,74,195
83,120,183
84,102,361
69,110,253
83,250,102
188,35,71
32,32,0
87,120,158
72,77,149
79,140,168
32,96,333
87,91,269
65,172,168
83,161,146
32,70,51
65,90,265
76,168,24
83,80,176
79,111,34
32,172,106
84,68,147
72,81,105
69,94,111
32,146,0
79,128,243
87,105,172
78,106,124
69,78,55
82,182,134
188,75,217
32,75,148
77,76,0
65,49,88
68,57,345
69,119,135
32,125,230
85,85,472
83,107,27
32,80,188
70,79,763
69,176,66
76,182,419
32,130,180
87,88,428
69,150,126
76,159,185
67,114,121
79,164,141
77,313,174
69,93,88
32,107,65
65,83,70
78,65,124
68,100,91
32,130,257
67,91,156
72,143,157
65,69,125
84,92,36
69,135,14
68,75,244
32,104,397
66,94,195
82,145,162
73,116,153
69,120,6
70,89,125
76,126,70
89,131,0
32,120,203
87,95,0
73,75,154
84,114,151
72,67,226
32,103,81
85,96,768
83,100,155
32,88,160
65,97,58
70,25,256
84,93,197
69,37,114
82,302,183
32,54,109
83,97,342
69,126,348
65,173,204
84,58,668
73,206,81
78,110,198
71,81,117
32,171,123
85,131,520
83,111,94
32,105,184
65,88,304
78,69,32
68,148,172
32,97,127
67,138,301
79,141,51
78,77,69
84,74,197
73,52,269
78,95,142
85,107,188
69,0,321
68,118,45
32,56,81
84,123,305
79,143,36
