VK,HT,FT
16,402,-1
67,116,184
65,136,207
70,206,263
69,121,125
32,108,282
16,278,266
77,100,153
79,120,200
68,96,150
69,105,195
82,109,117
78,107,178
65,114,152
32,106,143
73,103,201
83,104,120
32,105,137
65,117,205
32,107,156
81,108,401
85,99,141
65,121,160
73,108,157
78,114,139
84,90,194
32,104,171
76,102,177
73,94,134
84,223,132
76,105,288
69,101,111
32,107,137
80,117,239
76,111,153
65,112,89
67,115,172
69,121,130
32,110,148
71,86,306
82,114,192
69,158,127
65,118,170
84,104,129
32,111,132
70,91,193
79,147,121
82,90,100
32,97,108
65,118,147
32,110,107
81,108,401
85,99,141
73,100,163
67,122,150
75,95,177
32,98,213
66,93,245
73,94,167
84,89,159
69,108,167
32,107,131
79,109,217
82,93,111
32,97,154
65,120,167
32,114,105
76,92,209
69,100,124
73,104,156
83,109,139
85,92,161
82,128,131
69,119,105
76,118,192
89,105,161
32,216,159
71,103,307
69,119,163
84,116,139
32,113,124
84,91,168
79,135,99
71,93,220
69,123,156
84,114,143
72,93,143
69,106,111
82,113,113
32,103,133
87,103,234
73,97,124
84,103,127
72,109,96
32,106,158
65,110,113
32,104,135
70,108,261
69,131,170
87,98,132
32,92,116
70,100,259
82,105,191
73,86,132
69,93,104
78,89,130
68,113,132
83,112,117
190,100,248
32,130,212
16,373,274
73,110,194
32,113,141
87,110,173
65,114,177
83,107,177
32,95,129
82,122,356
69,102,137
65,116,144
76,233,92
89,114,306
32,112,130
83,120,293
85,98,171
82,127,140
80,115,235
82,108,154
73,96,154
83,115,241
69,116,183
68,111,226
32,116,126
66,100,267
89,109,178
32,101,151
72,95,222
79,109,138
87,109,83
32,145,105
68,101,265
69,100,196
76,104,164
73,97,199
67,102,211
73,113,227
79,129,169
85,101,155
83,107,133
32,110,294
84,101,207
72,89,104
69,103,110
73,102,149
82,103,116
32,105,147
68,95,290
69,100,196
83,278,187
69,121,384
82,100,228
84,102,224
83,109,143
32,109,164
87,118,245
69,117,120
82,115,145
69,109,132
188,108,331
32,103,169
65,109,160
83,119,186
32,102,149
16,274,281
73,103,145
32,108,133
79,103,243
78,107,144
76,95,158
89,84,185
32,90,130
83,120,293
84,101,161
79,95,129
80,162,170
69,117,164
68,108,218
32,111,154
66,100,267
89,109,178
32,101,151
84,107,234
79,113,137
32,110,103
71,87,226
69,112,229
84,92,124
32,122,106
65,102,132
32,104,111
84,94,358
82,108,167
69,209,170
65,121,151
84,106,126
32,109,131
65,122,311
78,102,120
68,111,121
32,145,131
65,112,288
32,116,124
68,115,251
82,106,170
73,117,100
78,135,139
75,119,158
190,87,391
32,138,210
16,335,314
84,104,173
72,94,161
69,104,121
32,105,143
87,114,337
65,125,151
73,104,180
84,99,193
32,99,110
83,131,167
84,97,150
65,130,155
70,296,229
32,103,339
87,112,236
65,121,153
83,112,149
32,102,122
70,102,295
82,99,200
73,86,132
69,93,104
78,89,130
68,113,132
76,112,197
89,102,207
32,120,136
65,109,203
78,92,106
68,101,99
32,102,111
83,105,338
8,211,515
80,102,396
76,111,169
69,102,131
65,119,144
83,122,170
65,120,206
78,97,169
84,98,165
188,98,310
32,106,155
65,102,191
78,95,120
68,98,115
32,97,128
84,99,175
72,92,90
69,103,97
89,85,116
32,110,141
65,113,168
78,94,103
68,99,96
83,119,164
87,106,299
8,179,443
83,114,410
87,106,299
69,250,171
82,115,152
69,108,133
68,114,213
32,106,191
65,123,200
76,163,181
32,117,291
77,102,237
89,101,202
32,114,127
87,108,307
8,226,434
81,115,363
85,95,163
69,108,159
83,121,247
84,102,192
73,94,133
79,130,129
78,117,131
83,105,108
32,112,148
69,100,259
82,113,125
89,103,162
32,111,143
87,108,307
69,124,148
76,319,129
190,112,362
8,303,631
86,89,399
69,125,139
82,97,124
89,101,156
32,111,138
87,108,307
69,124,148
76,319,129
190,112,362
32,148,158
16,291,361
80,98,160
8,283,441
76,110,447
190,105,430
32,137,208
16,247,324
80,98,160
65,112,173
82,106,150
75,81,158
73,101,192
78,103,125
71,92,105
32,115,116
73,106,209
83,104,120
78,80,208
222,95,316
84,93,114
32,106,112
84,99,190
79,135,99
32,100,177
66,87,195
65,115,96
68,112,228
188,119,327
32,101,139
84,96,194
72,86,99
69,103,131
89,105,194
32,110,141
72,97,203
65,116,88
86,102,127
69,101,147
32,109,117
86,99,386
65,112,185
76,147,138
69,102,152
32,108,188
84,102,156
8,186,474
84,90,466
32,101,192
73,102,200
70,115,215
32,111,109
89,119,195
79,150,122
85,119,101
32,116,118
80,109,257
82,108,142
69,110,170
84,232,183
8,322,460
70,109,400
69,144,212
82,118,137
32,110,159
73,115,216
84,99,141
190,111,315
32,124,293
16,300,323
73,103,221
32,113,141
67,127,178
65,124,153
78,109,107
222,95,316
84,93,114
32,106,112
66,87,297
69,188,153
76,147,171
73,96,209
69,108,152
86,96,192
69,127,135
32,111,124
16,278,266
73,99,107
32,116,103
72,98,228
65,118,103
68,96,232
78,88,199
222,95,316
84,93,114
32,106,112
72,98,200
69,108,109
65,121,139
82,103,125
68,107,201
32,121,164
79,106,254
70,124,170
32,100,125
73,103,160
84,99,141
32,109,163
66,87,297
69,188,153
70,112,227
79,114,178
82,96,120
69,102,129
32,108,104
8,549,559
190,105,469
32,133,226
16,250,243
73,103,199
84,104,258
222,114,157
83,107,123
32,115,151
65,114,194
32,91,237
71,84,248
82,109,182
69,109,86
65,124,136
84,104,129
32,111,132
71,100,202
69,119,163
77,107,196
32,110,133
65,134,310
78,97,118
68,100,117
32,107,131
73,104,207
84,97,125
222,115,173
76,129,191
32,114,253
66,97,217
69,145,129
32,103,128
84,104,176
72,99,98
69,110,95
32,111,105
80,126,200
69,124,132
82,108,130
70,132,324
69,126,154
67,100,207
