VK,HT,FT
16,369,-1
69,107,184
88,114,232
67,98,362
69,134,159
76,224,121
69,125,265
78,111,126
84,87,180
32,115,197
16,248,315
71,87,273
82,105,213
73,85,239
76,259,233
69,104,264
68,109,243
32,95,125
67,142,310
72,93,115
73,96,118
67,107,217
75,95,145
73,95,182
8,211,440
69,122,557
78,98,157
32,89,194
67,92,305
65,134,150
78,137,125
32,116,193
66,95,248
69,93,133
32,94,127
72,99,250
65,118,80
68,89,121
8,244,444
73,105,515
83,109,120
32,105,112
65,108,266
66,93,158
65,119,165
8,397,486
86,93,643
65,120,241
76,172,158
8,604,414
76,78,696
8,667,630
73,97,439
76,133,214
65,140,174
66,100,256
69,188,120
8,366,575
76,157,638
69,99,138
32,110,136
65,136,372
84,123,268
32,108,131
16,208,265
80,126,250
79,115,235
76,123,314
79,107,162
32,101,117
8,268,470
32,109,539
16,199,359
84,93,97
82,112,168
79,146,116
80,123,209
73,90,258
67,107,168
65,145,169
76,158,150
190,93,333
32,124,141
16,272,288
84,98,190
72,103,211
69,93,110
89,93,117
32,105,96
72,100,281
65,126,97
86,103,100
69,110,133
32,107,86
65,105,162
32,113,104
87,127,283
73,102,105
68,81,142
69,103,222
32,105,137
82,127,344
65,143,175
71,111,205
69,133,156
8,497,379
78,111,358
71,88,108
69,109,167
32,112,114
79,91,344
70,108,103
32,114,84
77,114,140
69,86,103
78,85,227
85,93,212
32,88,268
73,96,129
84,98,117
69,132,154
77,108,161
83,127,325
32,107,154
89,108,325
79,151,185
85,113,143
32,144,210
67,122,189
65,136,159
78,104,150
32,131,192
83,98,221
69,178,211
76,94,143
69,97,99
67,67,175
84,97,247
32,94,104
70,105,240
82,94,187
79,146,98
77,111,132
188,95,219
32,106,214
65,106,313
78,95,96
68,103,98
32,104,68
84,116,256
65,109,150
83,124,137
89,99,127
8,429,454
84,115,469
69,120,231
89,97,108
8,264,456
89,89,467
32,156,168
83,123,288
73,100,158
68,84,141
69,96,161
83,149,201
32,101,155
8,668,398
188,124,350
32,103,133
65,107,128
76,177,158
83,104,203
79,131,112
190,121,473
16,261,211
77,125,109
89,104,264
8,361,597
32,110,472
16,209,365
77,110,171
89,105,214
32,100,230
70,128,252
65,116,145
86,128,306
79,99,144
82,101,97
73,95,116
84,118,101
69,123,152
32,103,193
73,122,184
83,115,119
32,108,127
84,114,357
72,96,117
69,88,82
32,118,102
16,268,384
72,98,201
65,124,126
76,152,105
70,89,294
32,113,176
16,416,325
67,115,163
72,85,264
73,97,219
67,111,216
75,81,255
69,119,185
78,131,188
32,126,203
80,108,140
76,123,191
65,127,141
84,167,170
69,103,180
82,130,141
188,94,356
32,96,90
87,107,257
73,96,107
84,116,119
72,116,107
32,115,106
89,91,303
69,124,131
76,143,228
79,106,180
87,103,179
32,103,117
82,103,337
73,93,133
67,131,226
69,118,227
32,101,223
65,121,145
78,112,96
68,99,101
32,96,158
16,197,185
67,115,142
69,135,156
65,136,175
8,234,573
83,89,454
65,133,201
82,133,132
32,94,141
16,471,300
83,141,211
65,112,300
76,78,210
65,131,316
68,131,195
190,181,327
8,201,584
188,98,597
32,122,141
66,93,316
85,91,157
84,108,114
32,114,102
89,115,227
79,134,106
85,128,94
32,100,102
65,144,150
82,120,198
69,125,92
32,113,154
67,108,316
69,148,151
82,144,108
84,96,253
8,197,597
82,119,212
84,89,268
65,116,217
73,124,94
78,97,110
76,115,211
89,111,167
32,101,113
78,115,304
79,117,171
84,89,114
32,92,109
76,83,257
73,125,126
77,145,128
69,92,139
73,110,146
84,95,202
8,277,404
73,92,558
84,85,103
69,129,103
68,107,184
32,101,172
84,103,134
79,104,93
32,105,154
84,100,116
72,92,92
65,121,71
84,114,112
190,106,217
32,144,195
16,442,215
84,97,235
72,97,264
69,108,85
82,107,215
69,122,132
32,113,215
65,110,138
82,108,148
69,108,111
32,107,165
87,112,378
73,108,130
78,131,127
222,109,224
71,109,281
8,303,599
71,109,547
83,112,181
188,86,181
32,105,175
16,236,255
84,88,85
82,91,172
79,146,102
80,132,157
73,98,138
67,95,144
72,122,127
79,120,143
80,105,193
32,112,139
16,403,417
66,157,198
79,106,190
87,114,140
76,167,157
83,109,213
188,103,357
32,106,147
65,106,196
76,115,177
79,140,187
78,100,168
71,93,142
32,120,196
87,94,293
73,84,94
84,100,180
72,110,87
32,122,131
77,104,168
73,106,146
83,96,128
8,200,598
88,106,235
73,97,155
78,133,184
71,99,147
32,106,154
82,110,259
73,85,120
86,102,161
66,84,260
83,114,325
8,529,461
83,135,371
8,559,580
66,93,642
83,130,229
188,117,360
65,132,135
32,110,129
8,225,443
32,122,541
65,123,301
78,110,131
68,111,105
32,107,93
83,93,277
72,97,166
82,99,325
73,109,172
80,115,209
83,106,271
8,502,482
77,94,372
80,123,226
32,118,188
65,137,176
76,155,145
79,91,195
78,130,174
71,105,92
32,90,185
87,124,298
73,102,122
84,103,176
72,93,110
32,113,144
89,91,322
79,107,146
85,111,110
82,107,193
32,119,126
67,111,272
72,107,180
73,93,133
67,98,216
75,101,188
69,111,235
78,107,145
190,116,376
65,125,241
32,151,186
16,421,301
83,133,132
65,118,208
76,100,217
65,130,210
68,118,221
32,112,153
68,89,199
73,97,123
83,94,150
72,116,160
69,116,120
83,116,181
32,95,146
83,118,219
85,96,141
67,99,193
72,107,102
32,106,114
65,128,125
83,123,118
32,130,122
67,111,297
8,295,472
16,226,613
67,138,169
72,83,179
73,104,346
67,113,173
75,86,202
69,101,166
78,119,176
32,106,225
16,257,148
81,97,294
85,108,124
69,104,199
83,135,192
65,129,235
68,91,171
73,104,176
76,213,182
65,129,163
188,131,240
32,118,198
16,225,249
67,113,150
65,113,332
82,121,223
8,168,457
188,107,380
32,120,173
16,256,278
84,112,185
82,112,216
79,105,238
80,127,170
73,97,186
67,111,187
65,134,165
76,148,116
32,112,250
16,341,283
83,114,236
84,135,250
65,114,201
82,99,153
84,96,159
69,134,222
82,129,170
83,133,211
32,126,154
83,121,325
85,105,194
67,111,201
72,105,114
32,103,103
65,119,175
83,132,136
32,130,133
16,247,121
83,138,159
87,170,234
69,129,121
84,160,175
32,117,110
16,190,308
80,112,183
76,103,227
65,130,107
78,133,169
84,95,193
65,139,135
73,106,80
78,102,94
83,120,223
32,113,151
79,127,173
82,104,127
32,114,128
16,479,236
70,125,194
82,103,364
73,93,150
69,100,117
68,107,213
32,93,90
16,289,272
89,97,312
85,90,221
67,102,185
65,112,216
190,112,458
16,295,160
83,138,171
84,127,275
73,112,268
76,210,214
188,96,468
32,103,143
84,89,271
72,127,99
69,97,97
73,85,136
82,112,110
32,104,170
16,474,199
71,100,280
82,104,232
73,91,254
76,233,226
69,108,151
68,113,172
32,107,143
67,144,300
72,113,147
73,99,115
67,99,179
75,80,224
69,101,202
78,112,121
32,112,173
73,96,190
83,96,103
32,113,114
84,116,125
72,88,71
69,116,83
82,114,142
8,718,398
82,100,329
73,105,188
8,267,565
73,91,440
82,112,124
32,93,103
66,103,220
69,118,131
83,136,137
84,119,146
190,117,397
32,148,159
16,283,179
73,117,248
84,92,194
32,96,150
72,85,252
65,100,117
83,131,137
32,101,91
65,106,140
32,103,146
85,107,310
78,111,130
73,135,151
81,104,203
85,128,157
69,85,163
188,104,364
32,90,102
67,88,421
82,131,236
73,89,145
83,110,196
80,102,215
89,86,343
32,79,162
84,99,316
65,97,238
83,144,165
84,123,163
69,95,122
37,672,411
39,391,526
188,109,414
39,773,736
32,90,99
84,103,276
72,118,127
65,124,103
84,95,104
32,107,137
16,261,194
73,91,113
32,117,165
74,95,263
85,109,155
83,114,85
84,98,90
32,91,250
76,96,244
79,160,176
86,147,126
69,131,124
13,271,554
190,128,213
8,247,461
188,129,596
32,98,121
66,109,221
69,218,179
84,99,249
69,122,235
82,74,97
32,96,104
84,80,379
72,92,148
65,129,81
78,101,105
32,136,97
65,111,277
89,92,215
8,199,496
78,117,408
89,108,253
32,105,122
67,99,380
72,107,182
73,106,105
67,107,188
75,92,223
69,108,240
78,121,178
32,128,182
16,212,245
73,100,174
32,100,220
72,99,282
65,110,99
86,101,237
69,98,133
32,98,75
84,103,216
82,105,175
73,83,163
68,87,142
8,377,450
69,126,560
68,119,199
190,122,307
32,111,225
16,286,127
84,94,183
72,103,135
69,114,109
32,99,98
80,108,263
82,114,138
73,107,143
67,103,221
69,122,161
32,108,141
73,114,163
83,104,116
32,95,125
71,107,159
79,158,91
68,92,301
32,109,131
70,106,169
79,164,102
82,88,102
32,96,108
87,114,303
72,90,160
65,106,94
84,111,173
32,108,93
89,107,340
79,138,116
85,145,106
32,104,113
71,109,310
69,113,165
84,119,131
188,101,364
32,99,141
65,127,146
78,87,128
68,89,106
32,112,84
84,98,217
65,128,197
75,112,157
69,109,119
79,78,196
85,123,138
84,103,190
32,93,155
73,119,209
83,114,124
32,108,111
65,119,180
83,111,123
32,133,123
69,99,177
65,123,118
83,124,189
89,95,168
32,105,142
65,125,159
83,140,162
32,108,121
69,93,168
65,133,181
84,103,148
73,119,192
78,113,100
71,89,115
32,97,92
69,97,235
78,99,158
68,123,102
190,113,275
32,120,280
16,319,160
84,97,180
72,87,123
73,114,152
83,97,94
32,96,151
73,118,202
83,115,136
32,125,102
77,99,340
89,97,147
32,93,144
70,128,150
65,110,168
86,105,228
79,113,156
73,114,139
82,102,133
8,389,467
84,110,383
69,129,205
32,94,191
67,103,251
72,93,135
73,96,92
67,97,241
37,644,529
82,123,212
39,764,599
75,102,287
69,98,157
78,107,151
32,126,208
82,136,321
69,116,133
83,130,250
84,89,272
82,92,186
65,103,221
78,97,192
84,102,133
65,114,125
85,101,154
32,110,126
65,140,205
78,101,167
68,112,109
32,91,99
16,175,241
73,96,166
