VK,HT,FT
16,278,-1
85,100,199
83,148,210
72,105,132
73,124,252
87,116,279
65,166,110
75,145,282
65,106,165
32,121,208
77,107,227
65,159,102
82,102,184
8,474,522
16,192,650
77,113,140
65,148,208
82,124,141
85,90,221
32,73,418
73,92,190
83,44,208
8,85,242
83,97,475
32,97,187
79,113,195
78,100,263
69,72,122
32,76,104
79,107,137
70,100,131
32,108,89
84,106,138
72,89,115
69,104,72
32,92,143
86,34,521
8,114,454
66,95,119
69,84,210
83,114,189
84,106,227
32,126,130
82,147,249
69,176,99
83,134,324
84,113,247
65,114,123
85,134,216
82,133,160
65,137,128
78,119,133
84,95,108
83,124,179
32,145,105
73,105,245
78,91,310
32,129,87
16,179,334
78,102,103
69,154,160
87,99,116
32,99,189
16,792,281
8,1432,827
16,390,-1
74,97,355
65,102,163
80,148,239
65,79,145
78,114,163
69,74,79
83,95,173
69,108,130
32,103,131
82,95,357
69,106,66
83,134,200
84,85,195
65,105,107
85,116,239
82,113,121
65,121,106
78,115,137
84,89,111
83,123,183
32,94,105
73,120,132
78,104,253
32,118,115
16,169,631
78,117,73
69,160,200
87,93,121
32,105,116
16,693,271
89,96,651
79,136,129
82,87,461
75,127,249
190,96,-1
32,121,134
16,208,287
73,79,94
84,91,331
186,127,376
83,94,156
32,104,118
69,82,287
8,507,248
222,106,1096
83,72,113
32,80,185
69,104,81
65,112,118
83,109,250
89,90,237
32,129,224
84,95,294
79,126,106
32,110,179
77,103,1115
85,73,689
8,116,500
73,124,271
83,230,216
32,82,241
8,104,538
188,117,680
32,105,171
66,74,271
85,95,181
84,116,124
32,100,127
68,113,170
69,68,214
70,87,215
73,106,84
78,84,274
73,120,235
84,74,293
69,91,277
76,115,163
89,85,147
32,90,99
87,120,279
79,106,117
82,78,136
84,93,593
72,105,112
32,85,169
84,100,179
72,94,94
69,106,83
32,94,127
69,105,181
70,225,282
79,110,252
82,126,107
84,87,535
32,105,159
84,121,260
79,113,160
32,103,137
70,93,294
73,102,87
78,90,257
68,58,137
190,79,536
32,83,-1
16,420,337
68,106,317
69,86,237
70,73,232
73,96,117
78,95,231
73,124,213
84,89,153
69,92,134
76,124,125
89,108,117
32,102,157
84,106,246
82,64,306
89,111,500
32,91,141
84,138,151
79,135,179
32,132,124
77,137,231
65,79,169
75,137,136
69,84,127
32,81,110
65,114,110
32,79,108
82,118,174
69,81,611
83,126,196
69,121,184
82,123,163
86,118,352
65,128,263
84,114,164
73,92,175
79,90,192
78,105,221
32,114,124
84,93,167
79,133,77
32,125,155
83,115,178
73,135,452
84,65,297
32,112,149
65,127,199
84,116,120
32,105,100
84,85,143
72,92,170
69,95,86
32,103,137
83,107,100
85,115,190
83,103,572
72,84,105
73,135,291
32,93,189
66,94,295
65,124,200
82,89,160
32,100,121
73,106,211
70,74,126
32,100,126
89,87,224
79,106,202
85,97,221
32,134,187
67,95,260
65,82,105
78,103,128
190,66,-1
32,105,79
16,309,238
84,105,283
72,83,117
69,81,118
32,111,181
83,87,154
69,1500,221
8,97,-1
65,92,202
70,95,234
79,230,190
68,71,262
32,103,132
73,110,189
83,76,93
32,90,104
83,97,190
79,115,108
32,121,367
70,106,212
82,76,261
69,120,53
83,105,215
72,87,111
32,105,205
73,126,144
84,97,158
83,100,334
32,90,105
80,105,379
82,101,183
65,112,95
8,633,321
222,126,1473
83,156,99
32,69,232
80,87,340
82,102,113
65,107,99
67,98,294
84,95,342
73,118,174
67,116,191
65,97,124
76,210,140
84,106,712
32,111,171
83,86,156
8,398,348
89,73,414
32,95,194
83,69,221
84,86,383
73,77,187
76,243,231
32,105,295
83,98,211
87,69,303
79,99,148
77,64,346
8,241,432
73,114,362
77,203,311
73,111,350
78,97,239
71,66,92
190,89,-1
32,93,107
16,278,231
69,90,214
86,92,590
69,151,702
82,116,147
89,99,567
84,77,336
72,81,140
73,95,220
78,108,232
71,86,102
32,87,169
16,172,234
73,87,92
32,113,150
72,83,281
65,116,76
86,64,240
69,57,198
32,85,111
84,93,1282
82,95,345
73,127,162
69,73,185
68,61,257
32,84,111
72,103,234
65,82,87
83,87,218
32,96,114
66,127,201
69,222,241
78,122,268
32,121,157
66,87,229
79,120,103
84,101,236
72,100,95
32,135,118
68,115,247
69,67,219
76,126,106
73,108,263
67,86,139
73,119,242
79,121,267
85,105,237
83,87,89
32,94,132
65,85,115
78,101,128
68,97,82
32,98,158
65,74,179
85,117,505
84,74,221
72,115,98
69,72,146
78,108,156
84,76,296
73,116,72
67,96,236
190,101,369
32,123,134
16,192,178
77,80,160
89,60,253
32,74,89
188,84,-1
65,106,-1
66,99,343
79,95,426
8,105,376
83,86,124
79,79,821
76,71,205
85,122,252
84,105,185
69,71,120
32,101,116
70,109,205
65,93,192
66,104,551
8,66,483
86,117,131
79,129,377
82,104,249
73,121,151
84,93,154
69,86,154
32,109,104
84,94,182
72,95,189
73,102,235
78,111,228
71,102,106
32,96,136
84,118,166
79,123,100
32,111,158
71,103,228
69,88,188
84,104,235
32,108,121
73,124,193
83,74,134
32,101,153
85,100,273
78,97,363
73,106,226
32,102,526
16,129,219
57,77,81
83,121,458
69,107,185
65,95,115
32,100,216
85,86,279
82,65,95
72,76,349
45,51,360
8,76,4
67,106,96
72,90,200
73,115,223
78,89,230
16,427,488
48,79,329
32,105,183
16,144,216
73,99,58
32,100,215
87,109,150
79,108,131
78,93,249
186,111,365
84,124,178
32,96,146
69,87,299
65,124,933
8,599,463
222,71,-1
84,100,229
32,102,153
69,82,147
65,126,100
84,82,263
32,73,87
85,86,251
78,78,221
73,115,223
32,122,103
65,101,152
78,117,178
89,86,483
87,71,316
72,75,112
69,105,88
82,105,137
69,114,73
32,119,189
69,84,198
76,124,184
69,97,219
32,100,275
8,98,342
188,110,337
8,203,420
83,84,233
69,82,233
188,120,179
32,87,218
69,83,508
8,100,490
66,86,139
69,66,200
67,106,272
65,97,209
85,106,129
83,147,96
69,130,103
32,105,108
73,131,174
84,94,162
83,102,209
8,101,435
186,121,337
83,91,147
32,82,157
78,75,302
8,489,231
222,96,1419
83,78,111
