VK,HT,FT
16,182,-1
80,175,797
69,226,103
75,66,125
73,142,117
78,111,5
71,161,109
32,128,106
16,274,181
72,107,220
79,125,186
85,130,221
83,60,243
69,256,223
32,121,132
73,127,347
83,92,94
32,117,108
84,149,619
72,125,105
69,96,224
32,55,140
70,97,208
73,137,399
83,101,177
82,223,242
84,89,244
32,112,123
67,75,289
8,884,1101
16,214,1352
67,86,270
72,104,244
73,108,98
78,103,109
69,13,148
83,126,265
69,142,250
32,124,113
16,174,192
82,183,138
69,110,133
83,117,237
84,88,244
65,23,237
85,97,60
82,117,168
65,108,231
78,114,174
82,153,118
32,106,144
82,31,301
8,486,350
84,147,196
72,116,71
65,156,177
84,256,227
32,128,99
16,233,161
73,43,125
32,140,130
79,110,275
8,445,1395
70,108,244
79,99,150
85,107,208
78,264,422
70,78,329
8,150,382
68,174,111
32,13,96
65,165,193
70,79,334
84,166,190
69,115,166
82,168,119
32,137,86
77,144,174
89,193,87
32,113,110
77,33,238
79,102,231
86,89,247
69,164,186
32,97,106
84,108,250
79,127,108
32,127,135
16,184,662
66,80,307
85,106,137
82,214,218
76,127,232
73,102,116
78,78,94
71,157,108
84,77,181
79,128,149
78,118,280
190,143,261
32,113,143
8,292,727
84,275,294
37,103,478
8,130,522
73,131,396
39,742,642
83,106,211
40,86,175
16,169,294
73,148,82
32,145,105
72,68,805
65,111,283
68,144,286
32,105,90
65,128,221
32,107,146
70,100,219
76,96,462
89,208,137
69,114,232
82,139,119
32,115,105
83,98,232
84,87,253
73,121,146
67,126,724
75,105,202
73,120,178
78,570,179
71,157,139
32,133,132
79,80,282
85,63,408
84,156,181
32,129,199
79,105,196
8,114,1016
73,138,112
78,93,147
32,92,85
77,87,195
89,156,83
32,148,116
77,147,369
65,111,199
73,115,189
76,140,256
66,130,89
79,99,151
88,457,816
32,138,104
65,196,205
78,130,128
68,149,141
32,54,128
87,148,1278
65,144,131
78,137,158
84,129,136
69,205,197
68,153,662
32,98,91
84,107,322
79,139,99
32,10,233
71,91,354
73,131,193
86,98,278
69,131,185
32,108,149
84,108,291
72,123,129
69,142,212
77,192,178
32,145,156
65,96,333
32,102,116
84,96,221
82,151,121
89,147,113
190,34,891
32,1492,100
16,173,8
73,97,117
32,129,94
87,167,230
65,141,107
83,180,713
32,98,108
78,110,158
79,113,124
84,149,408
32,169,20
68,79,354
73,102,172
83,292,155
8,419,332
65,123,158
80,104,53
79,122,135
73,101,156
78,93,74
84,93,130
69,221,157
68,203,34
190,164,321
32,124,141
13,474,487
16,277,161
84,72,141
72,102,121
69,185,246
32,125,114
80,113,234
79,108,275
69,94,111
80,194,192
76,153,69
32,123,101
84,84,956
8,100,335
69,200,112
32,109,184
8,31,1061
69,116,225
79,136,117
80,92,126
76,101,1029
69,132,113
32,93,134
87,118,346
72,100,147
79,133,448
32,10,43
87,139,289
79,118,139
82,129,93
75,70,403
32,97,110
84,122,505
72,118,98
69,99,163
82,208,102
69,98,124
32,105,96
65,133,241
82,177,79
69,176,116
32,125,86
69,135,245
88,886,63
82,105,502
69,167,112
77,267,383
69,134,185
76,138,110
89,176,146
32,151,122
70,84,231
82,135,748
73,126,122
69,89,175
78,78,151
68,171,119
76,107,296
89,137,178
32,171,77
65,128,346
78,88,143
68,144,137
32,131,112
83,124,153
85,101,141
82,174,439
80,7,113
82,161,93
73,48,115
83,159,155
73,110,293
78,134,440
71,214,168
76,144,223
89,179,128
32,124,102
75,166,161
73,139,133
78,140,110
68,171,117
32,131,100
84,121,185
79,100,173
32,170,65
77,88,187
89,176,102
32,127,122
67,111,408
72,84,307
73,108,107
76,128,294
68,100,141
82,149,45
69,116,105
78,105,99
190,101,1230
32,119,137
16,218,381
84,173,39
72,107,181
69,19,210
32,87,33
70,109,950
79,40,132
68,120,235
32,51,134
72,95,277
69,116,215
82,76,124
69,171,23
32,125,86
73,126,581
83,125,135
32,134,112
83,122,224
85,131,85
80,70,192
69,209,103
82,144,143
66,46,971
32,104,110
65,168,209
78,103,160
68,138,142
69,190,321
88,756,310
65,108,405
67,172,247
84,94,163
76,137,178
89,181,502
32,141,122
87,196,147
72,31,277
65,105,315
84,144,218
32,114,88
16,263,182
73,98,100
32,139,119
87,168,299
65,126,149
83,253,82
32,117,96
87,94,1281
65,185,41
78,136,150
84,91,263
