VK,HT,FT
16,395,-1
73,92,279
32,127,5
82,38,271
69,116,58
65,36,89
76,187,107
89,86,382
32,157,113
69,121,0
78,98,190
74,116,136
79,110,215
89,20,132
69,77,180
68,156,744
32,151,109
77,92,14
89,92,222
32,160,94
68,111,168
73,196,115
78,228,149
69,99,211
82,116,61
32,76,72
65,141,86
84,128,169
32,92,28
16,266,121
84,116,142
65,155,312
67,91,82
79,95,217
32,161,106
16,180,67
67,140,142
72,129,122
65,106,108
66,133,138
69,197,78
76,125,102
73,116,109
84,89,48
65,133,13
32,162,109
8,668,317
190,94,452
32,116,171
16,224,135
84,104,158
72,123,290
69,124,74
32,149,479
16,410,471
83,122,150
8,92,471
83,161,1320
69,176,30
82,100,71
86,92,172
73,31,87
67,166,101
69,162,193
32,153,84
87,107,12
65,172,95
83,192,158
32,160,89
69,130,115
88,109,192
80,117,139
8,126,615
67,116,62
69,124,78
80,99,94
84,137,218
73,193,86
79,171,94
78,73,78
65,185,92
76,136,122
32,136,651
87,202,83
73,115,95
84,83,81
72,124,83
32,124,111
68,142,776
8,170,331
81,146,183
85,185,122
73,122,68
67,109,141
75,102,141
32,106,129
68,116,178
82,22,235
73,77,83
78,255,98
75,200,150
32,139,295
82,93,46
69,116,92
70,90,82
73,105,101
76,99,175
83,174,158
32,119,671
65,175,158
78,143,143
68,92,102
32,126,121
65,171,235
32,112,92
8,646,248
86,112,647
69,169,175
82,145,109
8,275,802
86,84,373
69,161,180
82,132,114
89,89,7
32,100,192
75,124,414
78,107,67
79,132,128
87,100,144
76,273,96
69,237,248
68,173,184
71,164,186
65,145,133
71,92,94
69,131,105
8,125,519
65,164,42
66,81,183
76,164,151
69,126,135
32,84,93
83,170,178
69,108,69
82,99,74
86,124,248
69,109,113
82,128,79
32,76,57
8,82,323
191,117,785
8,95,493
190,92,448
32,267,429
16,164,140
72,148,174
69,100,50
32,140,94
87,153,107
65,172,206
83,132,4
32,116,101
81,33,100
85,127,62
67,152,409
8,271,307
73,31,626
67,114,146
75,100,104
32,153,154
84,123,150
79,116,69
32,159,97
65,140,1223
67,139,127
79,90,92
77,115,135
79,139,115
68,108,12
65,140,413
84,187,118
69,124,326
32,117,86
69,94,141
86,142,78
69,92,102
78,132,152
32,84,123
84,140,138
72,100,78
69,108,35
32,129,8
77,114,168
79,129,172
83,112,78
84,152,83
32,104,77
80,112,213
69,202,110
83,100,174
84,124,123
69,117,134
82,164,65
73,85,125
78,123,91
71,91,102
32,94,92
79,164,138
70,90,119
32,181,142
82,124,142
69,38,89
81,124,359
85,116,146
69,85,76
83,100,158
84,206,102
83,171,427
32,28,177
87,162,91
73,115,66
84,148,65
72,68,133
79,98,102
85,131,118
84,126,70
32,172,237
72,121,181
69,95,86
83,164,185
84,140,161
8,197,483
73,101,281
84,117,59
65,121,199
84,128,72
73,268,100
79,89,110
78,162,107
190,107,872
32,157,112
16,208,538
84,135,119
72,140,181
69,102,110
32,89,129
70,126,141
79,247,175
68,115,287
32,100,167
65,153,287
82,140,188
73,102,126
86,90,111
69,127,276
68,22,133
32,159,142
81,136,174
85,155,240
73,124,78
67,130,82
75,101,111
76,115,188
89,85,123
32,108,135
65,30,126
78,171,135
68,118,111
32,132,96
83,148,100
84,128,87
69,164,222
65,40,78
77,115,88
73,239,75
78,124,136
71,100,33
32,159,104
87,63,217
65,205,432
82,147,280
77,108,364
190,61,112
32,284,107
16,199,46
87,167,253
72,90,265
69,300,127
78,75,110
32,166,71
87,84,453
69,127,223
32,116,139
72,115,88
65,93,86
86,94,92
8,98,349
68,98,92
32,153,102
65,100,349
78,100,97
32,131,176
73,147,158
8,195,467
32,156,357
73,132,222
83,125,639
85,132,91
69,117,122
32,91,94
87,140,262
73,117,86
84,120,183
72,130,36
32,120,1156
79,118,171
78,95,110
69,178,85
32,139,277
79,138,146
70,114,73
32,129,73
79,166,182
85,164,78
82,86,142
32,124,111
80,85,273
76,123,157
65,95,62
84,59,99
69,39,490
83,116,235
32,95,19
8,238,337
188,198,575
32,125,131
87,129,105
8,199,844
84,84,46
72,72,112
69,131,94
32,124,7
83,72,167
69,132,468
82,106,100
86,93,176
69,182,219
82,140,103
32,123,76
87,127,174
65,171,202
83,132,88
32,108,92
81,153,125
85,93,142
73,129,212
67,124,117
75,107,107
32,138,176
84,108,262
79,100,23
32,26,102
82,203,206
69,85,142
77,119,32
69,119,86
68,111,208
89,99,92
32,137,174
84,113,355
72,105,62
69,140,162
32,133,103
73,127,144
83,155,78
85,129,169
69,163,102
190,140,149
32,103,198
16,664,98
84,127,55
72,191,86
69,170,86
32,140,56
