VK,HT,FT
16,167,-1
67,122,145
72,208,83
79,215,96
80,167,264
75,158,94
73,199,103
8,68,581
76,296,78
73,159,311
78,223,193
83,104,112
32,187,88
73,168,136
83,136,136
32,136,87
65,174,56
32,142,123
72,128,415
73,168,74
68,143,87
69,168,209
77,128,212
32,87,167
69,127,279
8,386,1088
69,119,183
78,113,124
32,103,171
71,122,87
69,151,69
77,120,144
32,151,113
73,84,157
78,223,89
32,130,87
65,168,56
32,160,111
84,126,112
79,157,136
87,191,448
78,207,64
32,143,131
87,176,141
73,180,100
84,111,110
72,135,57
32,180,96
77,201,455
65,132,281
78,175,64
89,159,190
32,214,168
67,128,29
79,190,73
80,142,128
82,129,104
8,69,706
82,111,135
80,183,167
79,207,112
82,116,103
65,95,47
84,126,88
69,192,63
32,152,132
82,152,120
69,24,104
83,133,112
84,80,188
65,143,76
85,143,106
82,53,119
65,118,373
78,159,80
84,76,78
32,185,186
79,160,632
80,165,120
84,38,113
73,103,57
79,110,48
78,104,465
83,121,96
190,128,184
32,128,136
16,152,46
79,359,56
87,80,127
78,128,79
69,153,113
68,128,240
32,153,97
66,56,50
89,104,128
32,143,149
65,168,47
32,144,111
83,104,72
8,179,460
72,87,65
85,120,71
83,96,86
66,126,653
65,174,184
78,160,71
68,136,89
32,172,88
65,235,113
78,159,48
68,112,65
32,176,112
87,184,68
73,203,94
70,74,73
69,166,71
32,143,128
84,118,81
69,152,128
65,254,168
77,95,160
32,185,127
87,116,85
73,171,114
84,44,3
72,189,48
32,20,96
16,215,320
67,200,96
85,128,211
76,288,235
73,161,94
78,223,133
65,103,208
82,168,665
89,135,63
32,195,104
16,166,16
73,166,178
78,151,111
83,134,141
84,80,1413
73,80,73
84,111,144
85,145,62
69,159,113
8,363,337
84,175,463
69,148,70
32,158,25
67,134,223
82,159,92
69,122,104
68,125,228
73,206,97
66,17,63
73,159,64
76,135,113
73,123,217
84,129,144
89,96,289
188,102,40
32,135,142
69,79,119
82,167,184
8,63,463
86,88,133
69,181,127
82,129,152
89,119,63
