VK,HT,FT
16,207,-1
73,85,135
32,75,101
65,86,430
8,770,69
72,35,69
65,71,79
86,23,300
69,62,199
32,70,84
69,95,97
65,54,95
84,71,63
69,89,304
78,53,225
32,77,51
65,75,81
32,67,138
76,81,180
79,126,282
84,64,55
32,21,93
79,61,186
70,40,496
32,37,114
67,85,743
72,59,0
73,58,134
8,0,336
16,11,272
67,69,90
8,70,312
67,80,11
8,393,232
16,157,503
67,107,166
72,38,756
73,97,176
78,77,266
69,100,95
83,47,128
69,84,88
32,74,100
70,72,459
79,30,80
68,99,143
32,65,113
79,83,0
86,61,289
69,58,101
82,61,119
32,81,27
84,58,251
72,70,4
69,64,108
32,84,73
89,85,296
69,91,0
65,59,132
82,62,145
83,55,113
188,94,481
32,55,52
66,46,616
85,76,237
84,61,62
32,84,226
16,137,0
73,93,208
32,85,92
67,93,106
65,63,639
78,63,10
32,56,125
67,84,93
79,82,181
78,106,208
70,50,660
73,81,106
68,90,230
69,108,139
78,97,116
84,134,146
76,34,100
89,81,113
32,109,68
83,73,162
65,52,0
89,68,181
32,47,202
84,91,403
72,40,11
65,43,100
84,82,11
32,49,159
16,176,43
83,64,262
72,72,176
65,39,51
78,68,0
32,66,114
16,158,139
68,91,0
79,56,84
78,60,149
71,65,18
32,25,146
73,81,236
78,63,202
32,56,177
16,170,210
79,75,247
65,76,433
75,75,568
76,49,141
65,61,108
78,65,112
68,77,47
32,63,81
73,81,271
83,81,25
32,49,116
84,72,227
72,72,94
69,56,28
32,60,100
66,82,28
69,0,21
83,80,163
84,82,148
32,64,83
16,88,296
67,88,0
72,55,333
73,33,163
78,70,245
69,74,56
83,83,267
69,70,108
32,58,103
70,52,0
79,213,95
68,75,293
32,73,123
16,509,233
73,72,202
32,82,77
72,92,188
65,64,61
86,1,50
69,57,189
32,65,91
69,88,92
86,81,257
69,73,109
82,76,133
32,86,45
69,88,91
65,49,109
84,72,128
69,78,341
78,52,56
190,56,267
32,68,0
17,975,337
16,656,117
83,35,130
80,64,108
69,86,88
67,72,0
73,79,147
65,15,347
76,80,223
73,78,178
90,222,75
73,74,131
78,91,169
71,58,56
32,73,72
73,79,490
78,40,157
32,29,119
16,73,63
77,27,94
65,45,124
78,92,221
68,79,46
65,37,229
82,42,166
73,81,236
78,54,165
32,54,97
16,146,0
67,89,152
85,73,96
73,69,349
83,57,71
73,83,264
78,68,288
69,66,112
188,51,339
32,65,56
16,613,125
83,87,236
72,77,111
65,53,53
78,52,127
32,69,197
16,144,226
68,82,284
79,66,89
78,90,353
71,79,109
32,63,90
73,92,127
83,47,215
32,80,87
84,77,526
82,78,95
85,61,161
76,65,187
89,63,108
32,64,268
65,62,201
32,85,128
71,40,81
69,55,201
77,120,0
190,80,316
32,76,39
16,366,490
76,164,65
79,74,212
67,63,199
65,84,271
84,71,122
69,75,240
68,69,221
32,71,115
73,75,0
78,70,159
32,79,355
16,137,188
79,87,300
65,88,80
75,52,0
76,47,199
65,59,65
78,92,60
68,75,74
32,58,94
16,352,427
67,99,116
72,53,0
73,56,137
78,36,127
65,114,459
84,66,149
79,51,54
87,62,73
78,70,145
188,75,393
32,77,52
89,80,93
79,134,0
85,56,127
32,66,51
87,78,0
79,0,301
85,62,152
76,68,85
68,74,48
32,55,109
78,55,248
79,65,168
84,75,63
32,66,98
75,67,316
78,68,87
79,152,168
87,67,75
32,60,82
87,79,0
72,54,184
65,58,60
84,77,193
32,70,53
65,59,40
77,113,37
65,50,225
90,253,311
73,55,381
78,65,176
71,49,60
32,81,95
70,52,404
79,239,105
68,51,275
32,49,57
84,70,0
72,77,212
69,89,149
89,35,229
32,40,27
83,105,154
69,47,148
82,70,160
86,58,156
69,51,185
68,52,135
32,86,133
74,315,749
85,77,118
83,76,159
84,86,181
32,67,34
66,89,245
89,98,181
32,58,0
76,14,86
79,45,77
75,75,291
73,72,0
78,52,84
71,65,53
32,67,91
65,69,500
84,44,118
32,63,66
84,82,312
72,60,154
69,107,68
32,99,58
69,107,113
88,207,974
84,57,0
69,58,0
82,46,98
73,82,365
79,143,71
82,71,92
190,78,141
32,60,106
16,251,306
77,113,304
85,71,90
83,56,375
84,60,162
189,841,445
72,56,282
65,65,45
86,62,154
69,60,97
83,63,157
32,73,37
65,40,40
82,74,177
69,51,58
32,44,86
65,31,16
78,81,59
89,50,73
84,94,182
72,46,14
73,53,217
78,43,179
71,54,61
32,61,36
87,84,0
73,59,309
84,27,195
72,73,47
32,68,157
72,74,107
65,72,52
78,68,29
68,45,40
32,64,43
77,51,156
8,6,309
189,966,577
77,96,144
